date,initial,maintenance
20130102,1549,1408
20130129,1897,1724
20130130,1789,1626
20130131,1674,1521
20130201,1549,1408
20130228,1760,1600
20130301,1630,1481
20130328,1789,1626
20130329,1674,1521
20130401,1264,1149
20130426,2132,1938
20130429,1818,1652
20130430,1701,1546
20130501,1575,1431
20130528,1999,1817
20130529,1897,1724
20130530,1789,1626
20130531,1674,1521
20130603,1264,1149
20130628,2033,1848
20130701,1701,1546
20130726,2191,1991
20130729,1897,1724
20130730,1789,1626
20130731,1674,1521
20130801,1549,1408
20130830,1999,1817
20130902,1674,1521
20130927,2033,1848
20130930,1701,1546
20131001,1575,1431
20131028,1999,1817
20131029,1897,1724
20131030,1789,1626
20131031,1674,1521
20131101,1549,1408
20131128,1818,1652
20131129,1701,1546
20131202,1285,1168
20131227,2191,1991
20131230,1897,1724
20131231,1789,1626
20140102,1549,1408
20140129,1897,1724
20140130,1789,1626
20140131,1674,1521
20140203,1264,1149
20140228,1152,1047
20140303,3405,3095
20140401,3520,3200
20140602,3461,3146
20140701,3520,3200
20140926,1437,1306
20140929,909,826
20140930,643,584
20141001,3520,3200
20141103,3401,3091
20141201,3520,3200
20150302,3463,3148
20150401,3520,3200
20150803,3405,3095
20150901,3520,3200
20151102,3461,3146
20151201,3520,3200
20160104,3346,3041
20160201,3520,3200
20160502,3463,3148
20160601,3520,3200
20161003,3405,3095
20161101,3520,3200
20170127,1414,1285
20170130,895,813
20170131,633,575
20170201,3520,3200
20170404,2745,2495
20170602,2526,2296
20170802,2372,2156
20171027,1414,1285
20171030,895,813
20171031,633,575
20171101,3520,3200
20180103,2306,2096
20180202,2270,2063
20180403,2284,2076
20180525,458,416
20180529,343,311
20180530,231,210
20180601,292,265
20180627,380,345
20180628,252,229
20180702,326,296
20180726,706,641
20180727,528,480
20180730,351,319
20180801,443,402
20180827,838,761
20180828,641,582
20180829,480,436
20180830,321,291
20180903,399,362
20181001,428,389
20181025,740,672
20181026,592,538
20181029,444,403
20181030,296,269
20181101,369,335
20181128,638,580
20181129,425,386
20181203,532,483
20181228,448,407
20190102,559,508
20190129,626,569
20190130,417,379
20190201,523,475
20190301,510,463
20190327,541,491
20190328,360,327
20190401,434,394
20190426,521,473
20190429,347,315
20190501,434,394
20190527,660,600
20190529,495,450
20190530,330,300
20190603,413,375
20190627,365,331
20190701,456,414
20190726,660,600
20190729,495,450
20190730,330,300
20190801,413,375
20190828,495,450
20190829,330,300
20190902,413,375
20191001,517,470
20191025,890,809
20191028,713,648
20191029,534,485
20191030,357,324
20191101,444,403
20191127,407,370
20191202,510,463
20191226,737,670
20191227,553,502
20191230,372,338
20200102,466,423
20200129,528,480
20200130,351,319
20200203,444,403
20200302,443,402
20200326,1071,973
20200327,802,729
20200330,535,486
20200401,668,607
20200428,973,884
20200429,641,582
20200501,829,753
20200528,675,613
20200601,871,791
20200626,808,734
20200629,535,486
20200701,681,619
20200729,688,625
20200730,457,415
20200803,576,523
20200828,504,458
20200902,4572,4156
20210302,3270,2972
20210602,4666,4241
20211228,1168,1061
20211229,1186,1078
20211230,806,732
20220103,609,553
20220128,861,782
20220201,657,597
20220214,3937,3579
