date,initial,maintenance
20111212,6050,5500
20120416,4950,4500
20120709,6050,5500
20121030,5225,4750
20130102,169,153
20130103,5225,4750
20130107,4719,4290
20130108,4551,4137
20130109,4383,3984
20130110,4215,3831
20130111,4045,3677
20130114,3540,3218
20130115,3372,3065
20130116,3203,2911
20130117,3034,2758
20130118,2866,2605
20130121,2360,2145
20130122,2192,1992
20130123,2023,1839
20130124,1854,1685
20130125,1686,1532
20130128,1181,1073
20130129,1011,919
20130130,843,766
20130131,675,613
20130201,506,460
20130204,5225,4750
20130205,5038,4580
20130206,4853,4411
20130207,4666,4241
20130208,4479,4071
20130211,3920,3563
20130212,3733,3393
20130213,3546,3223
20130214,3360,3054
20130215,3173,2884
20130218,2613,2375
20130219,2426,2205
20130220,2240,2036
20130221,2053,1866
20130222,1866,1696
20130225,1307,1188
20130226,1120,1018
20130227,933,848
20130228,747,679
20130301,560,509
20130304,4889,4444
20130305,4719,4290
20130306,4551,4137
20130307,4383,3984
20130308,4215,3831
20130311,3709,3371
20130312,3540,3218
20130313,3372,3065
20130314,3203,2911
20130315,3034,2758
20130318,2528,2298
20130319,2360,2145
20130320,2192,1992
20130321,2023,1839
20130322,1854,1685
20130325,1349,1226
20130326,1181,1073
20130327,1011,919
20130328,843,766
20130329,675,613
20130401,169,153
20130402,5225,4750
20130403,5052,4592
20130404,4877,4433
20130405,4703,4275
20130408,4180,3800
20130409,4007,3642
20130410,3832,3483
20130411,3658,3325
20130412,3484,3167
20130415,2962,2692
20130416,2787,2533
20130417,2613,2375
20130418,2439,2217
20130419,2264,2058
20130422,1742,1583
20130423,1568,1425
20130424,1394,1267
20130425,1219,1108
20130426,1045,950
20130429,523,475
20130430,349,317
20130501,174,158
20130502,5225,4750
20130506,4889,4444
20130507,4719,4290
20130508,4551,4137
20130509,4383,3984
20130510,4215,3831
20130513,3709,3371
20130514,3540,3218
20130515,3372,3065
20130516,3203,2911
20130517,3034,2758
20130520,2528,2298
20130521,2360,2145
20130522,2192,1992
20130523,2023,1839
20130524,1854,1685
20130527,1349,1226
20130528,1181,1073
20130529,1011,919
20130530,843,766
20130531,675,613
20130603,169,153
20130604,4877,4433
20130605,4703,4275
20130606,4529,4117
20130607,4354,3958
20130610,3832,3483
20130611,3658,3325
20130612,3484,3167
20130613,3309,3008
20130614,3135,2850
20130617,2613,2375
20130618,2439,2217
20130619,2264,2058
20130620,2090,1900
20130621,1917,1742
20130624,1394,1267
20130625,1219,1108
20130626,1045,950
20130627,872,792
20130628,697,633
20130701,174,158
20130702,5225,4750
20130703,5057,4597
20130704,4889,4444
20130705,4719,4290
20130708,4215,3831
20130709,4045,3677
20130710,3877,3524
