date,initial,maintenance
20130102,3630,3300
20130129,4446,4041
20130130,4191,3810
20130131,3921,3564
20130201,3630,3300
20130228,4125,3750
20130301,3820,3472
20130328,4191,3810
20130329,3921,3564
20130401,2964,2694
20130426,4996,4541
20130429,4261,3873
20130430,3986,3623
20130501,3690,3354
20130528,4686,4260
20130529,4446,4041
20130530,4191,3810
20130531,3921,3564
20130603,2964,2694
20130628,3811,3464
20130701,3188,2898
20130726,4107,3733
20130729,3557,3233
20130730,3353,3048
20130731,3137,2851
20130801,2904,2640
20130830,3749,3408
20130902,3137,2851
20130927,3811,3464
20130930,3188,2898
20131001,2952,2683
20131028,3749,3408
20131029,3557,3233
20131030,3353,3048
20131031,3137,2851
20131101,2904,2640
20131128,3408,3098
20131129,3188,2898
20131202,2411,2191
20131227,4107,3733
20131230,3557,3233
20131231,3353,3048
20140102,2904,2640
20140129,3557,3233
20140130,3353,3048
20140131,3137,2851
20140203,2371,2155
20140228,3300,3000
20140303,2495,2268
20140328,3749,3408
20140331,3137,2851
20140401,2904,2640
20140428,3615,3286
20140429,3408,3098
20140430,3188,2898
20140501,2952,2683
20140528,3557,3233
20140529,3353,3048
20140530,3137,2851
20140602,2371,2155
20140627,3997,3633
20140630,3408,3098
20140701,3188,2898
20140728,3137,2851
20140729,2904,2640
20140730,2651,2410
20140731,2371,2155
20140801,2054,1867
20140828,2904,2640
20140829,2651,2410
20140901,1677,1524
20140926,2952,2683
20140929,2087,1897
20140930,1704,1549
20141001,1205,1095
20141029,2904,2640
20141030,2651,2410
20141031,2371,2155
20141128,2411,2191
20141230,4839,4399
20150102,3423,3111
20150129,4418,4016
20150130,3952,3592
20150227,4158,3780
20150327,4839,4399
20150330,3423,3111
20150331,2794,2540
20150401,1976,1796
20150429,4491,4082
20150430,4017,3651
20150501,3479,3162
20150528,4418,4016
20150529,3952,3592
20150626,4920,4472
20150629,3479,3162
20150630,2841,2582
20150701,2009,1826
20150729,4839,4399
20150730,4418,4016
20150731,3952,3592
20150828,4418,4016
20150831,2794,2540
20150901,1976,1796
20150928,4017,3651
20150929,3479,3162
20150930,2841,2582
20151001,2009,1826
20151028,4839,4399
20151029,4418,4016
20151030,3952,3592
20151127,4491,4082
20151130,2841,2582
20151201,2009,1826
20151230,4839,4399
20160129,3952,3592
20160226,4568,4152
20160229,2889,2626
20160301,2043,1857
20160330,4418,4016
20160331,3952,3592
20160401,3423,3111
20160428,4491,4082
20160429,4017,3651
20160527,4839,4399
20160530,3423,3111
20160531,2794,2540
20160601,1976,1796
