date,initial,maintenance
20111212,3300,3000
20120529,2750,2500
20120709,3025,2750
20120806,3575,3250
20121030,3025,2750
20140124,4950,4500
20140131,14850,13500
20140203,7700,7000
20140307,11000,10000
20140421,7700,7000
20140516,9900,9000
20140519,5500,5000
20140602,3575,3250
20140603,5500,5000
20140714,8910,8100
20140715,4950,4500
20140902,3740,3400
20140903,4950,4500
20140919,7700,7000
20140922,3300,3000
20141017,3630,3300
20141103,3300,3000
20141104,3630,3300
20141205,11000,10000
20141208,5500,5000
20141212,16500,15000
20141215,6600,6000
20150102,4400,4000
20150105,6600,6000
20150202,4950,4500
20150203,6600,6000
20150206,9900,9000
20150209,5500,5000
20150302,4400,4000
20150303,5500,5000
20150309,4950,4500
20150417,3850,3500
20150420,3300,3000
20150529,2310,2100
20150601,2200,2000
20150710,2310,2100
20151009,2668,2425
20151012,2640,2400
20151102,2585,2350
20151103,2640,2400
20160104,2585,2350
20160105,2640,2400
20160205,1815,1650
20160208,1760,1600
20160422,1650,1500
20160425,1595,1450
20160930,1540,1400
20161103,1485,1350
20161104,1375,1250
20161209,1705,1550
20161212,1540,1400
20170210,2530,2300
20170213,2090,1900
20170403,1760,1600
20170404,2090,1900
20170406,1815,1650
20170703,1540,1400
20170705,1815,1650
20170811,2750,2500
20170814,1980,1800
20170904,1705,1550
20170905,1980,1800
20171002,1705,1550
20171003,1980,1800
20171004,2200,2000
20171103,3850,3500
20171106,2750,2500
20180102,2420,2200
20180103,2750,2500
20180316,3080,2800
20180319,2310,2100
20180402,1980,1800
20180403,2310,2100
20180504,2200,2000
20180507,1760,1600
20180702,1540,1400
20180703,1760,1600
20180903,1650,1500
20180905,1760,1600
20181005,2420,2200
20181008,2090,1900
20181012,2805,2550
20181015,2475,2250
20181116,2970,2700
20181119,2750,2500
20181127,3190,2900
20181128,3080,2800
20181228,3520,3200
20181231,3410,3100
20190308,2860,2600
20190311,2750,2500
20190417,2530,2300
20190418,2420,2200
20190605,2200,2000
20190606,2090,1900
20190806,2420,2200
20190807,2310,2100
20190903,2750,2500
20190904,2640,2400
20190918,3190,2900
20190919,3080,2800
20191023,2750,2500
20191024,2640,2400
20191115,2420,2200
20191118,2310,2100
20200117,2090,1900
20200120,1980,1800
20200310,2420,2200
20200422,2640,2400
