date,initial,maintenance
20130102,2420,2200
20130130,2794,2540
20130131,2614,2376
20130201,2420,2200
20130228,2750,2500
20130301,2547,2315
20130328,2794,2540
20130329,2614,2376
20130401,1976,1796
20130426,3331,3028
20130429,2841,2582
20130430,2657,2415
20130501,2460,2236
20130529,2964,2694
20130530,2794,2540
20130531,2614,2376
20130603,1976,1796
20130628,3176,2887
20130701,2657,2415
20130726,3423,3111
20130729,2964,2694
20130730,2794,2540
20130731,2614,2376
20130801,2420,2200
20130830,3124,2840
20130902,2614,2376
20130927,3176,2887
20130930,2657,2415
20131001,2460,2236
20131028,3124,2840
20131029,2964,2694
20131030,2794,2540
20131031,2614,2376
20131101,2420,2200
20131128,2841,2582
20131129,2657,2415
20131202,2009,1826
20131227,3423,3111
20131230,2964,2694
20131231,2794,2540
20140102,2420,2200
20140129,2964,2694
20140130,2794,2540
20140131,2614,2376
20140203,1976,1796
20140228,2750,2500
20140303,2079,1890
20140328,3124,2840
20140331,2614,2376
20140401,2420,2200
20140428,3013,2739
20140429,2841,2582
20140430,2657,2415
20140501,2460,2236
20140528,2964,2694
20140529,2794,2540
20140530,2614,2376
20140602,1976,1796
20140627,3331,3028
20140630,2841,2582
20140701,2657,2415
20140729,2420,2200
20140730,2209,2008
20140731,1976,1796
20140801,1711,1555
20140828,2420,2200
20140829,2209,2008
20140901,1397,1270
20140926,2460,2236
20140929,1740,1581
20140930,1421,1291
20141001,1005,913
20141029,2420,2200
20141030,2209,2008
20141031,1976,1796
20141104,5313,4830
20141202,5500,5000
20150105,5320,4836
20150203,5500,5000
20150303,5411,4919
20150402,5500,5000
20150504,5320,4836
20150602,5500,5000
20150706,5320,4836
20150805,5228,4752
20150902,5500,5000
20151005,5320,4836
20151103,5408,4916
20151202,5500,5000
20160105,5228,4752
20160202,5500,5000
20160307,5228,4752
20160404,5408,4916
20160503,5411,4919
20160602,5500,5000
20160705,5228,4752
20160802,5500,5000
20160905,5408,4916
20161102,3300,3000
20161205,3247,2951
20170104,3193,2902
20170202,3300,3000
20170306,3193,2902
20170404,3188,2898
20170502,3300,3000
20170606,3245,2950
20170705,3137,2851
20170802,3300,3000
20170905,3188,2898
20171003,3247,2951
20171102,3300,3000
20171204,3247,2951
20180104,3193,2902
20180202,3300,3000
20180305,3193,2902
20180403,3245,2950
20180502,3300,3000
20180604,3245,2950
20180703,3247,2951
20180802,3300,3000
20180905,3131,2846
20180919,2173,1975
20180920,2087,1897
20180921,1999,1817
20180924,1704,1549
20180925,1594,1449
20180926,1477,1342
20180927,1348,1225
20180928,1205,1095
20181002,3300,3000
20181102,3465,3150
20181204,3517,3197
20190103,3575,3250
20190205,3511,3191
20190304,3458,3143
20190402,3575,3250
20190506,3458,3143
20190604,3454,3140
20190702,3575,3250
20190805,3517,3197
20190904,3454,3140
20191002,4400,4000
20191104,3588,3261
20191202,3713,3375
20200106,3591,3264
20200204,2433,2211
20200303,2435,2213
20200402,2475,2250
20200504,3193,2902
20200602,3300,3000
20200706,3193,2902
20200804,2793,2539
20200902,2888,2625
20201002,2613,2375
20201103,2569,2335
20201202,2200,2000
20210105,2483,2257
20210202,3988,3625
20210308,3790,3445
20210405,3921,3564
20210504,3857,3506
20210602,3988,3625
20210705,3857,3506
20210719,2775,2522
20210720,2680,2436
20210721,2582,2347
20210722,2481,2255
20210803,3740,3400
20210903,3553,3230
20211004,3850,3500
20211102,4400,4000
20211202,5500,5000
20220105,5211,4737
20220202,5500,5000
20220203,5195,4722
20220204,4890,4445
20220207,4584,4167
20220208,4278,3889
20220209,3973,3611
20220210,3668,3334
20220211,3362,3056
