date,initial,maintenance
20120302,71500,65000
20120416,82500,75000
20121030,66000,60000
20130102,12775,11613
20130103,10645,9677
20130104,8517,7742
20130107,2129,1935
20130108,63872,58065
20130109,61742,56129
20130110,59614,54194
20130111,57484,52258
20130114,51098,46452
20130115,48968,44516
20130116,46840,42581
20130117,44710,40645
20130118,42581,38710
20130121,36194,32903
20130122,34065,30968
20130123,31936,29032
20130124,29807,27097
20130125,27678,25161
20130128,21291,19355
20130129,19161,17419
20130130,17033,15484
20130131,14903,13548
20130201,12775,11613
20130204,6387,5806
20130205,4259,3871
20130206,2129,1935
20130207,66000,60000
20130208,63643,57857
20130211,56572,51429
20130212,54215,49286
20130213,51858,47143
20130214,49500,45000
20130215,47143,42857
20130218,40072,36429
20130219,37715,34286
20130220,35358,32143
20130221,33000,30000
20130222,30643,27857
20130225,23572,21429
20130226,21215,19286
20130227,18858,17143
20130228,16500,15000
20130301,14143,12857
20130304,7072,6429
20130305,4715,4286
20130306,2358,2143
20130307,61742,56129
20130308,59614,54194
20130311,53226,48387
20130312,51098,46452
20130313,48968,44516
20130314,46840,42581
20130315,44710,40645
20130318,38323,34839
20130319,36194,32903
20130320,34065,30968
20130321,31936,29032
20130322,29807,27097
20130325,23419,21290
20130326,21291,19355
20130327,19161,17419
20130328,17033,15484
20130329,14903,13548
20130401,8517,7742
20130402,6387,5806
20130403,4259,3871
20130404,2129,1935
20130405,66000,60000
20130408,63800,58000
20130409,61600,56000
20130410,59400,54000
20130411,57200,52000
20130412,55000,50000
20130415,48400,44000
20130416,46200,42000
20130417,44000,40000
20130418,41800,38000
20130419,39600,36000
20130422,33000,30000
20130423,30800,28000
20130424,28600,26000
20130425,26400,24000
20130426,24200,22000
20130429,17600,16000
20130430,15400,14000
20130501,13200,12000
20130502,11000,10000
20130503,8800,8000
20130506,2200,2000
20130507,66000,60000
20130508,63872,58065
20130509,61742,56129
20130510,59614,54194
20130513,53226,48387
20130514,51098,46452
20130515,48968,44516
20130516,46840,42581
20130517,44710,40645
20130520,38323,34839
20130521,36194,32903
20130522,34065,30968
20130523,31936,29032
20130524,29807,27097
20130527,23419,21290
20130528,21291,19355
20130529,19161,17419
20130530,17033,15484
20130531,14903,13548
20130603,8517,7742
20130604,6387,5806
20130605,4259,3871
20130606,2129,1935
20130607,66000,60000
20130610,61600,56000
20130611,59400,54000
20130612,57200,52000
20130613,55000,50000
20130614,52800,48000
20130617,46200,42000
20130618,44000,40000
20130619,41800,38000
20130620,39600,36000
20130621,37400,34000
20130624,30800,28000
20130625,28600,26000
20130626,26400,24000
20130627,24200,22000
20130628,22000,20000
20130701,15400,14000
20130702,13200,12000
20130703,11000,10000
20130704,8800,8000
20130705,6600,6000
20130708,63872,58065
20130709,61742,56129
20130710,59614,54194
20130711,57484,52258
20130712,55356,50323
20130715,48968,44516
20130716,46840,42581
20130717,44710,40645
20130718,42581,38710
20130719,40452,36774
20130722,34065,30968
20130723,31936,29032
20130724,29807,27097
20130725,27678,25161
20130726,25549,23226
20130729,19161,17419
20130730,17033,15484
20130731,14903,13548
20130801,12775,11613
20130802,10645,9677
20130805,4259,3871
20130806,2129,1935
20130807,66000,60000
20130812,59614,54194
20130813,57484,52258
20130814,55356,50323
20130815,53226,48387
20130816,51098,46452
20130819,44710,40645
20130820,42581,38710
20130821,40452,36774
20130822,38323,34839
20130823,36194,32903
20130826,29807,27097
20130827,27678,25161
20130828,25549,23226
20130829,23419,21290
20130830,21291,19355
20130902,14903,13548
20130903,12775,11613
20130904,10645,9677
20130905,8517,7742
20130906,6387,5806
20130909,61600,56000
20130910,66000,60000
20140421,52800,48000
20140714,45100,41000
20141205,55000,50000
20141212,60500,55000
20150417,49500,45000
20160205,33000,30000
20160318,30250,27500
20160422,28600,26000
20170210,35200,32000
20170406,33000,30000
20170512,27500,25000
20170526,26400,24000
20170811,19800,18000
20170906,23100,21000
20171006,28600,26000
20171103,33000,30000
20180119,29700,27000
20180328,25300,23000
20180518,27500,25000
20180713,33000,30000
20181016,37400,34000
20181127,40700,37000
20190308,35200,32000
20190806,42900,39000
20190918,49500,45000
20191115,44000,40000
20200103,40700,37000
20200207,46200,42000
20200310,55000,50000
20200417,66000,60000
