date,initial,maintenance
20111212,3300,3000
20120117,2200,2000
20120213,1650,1500
20130102,426,387
20130103,356,323
20130104,284,258
20130107,72,65
20130108,2129,1935
20130109,2059,1871
20130110,1987,1806
20130111,1917,1742
20130114,1703,1548
20130115,1633,1484
20130116,1561,1419
20130117,1491,1355
20130118,1419,1290
20130121,1207,1097
20130122,1136,1032
20130123,1065,968
20130124,994,903
20130125,923,839
20130128,710,645
20130129,640,581
20130130,568,516
20130131,498,452
20130201,426,387
20130204,214,194
20130205,142,129
20130206,72,65
20130207,2200,2000
20130208,2122,1929
20130211,1886,1714
20130212,1808,1643
20130213,1729,1571
20130214,1650,1500
20130215,1572,1429
20130218,1336,1214
20130219,1258,1143
20130220,1179,1071
20130221,1100,1000
20130222,1022,929
20130225,786,714
20130226,708,643
20130227,629,571
20130228,550,500
20130301,472,429
20130304,236,214
20130305,158,143
20130306,79,71
20130307,2059,1871
20130308,1987,1806
20130311,1775,1613
20130312,1703,1548
20130313,1633,1484
20130314,1561,1419
20130315,1491,1355
20130318,1278,1161
20130319,1207,1097
20130320,1136,1032
20130321,1065,968
20130322,994,903
20130325,781,710
20130326,710,645
20130327,640,581
20130328,568,516
20130329,498,452
20130401,284,258
20130402,214,194
20130403,142,129
20130404,72,65
20130405,2200,2000
20130408,2127,1933
20130409,2054,1867
20130410,1980,1800
20130411,1907,1733
20130412,1834,1667
20130415,1614,1467
20130416,1540,1400
20130417,1467,1333
20130418,1394,1267
20130419,1320,1200
20130422,1100,1000
20130423,1027,933
20130424,954,867
20130425,880,800
20130426,807,733
20130429,587,533
20130430,514,467
20130501,440,400
20130502,367,333
20130503,294,267
20130506,74,67
20130507,2200,2000
20130508,2129,1935
20130509,2059,1871
20130510,1987,1806
20130513,1775,1613
20130514,1703,1548
20130515,1633,1484
20130516,1561,1419
20130517,1491,1355
20130520,1278,1161
20130521,1207,1097
20130522,1136,1032
20130523,1065,968
20130524,994,903
20130527,781,710
20130528,710,645
20130529,640,581
20130530,568,516
20130531,498,452
20130603,284,258
20130604,214,194
20130605,142,129
20130606,72,65
20130607,2200,2000
20130610,2054,1867
20130611,1980,1800
20130612,1907,1733
20130613,1834,1667
20130614,1760,1600
20130617,1540,1400
20130618,1467,1333
20130619,1394,1267
20130620,1320,1200
20130621,1247,1133
20130624,1027,933
20130625,954,867
20130626,880,800
20130627,807,733
20130628,734,667
20130701,514,467
20130702,440,400
20130703,367,333
20130704,294,267
20130705,220,200
20130708,2129,1935
20130709,2059,1871
20130710,1987,1806
20130711,1917,1742
20130712,1845,1677
20130715,1633,1484
20130716,1561,1419
20130717,1491,1355
20130718,1419,1290
20130719,1349,1226
20130722,1136,1032
20130723,1065,968
20130724,994,903
20130725,923,839
20130726,852,774
20130729,640,581
20130730,568,516
20130731,498,452
20130801,426,387
20130802,356,323
20130805,142,129
20130806,72,65
20130807,2200,2000
20130812,1987,1806
20130813,1917,1742
20130814,1845,1677
20130815,1775,1613
20130816,1703,1548
20130819,1491,1355
20130820,1419,1290
20130821,1349,1226
20130822,1278,1161
20130823,1207,1097
20130826,994,903
20130827,923,839
20130828,852,774
20130829,781,710
20130830,710,645
20130902,498,452
20130903,426,387
20130904,356,323
20130905,284,258
20130906,214,194
20130909,2054,1867
20130910,1980,1800
20130911,1907,1733
20130912,1834,1667
20130913,1760,1600
20130916,1540,1400
20130917,1467,1333
20130918,1394,1267
20130919,1320,1200
20130920,1247,1133
20130923,1027,933
20130924,954,867
20130925,880,800
20130926,807,733
20130927,734,667
20130930,514,467
20131001,440,400
20131002,367,333
20131003,294,267
20131004,220,200
20131007,2200,2000
20131008,2129,1935
20131009,2059,1871
20131010,1987,1806
20131011,1917,1742
20131014,1703,1548
20131015,1428,1298
20131016,1367,1242
20131017,1304,1185
20131018,1242,1129
20131021,1056,960
20131022,994,903
20131023,932,847
20131024,869,790
20131025,808,734
20131028,622,565
20131029,559,508
20131030,498,452
20131031,435,395
20131101,373,339
20131104,186,169
20131105,125,113
20131106,62,56
20131107,1862,1692
20131108,1797,1633
20131111,1604,1458
20131112,1540,1400
20131113,1477,1342
20131114,1412,1283
20131115,1348,1225
20131118,1155,1050
20131119,1092,992
20131120,1027,933
20131121,963,875
20131122,770,700
20131125,605,550
20131126,550,500
20131127,495,450
20131128,440,400
20131129,385,350
20131202,220,200
20131203,165,150
20131204,110,100
20131205,55,50
20131206,1650,1500
20131209,1598,1452
20131210,1544,1403
20131211,1491,1355
20131212,1437,1306
20131213,1384,1258
20131216,1225,1113
20131217,1172,1065
20131218,1118,1016
20131219,1065,968
20131220,1011,919
20131223,852,774
20131224,799,726
20131225,745,677
20131226,692,629
20131227,640,581
20131230,479,435
20131231,426,387
20140102,319,290
20140103,267,242
20140106,107,97
20140107,53,48
20140108,1598,1452
20140109,1544,1403
20140110,1491,1355
20140113,1331,1210
20140114,1278,1161
20140115,1225,1113
20140116,1172,1065
20140117,1118,1016
20140120,959,871
20140121,906,823
20140122,852,774
20140123,799,726
20140124,745,677
20140127,586,532
20140128,533,484
20140129,479,435
20140130,426,387
20140131,373,339
20140203,214,194
20140204,160,145
20140205,107,97
20140206,53,48
20140207,1650,1500
20140210,1473,1339
20140211,1415,1286
20140212,1356,1232
20140213,1297,1179
20140214,1238,1125
20140217,1061,964
20140218,1003,911
20140219,766,696
20140220,708,643
20140221,648,589
20140224,472,429
20140225,413,375
20140226,354,321
20140227,295,268
20140228,236,214
20140303,60,54
20140304,1544,1403
20140305,1491,1355
20140306,1437,1306
