date,initial,maintenance
20130102,5927,5388
20130130,13253,12048
20130131,11854,10776
20130201,10267,9333
20130228,12473,11339
20130301,10802,9820
20130328,13253,12048
20130329,11854,10776
20130429,12050,10954
20130430,10436,9487
20130501,8521,7746
20130528,15682,14256
20130529,14518,13198
20130530,13253,12048
20130531,11854,10776
20130628,12050,10954
20130726,15682,14256
20130729,11854,10776
20130730,10267,9333
20130731,8382,7620
20130801,5927,5388
20130829,14518,13198
20130830,13253,12048
20130902,8382,7620
20130927,13472,12247
20130930,8521,7746
20131001,6025,5477
20131030,13253,12048
20131031,11854,10776
20131101,10267,9333
20131128,13472,12247
20131129,12050,10954
20131227,15682,14256
20131230,11854,10776
20131231,10267,9333
20140129,14518,13198
20140130,13253,12048
20140131,11854,10776
20140228,12473,11339
20140328,13253,12048
20140331,8382,7620
20140401,5927,5388
20140428,12050,10954
20140429,10436,9487
20140430,8521,7746
20140501,6025,5477
20140528,14518,13198
20140529,13253,12048
20140530,11854,10776
20140627,13472,12247
20140630,8521,7746
20140701,6025,5477
20140730,13253,12048
20140731,11854,10776
20140801,10267,9333
20140828,14518,13198
20140829,13253,12048
20140901,8382,7620
20140926,14758,13416
20140929,10436,9487
20140930,8521,7746
20141001,6025,5477
20141029,14518,13198
20141030,13253,12048
20141031,11854,10776
20141128,12050,10954
20150102,10267,9333
20150129,13253,12048
20150130,11854,10776
20150227,12473,11339
20150327,14518,13198
20150330,10267,9333
20150331,8382,7620
20150401,5927,5388
20150429,13472,12247
20150430,12050,10954
20150501,10436,9487
20150528,13253,12048
20150529,11854,10776
20150626,14758,13416
20150629,10436,9487
20150630,8521,7746
20150701,6025,5477
20150729,14518,13198
20150730,13253,12048
20150731,11854,10776
20150828,13253,12048
20150831,8382,7620
20150901,5927,5388
20150928,12050,10954
20150929,10436,9487
20150930,8521,7746
20151001,6025,5477
20151028,14518,13198
20151029,13253,12048
20151030,11854,10776
20151127,13472,12247
20151130,8521,7746
20151201,6025,5477
20151230,14518,13198
20160129,11854,10776
20160226,13703,12457
20160229,8666,7878
20160301,6129,5571
20160330,13253,12048
20160331,11854,10776
20160401,10267,9333
20160428,13472,12247
20160429,12050,10954
20160527,14518,13198
20160530,10267,9333
20160531,8382,7620
20160601,5927,5388
20160629,14758,13416
20160630,13472,12247
20160701,12050,10954
20160728,13253,12048
20160729,11854,10776
20160826,15682,14256
20160829,11854,10776
20160830,10267,9333
20160831,8382,7620
20160901,5927,5388
20160928,14758,13416
20160929,13472,12247
20160930,9641,8764
20161028,10603,9639
20161031,6706,6096
20161101,4743,4311
20161128,9641,8764
20161129,8348,7589
20161130,6817,6197
20161201,4821,4382
20161228,12546,11405
20161229,11615,10559
20161230,10603,9639
20170102,6706,6096
20170127,11615,10559
20170130,8213,7466
20170131,6706,6096
20170201,4743,4311
20170228,7056,6414
20170301,4990,4536
20170329,11615,10559
20170330,10603,9639
20170331,9484,8621
20170428,9641,8764
20170526,10455,9504
20170529,7903,7184
20170530,6845,6222
20170531,5588,5080
20170601,3952,3592
20170629,9839,8944
20170630,8982,8165
20170703,5681,5164
20170728,8836,8032
20170731,5588,5080
20170801,3952,3592
20170829,9409,8553
20170830,8711,7919
20170831,7952,7229
20170901,7113,6466
20170928,8083,7348
20170929,7231,6573
20171027,8711,7919
20171030,6160,5600
20171031,5030,4572
20171101,3557,3233
20171129,8083,7348
20171130,7231,6573
20171201,6262,5692
20171228,8711,7919
20171229,7952,7229
20180129,7113,6466
20180130,6160,5600
20180131,5030,4572
20180201,3557,3233
20180228,5293,4811
20180301,3743,3402
20180328,8711,7919
20180329,7952,7229
20180330,7113,6466
20180427,8083,7348
20180430,5113,4648
20180501,3615,3286
20180530,7952,7229
20180531,7113,6466
20180601,7357,6688
20180628,9655,8777
20180629,8637,7851
20180727,16454,14958
20180730,11635,10577
20180731,9500,8636
20180801,6718,6107
20180829,17772,16156
20180830,16454,14958
20180831,15021,13655
20180903,9500,8636
20180928,13657,12415
20181026,17772,16156
20181029,13435,12213
20181030,11635,10577
20181031,9500,8636
20181101,6718,6107
20181128,16726,15205
20181129,15268,13880
20181130,13657,12415
20181228,16454,14958
20181231,11635,10577
20190130,15021,13655
20190131,13435,12213
20190201,11635,10577
20190228,14137,12851
20190301,12242,11129
20190328,15021,13655
20190329,13435,12213
20190426,16726,15205
20190429,11828,10752
20190430,9657,8779
20190501,6829,6208
20190529,16454,14958
20190530,15021,13655
20190531,13435,12213
20190628,13657,12415
20190726,15551,14137
20190729,11756,10687
20190730,10181,9255
20190731,8313,7557
20190801,5878,5343
20190828,19341,17582
20190829,17906,16278
20190830,16346,14860
20190902,10338,9398
20190927,19087,17351
20190930,12071,10973
20191001,8535,7759
20191030,18775,17068
20191031,16793,15266
20191101,14544,13221
20191128,19087,17351
20191129,17071,15519
