date,initial,maintenance
20130102,7903,7184
20130130,17671,16064
20130131,15805,14368
20130201,13688,12443
20130228,16631,15119
20130301,14403,13093
20130328,17671,16064
20130329,15805,14368
20130402,44000,40000
20130506,42557,38688
20130604,42509,38644
20130702,44000,40000
20130805,42557,38688
20130903,43261,39328
20131002,44000,40000
20131104,43261,39328
20131203,44000,40000
20140106,42557,38688
20140204,44000,40000
20140304,42557,38688
20140402,44000,40000
20140505,42557,38688
20140603,43261,39328
20140702,44000,40000
20140804,42557,38688
20140902,44000,40000
20140916,32134,29212
20140917,31113,28284
20140918,30058,27325
20140919,28965,26331
20141002,28600,26000
20141104,27630,25118
20141202,28600,26000
20150105,27662,25147
20150203,28600,26000
20150303,28135,25577
20150402,28600,26000
20150505,27662,25147
20150603,28120,25563
20150702,28600,26000
20150804,27662,25147
20150902,28600,26000
20151005,27662,25147
20151103,28120,25563
20151202,28600,26000
20160105,27181,24710
20160202,28600,26000
20160307,27181,24710
20160404,28600,26000
20160504,27662,25147
20160602,28600,26000
20160704,27662,25147
20160802,28600,26000
20160905,28120,25563
20161004,22343,20311
20161102,23100,21000
20161205,22725,20659
20170104,22343,20311
20170202,23100,21000
20170306,22343,20311
20170404,22712,20647
20170503,22725,20659
20170602,22000,20000
20170704,21279,19344
20170802,22000,20000
20170905,19129,17390
20171003,19478,17707
20171102,19800,18000
20171204,19478,17707
20180104,19151,17410
20180202,19800,18000
20180216,14001,12728
20180219,12411,11282
20180220,11833,10757
20180221,11226,10205
20180222,10584,9621
20180302,14025,12750
20180404,13325,12113
20180502,14025,12750
20180604,15950,14500
20180703,18700,17000
20180802,25300,23000
20180905,23969,21790
20181002,24200,22000
20181105,22990,20900
20181204,28050,25500
20190103,29700,27000
20190205,28049,25499
20190304,24200,22000
20190402,22000,20000
20190502,20350,18500
20190604,22000,20000
20190702,24200,22000
20190802,37400,34000
20190904,38665,35150
20191002,53900,49000
20191104,60500,55000
20191204,57475,52250
20200103,44000,40000
20200205,41554,37776
20200303,35200,32000
20200402,55000,50000
20200506,51942,47220
20200602,55000,50000
20200702,44000,40000
20200805,41800,38000
20200902,37400,34000
20201002,29700,27000
20201103,22000,20000
20201203,20953,19048
20210105,22000,20000
20210203,20777,18888
20210302,22000,20000
20210405,31900,29000
20210505,30223,27475
20210602,31900,29000
20210705,30305,27550
20210803,33000,30000
20210903,31430,28572
20211004,33000,30000
20211103,31350,28500
20211202,31900,29000
20220105,30305,27550
20220202,31900,29000
20220207,30025,27295
20220208,28149,25590
20220209,26271,23882
20220210,24394,22176
20220211,22519,20471
