date,initial,maintenance
20130102,495,450
20130910,605,550
20130911,495,450
20131015,825,750
20131016,633,575
20131122,1100,1000
20131125,743,675
20140131,1480,1300
20140203,743,675
20140314,1650,1500
20140317,550,500
20140613,1320,1200
20140616,495,450
20150109,605,550
20150206,1980,1800
20150209,605,550
20150306,2530,2300
20150309,605,550
20150410,2750,2500
20150413,605,550
20150508,715,650
20160422,1925,1750
20160425,715,650
20160506,880,800
20160715,1650,1500
20160718,660,600
20161118,1540,1400
20161121,550,500
20170323,880,800
20170324,385,350
20170623,330,300
20171006,770,700
20171009,330,300
20180126,385,350
20180202,413,375
20180209,468,425
20180316,550,500
20180319,385,350
20180424,440,400
20180425,385,350
20180601,550,500
20180604,495,450
20180725,605,550
20180903,440,400
20180904,605,550
20181203,440,400
20181204,605,550
20190102,440,400
20190103,605,550
20190111,413,375
20190213,385,350
20190214,358,325
20190222,385,350
20190426,429,390
20190502,358,325
20190503,429,390
20190603,358,325
20190604,429,390
20190621,484,440
20190624,429,390
20190628,539,490
20190701,462,420
20190902,385,350
20190903,462,420
20190918,594,540
20190919,517,470
20191202,440,400
20191203,517,470
20191223,440,400
20200102,363,330
20200103,440,400
20200203,363,330
20200204,440,400
20200302,363,330
20200303,440,400
20200310,561,510
20200312,682,620
20200318,825,750
20200324,1155,1050
20200403,1485,1350
20200417,2035,1850
20200504,1540,1400
20200505,2035,1850
