date,initial,maintenance
20120416,3520,3200
20120806,2750,2500
20130102,2661,2419
20130103,2573,2339
20130104,2484,2258
20130107,2218,2016
20130108,2129,1935
20130109,2041,1855
20130110,1952,1774
20130111,1864,1694
20130114,1598,1452
20130115,1509,1371
20130116,1419,1290
20130117,1331,1210
20130118,1242,1129
20130121,976,887
20130122,887,806
20130123,799,726
20130124,710,645
20130125,622,565
20130128,356,323
20130129,267,242
20130130,178,161
20130131,90,81
20130201,2750,2500
20130205,2653,2411
20130206,2554,2321
20130207,2456,2232
20130208,2358,2143
20130211,2063,1875
20130212,1572,1429
20130213,1493,1357
20130214,1415,1286
20130215,1336,1214
20130218,1100,1000
20130219,1022,929
20130220,943,857
20130221,865,786
20130222,786,714
20130225,550,500
20130226,472,429
20130227,393,357
20130228,315,286
20130301,236,214
20130304,2059,1871
20130305,1987,1806
20130306,1917,1742
20130307,1845,1677
20130308,1775,1613
20130311,1561,1419
20130312,1491,1355
20130313,1419,1290
20130314,1349,1226
20130315,1278,1161
20130318,1065,968
20130319,994,903
20130320,923,839
20130321,852,774
20130322,781,710
20130325,568,516
20130326,498,452
20130327,426,387
20130328,356,323
20130329,284,258
20130401,72,65
20130402,2200,2000
20130403,2127,1933
20130404,2054,1867
20130405,1980,1800
20130408,1760,1600
20130409,1687,1533
20130410,1614,1467
20130411,1540,1400
20130412,1467,1333
20130415,1247,1133
20130416,1174,1067
20130417,1100,1000
20130418,1027,933
20130419,954,867
20130422,734,667
20130423,660,600
20130424,587,533
20130425,514,467
20130426,440,400
20130429,220,200
20130430,147,133
20130501,74,67
20130502,2200,2000
20130506,1987,1806
20130507,1917,1742
20130508,1845,1677
20130509,1775,1613
20130510,1703,1548
20130513,1491,1355
20130514,1419,1290
20130515,1349,1226
20130516,1278,1161
20130517,1207,1097
20130520,994,903
20130521,923,839
20130522,852,774
20130523,781,710
20130524,710,645
20130527,498,452
20130528,426,387
20130529,356,323
20130530,284,258
20130531,214,194
20130603,2127,1933
20130604,2054,1867
20130605,1980,1800
20130606,1907,1733
20130607,1834,1667
20130610,1614,1467
20130611,1540,1400
20130612,1467,1333
20130613,1394,1267
20130614,1320,1200
20130617,1100,1000
20130618,1027,933
20130619,954,867
20130620,880,800
20130621,807,733
