date,initial,maintenance
20130102,1540,1400
20130205,1485,1350
20130304,1441,1310
20130402,1540,1400
20130506,1441,1310
20130604,1438,1307
20130702,1540,1400
20130805,1491,1355
20130904,1643,1493
20130905,1584,1440
20130906,1526,1387
20130909,1350,1227
20130910,990,900
20131107,1100,1000
20131122,1210,1100
20140117,880,800
20140328,660,600
20140725,550,500
20150206,605,550
20150304,715,650
20160127,825,750
20160715,990,900
20161007,880,800
20170317,605,550
20170630,495,450
20170922,578,525
20170929,715,650
20171004,880,800
20171102,825,750
20171103,880,800
20171204,825,750
20171205,880,800
20180103,825,750
20180104,880,800
20180202,660,600
20180205,715,650
20180302,660,600
20180305,715,650
20180402,660,600
20180601,825,750
20180629,660,600
20190426,495,450
20200310,605,550
20200324,660,600
20200417,748,680
20200506,880,800
20200710,715,650
20200814,660,600
20201030,550,500
