date,initial,maintenance
20120117,2200,2000
20120213,2750,2500
20120416,1925,1750
20130102,3080,2800
20130306,2981,2710
20130307,3080,2800
20130430,2200,2000
20130716,2750,2500
20131015,2200,2000
20140117,1870,1700
20140502,2090,1900
20140725,1870,1700
20140828,2090,1900
20140903,2735,2486
20140917,4195,3813
20140918,3885,3531
20140919,3574,3249
20140922,3011,2737
20140923,2700,2454
20140924,2638,2398
20140930,2677,2433
20141001,2726,2478
20141103,2747,2497
20141117,4081,3710
20141118,3731,3391
20141119,3384,3076
20141120,3032,2756
20141121,2801,2546
20141126,2859,2599
20141128,2878,2616
20141201,2922,2656
20141215,5498,4998
20141216,5147,4679
20141217,4791,4355
20141218,4440,4036
20141219,4085,3713
20141222,3485,3168
20141223,3130,2845
20141224,3090,2809
20150102,3146,2860
20150129,3259,2962
20150130,3109,2826
20150205,3265,2968
20150219,3654,3321
20150220,3249,2953
20150223,3177,2888
20150227,3273,2975
20150302,3299,2999
20150401,3574,3249
20150415,5684,5167
20150416,5298,4816
20150417,4906,4460
20150420,4264,3876
20150421,3874,3521
20150422,3487,3170
20150423,3234,2940
20150430,3350,3045
20150501,3375,3068
20150515,4661,4237
20150518,4020,3654
20150519,3626,3296
20150520,3232,2938
20150521,3119,2835
20150529,3234,2940
20150601,3262,2965
20150615,4877,4433
20150616,4507,4097
20150617,4130,3754
20150618,3759,3417
20150619,3278,2980
20150622,3003,2730
20150630,3119,2835
20150701,3152,2865
20150729,3448,3134
20150730,3325,3022
20150731,3427,3115
20150803,3399,3090
20150817,4814,4376
20150818,4413,4011
20150819,4002,3638
20150820,3593,3266
20150821,3311,3010
20150831,3427,3115
20150901,3447,3133
20150915,5295,4813
20150916,4881,4437
20150917,4474,4067
20150918,4059,3690
20150921,3390,3081
20150922,3350,3045
20150930,3427,3115
20151001,3446,3132
20151015,5330,4845
20151016,4938,4489
20151019,4294,3903
20151020,3902,3547
20151021,3504,3185
20151022,3350,3045
20151030,3427,3115
20151102,3448,3134
20151116,4727,4297
20151117,4301,3910
20151118,3876,3523
20151119,3451,3137
20151120,3350,3045
20151130,3427,3115
20151201,3446,3132
20160104,3354,3049
20160118,4262,3874
20160119,3870,3518
20160120,3478,3161
20160121,3090,2809
20160122,3042,2765
20160129,3119,2835
20160201,3155,2868
20160215,4655,4231
20160216,4268,3880
20160217,3883,3530
20160218,3497,3179
20160219,3111,2828
20160222,3042,2765
20160229,3119,2835
20160301,3152,2865
20160315,5014,4558
20160316,4662,4238
20160317,4305,3913
20160318,3953,3593
20160321,3209,2917
20160322,2965,2695
20160401,3008,2734
20160415,3190,2900
20160418,2965,2695
20160502,3008,2734
20160516,3029,2753
20160517,2965,2695
20160601,3005,2731
20160615,3439,3126
20160616,3256,2960
20160617,3066,2787
20160620,2965,2695
20160701,3009,2735
20160715,3175,2886
20160718,2965,2695
20160801,3003,2730
20160816,2965,2695
20160825,2849,2590
20160901,2713,2466
20160902,4420,4018
20160906,4186,3805
20160907,3956,3596
20160908,3722,3383
20160909,3487,3170
20160912,3258,2961
20160913,3023,2748
20160914,2849,2590
20161003,2713,2466
20161004,4420,4018
20161005,4186,3805
20161006,3877,3524
20161007,3647,3315
20161010,3417,3106
20161011,3192,2901
20161012,2963,2693
20161013,2792,2538
20161101,2658,2416
20161102,4331,3937
20161103,4101,3728
20161104,3877,3524
20161107,3647,3315
20161108,3417,3106
20161109,3192,2901
20161110,2963,2693
20161111,2792,2538
20161201,2658,2416
20161216,2908,2643
20161230,2946,2678
20170103,2799,2544
20170201,2790,2536
20170301,2819,2562
20170316,2618,2380
20170331,2638,2398
20170403,2497,2270
20170404,4046,3678
20170405,3808,3461
20170406,3567,3242
20170407,3332,3029
20170410,3093,2811
20170411,2858,2598
20170412,2618,2380
20170428,2638,2398
20170501,2519,2290
20170516,2484,2258
20170531,2503,2275
20170601,2391,2173
20170616,2484,2258
20170630,2503,2275
20170703,2378,2161
20170801,2321,2110
20170816,2407,2188
20170831,2426,2205
20170901,2469,2244
20170905,4233,3848
20170908,3342,3038
20170911,3119,2835
20170912,2897,2633
20170913,2673,2430
20170914,2561,2328
20170929,2600,2363
20171002,2482,2256
20171017,2503,2275
20171031,2541,2310
20171101,2419,2199
20171201,2415,2195
20180102,2419,2199
20180118,2387,2170
20180126,2253,2048
20180131,2292,2083
20180201,2170,1972
20180301,2182,1983
20180403,3555,3231
20180501,2243,2039
20180516,2349,2135
20180524,2407,2188
20180531,2446,2223
20180601,2328,2116
20180628,2426,2205
20180629,2464,2240
20180702,2346,2132
20180720,2792,2538
20180731,2831,2573
20180801,2709,2462
20180816,2792,2538
20180828,2638,2398
20180831,2677,2433
20180904,2535,2304
20181001,2561,2328
20181016,2638,2398
20181031,2677,2433
20181101,2548,2316
20181119,2792,2538
20181123,2831,2573
20181127,2908,2643
20181130,2946,2678
20181203,2799,2544
20190102,2804,2549
20190201,2790,2536
20190301,2658,2416
20190401,2548,2316
20190419,2551,2319
20190430,2561,2328
20190501,2446,2223
20190516,2551,2319
20190531,2561,2328
20190603,2433,2211
20190625,2715,2468
20190628,2724,2476
20190701,2602,2365
20190717,2715,2468
20190731,2724,2476
20190801,2602,2365
20190816,2715,2468
20190830,2724,2476
20190903,2588,2352
20190919,3003,2730
20190930,3042,2765
20191001,2911,2646
20191016,3003,2730
20191031,3042,2765
20191101,2890,2627
20191202,2786,2532
20200102,2658,2416
20200203,2644,2403
20200302,2666,2423
20200317,2946,2678
20200331,2985,2713
20200401,2841,2582
20200424,3447,3133
20200428,3619,3290
20200430,4024,3658
20200501,3823,3475
20200518,3619,3290
20200529,4024,3658
20200601,3843,3493
20200616,3408,3098
20200619,3735,3395
20200630,3870,3518
20200701,3695,3359
20200717,3619,3290
20200731,3716,3378
20200803,3537,3215
20200818,3427,3115
20200831,3504,3185
20200901,3336,3032
20200917,3427,3115
20200918,3196,2905
20200930,3273,2975
20201001,3126,2841
20201016,3042,2765
20201030,3080,2800
20201102,2926,2660
20201201,2942,2674
20201216,3042,2765
20201231,3080,2800
20210104,2918,2652
20210202,4726,4296
20210203,4447,4042
20210204,4166,3787
20210205,3892,3538
20210208,3612,3283
20210209,3338,3034
20210210,3057,2779
20210211,3042,2765
20210226,3080,2800
20210301,2948,2680
20210316,3196,2905
20210322,3494,3176
20210331,3514,3194
20210401,3355,3050
20210416,3494,3176
20210430,3514,3194
20210503,3338,3034
20210601,3355,3050
20210616,3494,3176
20210630,3514,3194
20210701,3344,3040
20210723,4043,3675
20210730,4063,3693
20210802,3879,3526
20210817,4043,3675
20210831,4063,3693
20210901,3867,3515
20211004,6302,5729
20211005,5968,5425
20211006,5640,5127
20211007,5306,4823
20211008,4972,4520
20211011,4645,4222
20211012,4310,3918
20211013,4043,3675
20211029,4063,3693
20211101,3867,3515
20211102,6302,5729
