date,initial,maintenance
20111212,2090,1900
20111219,3300,3000
20120117,3960,3600
20120416,2750,2500
20120806,1925,1750
20121120,2475,2250
20130108,2395,2177
20130207,2475,2250
20130307,2316,2105
20130405,2475,2250
20130708,2395,2177
20130807,2475,2250
20130909,2310,2100
20131007,2475,2250
20131107,1595,1450
20131206,1650,1500
20140108,1598,1452
20140207,1650,1500
20140507,1598,1452
20140606,1650,1500
20140708,1598,1452
20140807,1650,1500
20140908,1595,1450
20141007,1430,1300
20141107,1335,1213
20141205,1650,1500
20150108,2059,1871
20150206,2640,2400
20150306,3960,3600
20150408,3828,3480
20150507,3705,3368
20150602,3960,3600
20150804,3705,3368
20150902,3960,3600
20151103,3828,3480
20151202,3960,3600
20160105,3578,3252
20160202,3300,3000
20160404,3190,2900
20160503,3194,2903
20160602,2860,2600
20160705,2186,1987
20160802,2420,2200
20161004,2264,2058
20161102,2420,2200
20170104,2264,2058
20170202,2420,2200
20170404,2259,2053
20170502,2420,2200
20170705,2186,1987
20170802,2420,2200
20170905,2259,2053
20171003,2342,2129
20171102,2420,2200
20171204,2342,2129
20180202,2420,2200
20180302,1980,1800
20180403,1914,1740
20180502,1760,1600
20180604,1702,1547
20180703,1703,1548
20180802,2200,2000
20180905,1683,1530
20181002,1375,1250
20181204,1331,1210
20190103,1375,1250
20190304,1699,1544
20190402,1815,1650
20190502,2090,1900
20190604,2567,2333
20190702,4125,3750
20190802,4620,4200
20190904,4312,3920
20191002,4620,4200
20191104,4466,4060
20191203,5500,5000
20200204,5311,4828
20200303,5323,4839
20200402,5500,5000
20200504,7203,6548
