date,initial,maintenance
20130102,11854,10776
20130130,26507,24097
20130131,23709,21553
20130201,20532,18665
20130228,24946,22678
20130301,21604,19640
20130328,26507,24097
20130329,23709,21553
20130402,66000,60000
20130506,63836,58032
20130604,63763,57966
20130702,66000,60000
20130805,64927,59024
20130904,63763,57966
20131002,66000,60000
20131104,64892,58992
20131203,66000,60000
20140106,63836,58032
20140204,66000,60000
20140304,63836,58032
20140402,66000,60000
20140505,63836,58032
20140603,64892,58992
20140702,66000,60000
20140804,64927,59024
20140903,64892,58992
20141002,66000,60000
20141104,63763,57966
20141202,66000,60000
20150105,63836,58032
20150203,66000,60000
20150303,64927,59024
20150402,66000,60000
20150504,63836,58032
20150602,66000,60000
20150706,63836,58032
20150804,62726,57023
20150901,66000,60000
20151005,63836,58032
20151103,64892,58992
20151202,66000,60000
20160105,62726,57023
20160202,66000,60000
20160307,62726,57023
20160404,64892,58992
20160503,64927,59024
20160602,66000,60000
20160705,62726,57023
20160802,66000,60000
20160905,64892,58992
20161004,42557,38688
20161102,44000,40000
20161205,43285,39350
20170104,42557,38688
20170202,44000,40000
20170306,42557,38688
20170404,42509,38644
20170502,44000,40000
20170602,33000,30000
20170705,31363,28511
20170802,33000,30000
20170905,27630,25118
20171003,28135,25577
20171102,28600,26000
20171204,28135,25577
20180104,27662,25147
20180202,28600,26000
20180216,20224,18385
20180219,17926,16296
20180220,17092,15538
20180221,16216,14741
20180222,15288,13898
20180302,16500,15000
20180405,15633,14211
20180502,16500,15000
20180604,22000,20000
20180703,26950,24500
20180802,34100,31000
20180905,32306,29369
20181002,29700,27000
20181102,31900,29000
20181204,44000,40000
20190104,41800,38000
20190204,44000,40000
20190304,33000,30000
20190403,31350,28500
20190502,29920,27200
20190604,32120,29200
20190702,37400,34000
20190805,35621,32382
20190904,35530,32300
20191002,44000,40000
20191105,41686,37896
20191203,44000,40000
20200103,35200,32000
20200205,33244,30221
20200303,26400,24000
20200402,52800,48000
20200504,58300,53000
20200603,55525,50477
20200702,46200,42000
20200804,37950,34500
20200903,36053,32775
20201002,33000,30000
20201103,28600,26000
20201203,27239,24762
20210105,28600,26000
20210203,27010,24554
20210302,28600,26000
20210405,39600,36000
20210506,37398,33998
20210602,39600,36000
20210705,37620,34200
20210803,44550,40500
20210903,42430,38572
20211004,44550,40500
20211103,42430,38572
20211202,43450,39500
20220106,41165,37422
20220202,43450,39500
20220203,41165,37422
20220204,38876,35341
20220207,36590,33263
20220208,34304,31185
20220209,32015,29104
20220210,29729,27026
20220211,27443,24948
