date,initial,maintenance
20111212,49500,45000
20120302,55000,50000
20120504,66000,60000
20120529,82500,75000
20130102,2307,2097
20130103,71500,65000
20130107,64581,58710
20130108,62275,56613
20130109,59968,54516
20130110,57661,52419
20130111,55356,50323
20130114,48436,44032
20130115,46129,41935
20130116,43823,39839
20130117,41517,37742
20130118,39210,35645
20130121,32291,29355
20130122,29984,27258
20130123,27678,25161
20130124,25372,23065
20130125,23065,20968
20130128,16145,14677
20130129,13840,12581
20130130,11533,10484
20130131,9226,8387
20130201,6919,6290
20130204,71500,65000
20130205,58340,53036
20130206,56179,51071
20130207,54018,49107
20130208,51858,47143
20130211,45375,41250
20130212,43215,39286
20130213,41054,37321
20130214,38893,35357
20130215,36733,33393
20130218,30250,27500
20130219,28090,25536
20130220,25929,23571
20130221,23768,21607
20130222,21608,19643
20130225,15125,13750
20130226,12965,11786
20130227,10804,9821
20130228,8643,7857
20130301,6483,5893
20130304,56598,51452
20130305,54645,49677
20130306,52694,47903
20130307,50742,46129
20130308,48791,44355
20130311,42936,39032
20130312,40984,37258
20130313,39033,35484
20130314,37081,33710
20130315,35129,31935
20130318,29275,26613
20130319,27323,24839
20130320,25372,23065
20130321,23419,21290
20130322,21468,19516
20130325,15614,14194
20130326,13661,12419
20130327,11710,10645
20130328,9759,8871
20130329,7807,7097
20130401,1952,1774
20130402,60500,55000
20130403,58484,53167
20130404,56467,51333
20130405,54450,49500
20130408,48400,44000
20130409,46384,42167
20130410,44367,40333
20130411,42350,38500
20130412,40334,36667
20130415,34284,31167
20130416,32267,29333
20130417,30250,27500
20130418,28234,25667
20130419,26217,23833
20130422,20167,18333
20130423,18150,16500
20130424,16134,14667
20130425,14117,12833
20130426,12100,11000
20130429,6050,5500
20130430,4034,3667
20130501,2017,1833
20130502,60500,55000
20130506,56598,51452
20130507,54645,49677
20130508,52694,47903
20130509,50742,46129
20130510,48791,44355
20130513,42936,39032
20130514,40984,37258
20130515,39033,35484
20130516,37081,33710
20130517,35129,31935
20130520,29275,26613
20130521,27323,24839
20130522,25372,23065
20130523,23419,21290
20130524,21468,19516
20130527,15614,14194
20130528,13661,12419
20130529,11710,10645
20130530,9759,8871
20130531,7807,7097
20130603,1952,1774
20130604,56467,51333
20130605,54450,49500
20130606,52434,47667
20130607,50417,45833
20130610,44367,40333
20130611,42350,38500
20130612,40334,36667
20130613,38317,34833
20130614,36300,33000
20130617,30250,27500
20130618,28234,25667
20130619,26217,23833
20130620,24200,22000
20130621,22184,20167
20130624,16134,14667
20130625,14117,12833
20130626,12100,11000
20130627,10084,9167
20130628,8067,7333
20130701,2017,1833
20130702,60500,55000
20130703,58549,53226
20130704,56598,51452
20130705,54645,49677
20130708,48791,44355
20130709,46840,42581
20130710,44887,40806
20130711,42936,39032
20130712,40984,37258
20130715,35129,31935
20130716,33178,30161
20130717,31226,28387
20130718,29275,26613
20130719,27323,24839
20130722,21468,19516
20130723,19517,17742
20130724,17565,15968
20130725,15614,14194
20130726,13661,12419
20130729,7807,7097
20130730,5856,5323
20130731,3903,3548
20130801,1952,1774
20130802,60500,55000
20130805,58549,53226
20130806,56598,51452
20130807,54645,49677
20130808,52694,47903
20130809,50742,46129
20130812,44887,40806
20130813,42936,39032
20130814,40984,37258
20130815,39033,35484
20130816,37081,33710
20130819,31226,28387
20130820,29275,26613
20130821,27323,24839
20130822,25372,23065
20130823,23419,21290
20130826,17565,15968
20130827,15614,14194
20130828,13661,12419
20130829,11710,10645
20130830,9759,8871
20130902,3903,3548
20130903,1952,1774
20130904,56467,51333
20130905,54450,49500
20130906,52434,47667
20130909,46384,42167
20130910,44367,40333
20130911,42350,38500
20130912,40334,36667
20130913,38317,34833
20130916,32267,29333
20130917,30250,27500
20130918,28234,25667
20130919,26217,23833
20130920,24200,22000
20130923,18150,16500
20130924,16134,14667
20130925,14117,12833
20130926,12100,11000
20130927,10084,9167
20130930,4034,3667
20131001,2017,1833
