date,initial,maintenance
20130108,8116,7378
20130207,8250,7500
20130307,7980,7254
20130405,8250,7500
20130507,8250,7500
20130607,8250,7500
20130708,8116,7378
20130807,8250,7500
20130909,7971,7246
20131007,8250,7500
20131107,8112,7374
20131206,8250,7500
20140108,8116,7378
20140207,8250,7500
20140307,8250,7500
20140407,8250,7500
20140507,8116,7378
20140606,8250,7500
20140708,8116,7378
20140804,8116,7378
20140903,8112,7374
20141002,8250,7500
20141104,7971,7246
20141202,8250,7500
20150105,7980,7254
20150203,8250,7500
20150303,8116,7378
20150402,8250,7500
20150504,7980,7254
20150602,8250,7500
20150702,8250,7500
20150804,7980,7254
20150902,8250,7500
20151002,8250,7500
20151103,8112,7374
20151202,8250,7500
20160105,7841,7128
20160202,8250,7500
20160302,8250,7500
20160404,8112,7374
20160503,8116,7378
20160602,8250,7500
20160705,7841,7128
20160802,8250,7500
20160902,8250,7500
20161004,4788,4352
20161102,4950,4500
20161202,4950,4500
20170104,4788,4352
20170202,4950,4500
20170302,4950,4500
20170404,4782,4347
20170502,4950,4500
20170602,4950,4500
20170705,4705,4277
20170802,4950,4500
20170905,4782,4347
20171003,4870,4427
20171102,4950,4500
20171204,4870,4427
20180103,4870,4427
20180202,4950,4500
20180302,4950,4500
20180403,4867,4424
20180502,4950,4500
20180604,4056,3687
20180703,4058,3689
20180802,4125,3750
20180905,3914,3558
20181002,4125,3750
20181102,4840,4400
20181204,5627,5115
20190103,5720,5200
20190204,5720,5200
20190304,5532,5029
20190402,4675,4250
20190502,4125,3750
20190604,3986,3623
20190702,4400,4000
20190802,4400,4000
20190904,5313,4830
20191002,6875,6250
20191104,5313,4830
20191202,4813,4375
20200103,4263,3875
20200204,4189,3808
20200303,4194,3812
20200402,7838,7125
20200504,7581,6891
