date,initial,maintenance
20120213,3520,3200
20121120,2970,2700
20130102,2779,2526
20130131,2683,2439
20130228,3300,3000
20130328,3850,3500
20130531,3478,3161
20130628,3850,3500
20130731,3726,3387
20130830,4125,3750
20131031,3602,3274
20131129,3850,3500
20140131,3478,3161
20140303,7606,6914
20140401,2579,2344
20140501,2340,2127
20140602,2532,2301
20140701,2528,2298
20140801,2514,2285
20140901,2577,2342
20141001,2445,2222
20141103,2792,2538
20141201,3717,3379
20150102,4195,3813
20150202,4535,4122
20150302,3528,3207
20150401,3810,3463
20150501,3540,3218
20150601,3501,3182
20150701,3239,2944
20150803,3437,3124
20150901,3469,3153
20151001,3430,3118
20151102,3478,3161
20151201,3459,3144
20160104,3190,2900
20160201,3821,3473
20160301,2848,2589
20160401,2833,2575
20160502,2825,2568
20160601,2824,2567
20160701,2538,2307
20160801,2550,2318
20160901,2291,2082
20161003,2603,2366
20161101,2606,2369
20161201,2603,2366
20170102,3023,2748
20170201,2863,2602
20170301,2782,2529
20170403,2611,2373
20170501,2723,2475
20170601,2455,2231
20170703,2227,2024
20170801,2368,2152
20170901,2953,2684
20171002,3412,3101
20171101,3260,2963
20171201,3250,2954
20180102,3178,2889
20180201,2259,2053
20180301,2339,2126
20180330,2461,2237
20180501,2442,2220
20180601,2860,2600
20180702,3052,2774
20180801,3764,3421
20180903,3754,3412
20181001,2108,1916
20181101,2155,1959
20181203,2576,2341
20190102,2308,2098
20190201,2301,2091
20190301,2117,1924
20190401,1990,1809
20190501,1929,1753
20190603,1917,1742
20190701,2060,1872
20190801,2478,2252
20190902,2595,2359
20191001,2822,2565
20191101,2744,2494
20191202,2549,2317
20200102,2470,2245
20200203,2295,2086
20200302,2446,2223
20200401,5313,4830
20200501,16180,14709
