date,initial,maintenance
20130102,8250,7500
20130108,8116,7378
20130109,7980,7254
20130110,7841,7128
20130111,7699,6999
20130114,7259,6599
20130115,7106,6460
20130116,6950,6318
20130117,6791,6173
20130118,6627,6024
20130121,6110,5554
20130122,5927,5388
20130123,5739,5217
20130124,5544,5040
20130125,5343,4857
20130128,4686,4260
20130129,4446,4041
20130130,4191,3810
20130131,3921,3564
20130201,3630,3300
20130204,8250,7500
20130208,8102,7365
20130211,7639,6944
20130212,7477,6797
20130213,7313,6648
20130214,7145,6495
20130215,6973,6339
20130218,6429,5844
20130219,6236,5669
20130220,6038,5489
20130221,5834,5303
20130222,5621,5110
20130225,4931,4482
20130226,4678,4252
20130227,4410,4009
20130228,4125,3750
20130301,3820,3472
20130304,8250,7500
20130306,8116,7378
20130307,7980,7254
20130308,7841,7128
20130311,7409,6735
20130312,7259,6599
20130313,7106,6460
20130314,6950,6318
20130315,6791,6173
20130318,6287,5715
20130319,6110,5554
20130320,5927,5388
20130321,5739,5217
20130322,5544,5040
20130325,4915,4468
20130326,4686,4260
20130327,4446,4041
20130328,4191,3810
20130329,3921,3564
20130401,8250,7500
20130408,8112,7374
20130409,7971,7246
20130410,7827,7115
20130411,7681,6982
20130412,7532,6847
20130415,7066,6423
20130416,6903,6275
20130417,6737,6124
20130418,6566,5969
20130419,6390,5809
20130422,5834,5303
20130423,5636,5123
20130424,5431,4937
20130425,5218,4743
20130426,4996,4541
20130429,4261,3873
20130430,3986,3623
20130501,3690,3354
20130502,8250,7500
20130508,8116,7378
20130509,7980,7254
20130510,7841,7128
20130513,7409,6735
20130514,7259,6599
20130515,7106,6460
20130516,6950,6318
20130517,6791,6173
20130520,6287,5715
20130521,6110,5554
20130522,5927,5388
20130523,5739,5217
20130524,5544,5040
20130527,4915,4468
20130528,4686,4260
20130529,4446,4041
20130530,4191,3810
20130531,3921,3564
20130603,8250,7500
20130610,7971,7246
20130611,7827,7115
20130612,7681,6982
20130613,7532,6847
20130614,7379,6708
20130617,6903,6275
20130618,6737,6124
20130619,6566,5969
20130620,6390,5809
20130621,6211,5646
20130624,5636,5123
20130625,5431,4937
20130626,5218,4743
20130627,4996,4541
20130628,4763,4330
20130701,8250,7500
20130708,8116,7378
20130709,7980,7254
20130710,7841,7128
20130711,7699,6999
20130712,7556,6869
20130715,7106,6460
20130716,6950,6318
20130717,6791,6173
20130718,6627,6024
20130719,6460,5872
20130722,5927,5388
20130723,5739,5217
20130724,5544,5040
20130725,5343,4857
20130726,5133,4666
20130729,4446,4041
20130730,4191,3810
20130731,3921,3564
20130801,3630,3300
20130802,8250,7500
20130812,7841,7128
20130813,7699,6999
20130814,7556,6869
20130815,7409,6735
20130816,7259,6599
20130819,6791,6173
20130820,6627,6024
20130821,6460,5872
20130822,6287,5715
20130823,6110,5554
20130826,5544,5040
20130827,5343,4857
20130828,5133,4666
20130829,4915,4468
20130830,4686,4260
20130902,8250,7500
20130909,7971,7246
20130910,7827,7115
20130911,7681,6982
20130912,7532,6847
20130913,7379,6708
20130916,6903,6275
20130917,6737,6124
20130918,6566,5969
20130919,6390,5809
20130920,6211,5646
20130923,5636,5123
20130924,5431,4937
20130925,5218,4743
20130926,4996,4541
20130927,4763,4330
20130930,3986,3623
20131001,3690,3354
20131002,8250,7500
20131008,8116,7378
20131009,7980,7254
20131010,7841,7128
20131011,7699,6999
20131014,7259,6599
20131015,7106,6460
20131016,6950,6318
20131017,6791,6173
20131018,6627,6024
20131021,6110,5554
20131022,5927,5388
20131023,5739,5217
20131024,5544,5040
20131025,5343,4857
20131028,4686,4260
20131029,4446,4041
20131030,4191,3810
20131031,3921,3564
20131101,3630,3300
20131104,8250,7500
20131107,8112,7374
20131108,7971,7246
20131111,7532,6847
20131112,7379,6708
20131113,7224,6567
20131114,7066,6423
20131115,6903,6275
20131118,6390,5809
20131119,6211,5646
20131120,6025,5477
20131121,5834,5303
20131122,5636,5123
20131125,4996,4541
20131126,4763,4330
20131127,4519,4108
20131128,4261,3873
20131129,3986,3623
20131202,8250,7500
