date,initial,maintenance
20120806,3068,2789
20121030,3922,3565
20130102,3264,2967
20130103,2475,2250
20130212,2200,2000
20130507,2475,2250
20140109,3295,2177
20140110,1760,1600
20140227,1320,1200
20140404,2261,2056
20140407,1650,1500
20140714,1955,1839
20140715,1485,1350
20140905,2280,2073
20140908,1760,1600
20141024,2509,2281
20141027,1760,1600
20141205,2703,2457
20141208,2035,1850
20150410,2800,2545
20150413,2035,1850
20150508,3327,3025
20150511,2035,1850
20150522,4846,4405
20150525,2035,1850
20150904,2475,2250
20150925,2750,2500
20151204,3025,2750
20151211,3575,3250
20160310,3850,3500
20160922,3674,3340
20160923,2750,2500
20161209,2908,2644
20161212,2200,2000
20170601,2469,2244
20170602,1540,1400
20170906,1760,1600
20180803,2039,1853
20180806,1430,1300
20180907,2226,2024
20180910,1650,1500
20190308,2781,2528
20190311,2200,2000
20190417,1650,1500
20190503,2466,2242
20190506,1650,1500
20190530,2200,2000
20190628,1870,1700
20191115,2554,2321
20191118,2310,2100
20200117,2090,1900
20200312,2860,2600
20200318,3740,3400
20200325,5060,4600
