date,initial,maintenance
20130102,2750,2500
20130205,2310,2100
20130603,2233,2030
20130604,2310,2100
20130903,2233,2030
20130904,2310,2100
20140124,3300,3000
20140131,3740,3400
20140214,4400,4000
20140303,4259,3871
20140317,3300,3000
20140402,6325,5750
20140502,4400,4000
20140519,2750,2500
20140603,4254,3867
20140618,2750,2500
20140702,4400,4000
20140707,3975,3613
20140708,3833,3484
20140709,3691,3355
20140710,3549,3226
20140711,3407,3097
20140714,2750,2500
20140804,3833,3484
20140805,3705,3368
20140806,3578,3252
20140807,3449,3135
20140808,3321,3019
20140811,2939,2671
20140812,2811,2555
20140813,2750,2500
20140903,3828,3480
20140904,3696,3360
20140905,3564,3240
20140908,3168,2880
20140909,3036,2760
20140910,2904,2640
20140911,2772,2520
20140912,2750,2500
20140919,2200,2000
20141002,3300,3000
20141021,2640,2400
20141103,2552,2320
20141104,2640,2400
20141202,3300,3000
20141208,3190,2900
20141212,3740,3400
20150130,3300,3000
20150203,3960,3600
20150204,3819,3471
20150205,3678,3343
20150206,3536,3214
20150209,3300,3000
20150303,3833,3484
20150304,3705,3368
20150305,3578,3252
20150306,3449,3135
20150309,3300,3000
20150313,2970,2700
20150402,3300,3000
20150406,3080,2800
20150407,2970,2700
20150417,2310,2100
20150504,2470,2245
20150505,2385,2168
20150506,2310,2100
20150529,2096,1905
20150602,2101,1910
20150603,2096,1905
20150605,2310,2100
20150702,2365,2150
20150706,2310,2100
20150803,2236,2032
20150804,2310,2100
20150902,2365,2150
20150903,2310,2100
20151002,2365,2150
20151005,2310,2100
20151202,2365,2150
20151207,2310,2100
20160104,2162,1965
20160105,2310,2100
20160202,2365,2150
20160203,2310,2100
20160205,1650,1500
20160302,1760,1600
20160307,1650,1500
20160318,1430,1300
20160701,1383,1257
20160706,1430,1300
20160801,1383,1257
20160803,1430,1300
20161020,1265,1150
20161101,1430,1300
20161107,1383,1257
20161108,1265,1150
20161201,1430,1300
20161206,1384,1258
20161207,1375,1250
20170102,1430,1300
20170104,1384,1258
20170105,1375,1250
20170201,1430,1300
20170206,1375,1250
20170207,1760,1600
20170210,2200,2000
20170301,2475,2250
20170306,2395,2177
20170307,2316,2105
20170308,2236,2032
20170309,2200,2000
20170403,2475,2250
20170404,2393,2175
20170405,2310,2100
20170406,2228,2025
20170407,2200,2000
20170501,2475,2250
20170504,2395,2177
20170505,2316,2105
20170508,2200,2000
20170526,1540,1400
20170601,2200,2000
20170607,2127,1933
20170608,2054,1867
20170609,1980,1800
20170612,1760,1600
20170613,1687,1533
20170614,1614,1467
20170615,1540,1400
20170703,2200,2000
20170704,2129,1935
20170705,2059,1871
20170706,1987,1806
20170707,1917,1742
20170710,1703,1548
20170711,1633,1484
20170712,1561,1419
20170713,1430,1300
20170801,1870,1700
20170807,1810,1645
20170808,1749,1590
20170809,1689,1535
20170810,1630,1481
20170811,1845,1677
20170814,1650,1500
20170901,2200,2000
20170905,2127,1933
20170906,2054,1867
20170907,1980,1800
20170908,1907,1733
20170911,1687,1533
20170912,1650,1500
20171002,2200,2000
20171004,2129,1935
20171005,2059,1871
20171006,2420,2200
20171101,2640,2400
20171106,2552,2320
20171107,2464,2240
20171108,2420,2200
20171201,2640,2400
20171205,2556,2323
20171206,2470,2245
20171207,2420,2200
20180102,2640,2400
20180104,2556,2323
20180105,2470,2245
20180108,2420,2200
20180201,2640,2400
20180205,2452,2229
20180206,2420,2200
20180301,2640,2400
20180305,2556,2323
20180306,2470,2245
20180307,2420,2200
20180321,2200,2000
20180330,2420,2200
20180404,2340,2127
20180405,2259,2053
20180406,2200,2000
20180501,2420,2200
20180502,2090,1900
20180507,1955,1777
20180508,1925,1750
20180601,2090,1900
20180605,2021,1837
20180606,1951,1773
20180607,1925,1750
20180702,2090,1900
20180704,2023,1839
20180705,1955,1777
20180706,1925,1750
20180718,2200,2000
20180801,2365,2150
20180807,2290,2081
20180808,2365,2150
20180809,2200,2000
20180903,2365,2150
20180904,2286,2078
20180905,2208,2007
20180906,2200,2000
20181001,2365,2150
20181004,2290,2081
20181005,2213,2011
20181008,2200,2000
20181016,2695,2450
20181101,2750,2500
20181106,2695,2450
20181127,2805,2550
20181203,2860,2600
20181205,2805,2550
20181228,3355,3050
20190102,3383,3075
20190107,3355,3050
20190201,3383,3075
20190206,3355,3050
20190301,3383,3075
20190304,3274,2976
20190305,3355,3050
20190307,2530,2300
20190401,2750,2500
20190404,2659,2417
20190405,2567,2333
20190408,2530,2300
20190425,2200,2000
20190501,2420,2200
20190506,2342,2129
20190507,2264,2058
20190508,2200,2000
20190603,2420,2200
20190604,2340,2127
20190605,2259,2053
20190606,2200,2000
20190701,2420,2200
20190704,2342,2129
20190705,2264,2058
20190708,2200,2000
20190801,2420,2200
20190806,2661,2419
20190807,2573,2339
20190808,2530,2300
20190902,2750,2500
20190904,2659,2417
20190905,2567,2333
20190906,2530,2300
20190918,3300,3000
20191001,3520,3200
20191007,3300,3000
20191023,2860,2600
20191101,2970,2700
20191105,2871,2610
20191106,2860,2600
20191202,2970,2700
20191205,2875,2613
20191206,2860,2600
20200102,2970,2700
20200103,2530,2300
20200116,1980,1800
20200310,2420,2200
20200422,2640,2400
20200504,2556,2323
20200505,2640,2400
20200707,2530,2300
20200731,2310,2100
20200804,2236,2032
20200805,2310,2100
20200903,2090,1900
20201120,1760,1600
20201222,2090,1900
20210104,2023,1839
20210105,1955,1777
20210106,2090,1900
20210114,2200,2000
20210120,2530,2300
20210122,3080,2800
20210201,3300,3000
20210202,3520,3200
20210204,3395,3086
20210205,3300,3000
20210301,3520,3200
20210308,3300,3000
20210401,3520,3200
20210406,3403,3093
20210407,3300,3000
20210503,3520,3200
20210504,3407,3097
20210505,3300,3000
20210531,3520,3200
20210604,3403,3093
20210607,3300,3000
20210701,3520,3200
20210705,3407,3097
20210706,3300,3000
20210723,3520,3200
20210730,3740,3400
20210802,3572,3247
20210803,3520,3200
20210831,3740,3400
20210901,3561,3237
20210902,3520,3200
20210930,3740,3400
20211001,3666,3332
20211004,3740,3400
20211005,4290,3900
20211029,4400,4000
20211101,4189,3808
20211102,4290,3900
20211130,4400,4000
20211201,4202,3820
20211202,5280,4800
20211231,5500,5000
20220103,5225,4750
20220104,5280,4800
20220131,5500,5000
20220201,5209,4735
20220202,5280,4800
