date,initial,maintenance
20121016,58300,53000
20130102,55000,50000
20130212,46200,42000
20130319,39600,36000
20130401,58300,53000
20130402,39600,36000
20130430,46200,42000
20130903,52800,48000
20130904,46200,42000
20131122,49500,45000
20131125,42900,39000
20140109,36300,33000
20140314,45100,41000
20140317,33000,30000
20140421,38500,35000
20140422,28600,26000
20140822,31900,29000
20140912,37400,34000
20141202,41800,38000
20141203,40700,37000
20150109,44000,40000
20150112,42900,39000
20150219,47300,43000
20150304,50600,46000
20150619,42350,38500
20150622,41800,38000
20150708,47850,43500
20150709,47300,43000
20150901,47850,43500
20150902,47300,43000
20150904,50600,46000
20160311,52800,48000
20160314,45100,41000
20160329,41800,38000
20160330,38500,35000
20160523,35200,32000
20161003,31900,29000
20161209,33000,30000
20170301,31581,28710
20170302,33000,30000
20170310,29700,27000
20170501,28364,25785
20170502,29700,27000
20170505,26950,24500
20170601,25738,23398
20170602,26950,24500
20170630,24750,22500
20170801,23687,21533
20170802,24750,22500
20170804,22550,20500
20170901,21423,19475
20170904,22550,20500
20171101,21468,19516
20171102,22550,20500
20171201,21423,19475
20171204,22550,20500
20171228,20350,18500
20180201,19272,17520
20180202,20350,18500
20180301,19374,17612
20180302,20350,18500
20180404,21230,19300
20180501,20276,18432
20180502,21230,19300
20180601,23039,20944
20180604,24200,22000
20180625,26400,24000
20180713,31075,28250
20180716,30525,27750
20180718,37950,34500
20180719,36850,33500
20180801,35266,32060
20180802,36850,33500
20180803,41250,37500
20180806,39600,36000
20180914,35750,32500
20180917,33000,30000
20181001,31581,28710
20181002,33000,30000
20181101,31416,28560
20181102,33000,30000
20181109,34650,31500
20181115,39600,36000
20181116,38500,35000
20181127,46200,42000
20190201,43752,39774
20190204,46200,42000
20190213,37400,34000
20190301,30369,27608
20190304,31900,29000
20190401,30369,27608
20190402,31900,29000
20190501,30465,27695
20190502,31900,29000
20190621,33825,30750
20190701,32303,29366
20190702,33825,30750
20190801,32303,29366
20190802,33825,30750
20190808,37400,34000
20190917,44000,40000
20191001,42108,38280
20191002,44000,40000
20191004,48620,44200
20191023,41800,38000
20191101,39710,36100
20191104,41800,38000
20191206,38500,35000
20191209,35200,32000
20200221,34100,31000
20200224,30800,28000
20200310,40700,37000
20200316,46200,42000
20200318,59400,54000
20200401,56549,51408
20200402,59400,54000
20200423,67100,61000
20200501,63745,57950
20200504,67100,61000
