date,initial,maintenance
20130102,2420,2200
20130103,1870,1700
20130701,2420,2200
20130702,1870,1700
20130716,1815,1650
20130717,1705,1550
20130801,1815,1650
20130802,1705,1550
20131001,1815,1650
20131002,1705,1550
20131015,2035,1850
20131016,1705,1550
20131029,1815,1650
20131101,2035,1850
20131104,1815,1650
20131105,2145,1950
20131106,1980,1800
20131122,2420,2200
20131125,1980,1800
20131206,2750,2500
20131209,2035,1850
20140117,2090,1900
20140214,2310,2100
20140217,2090,1900
20140328,2057,1870
20140401,1944,1767
20140402,1265,1150
20140404,1262,1147
20140409,1174,1067
20140414,2352,2138
20140416,1638,1489
20140422,1825,1659
20140430,1617,1470
20140501,1537,1397
20140502,1174,1067
20140515,1593,1448
20140520,1676,1523
20140530,1726,1569
20140602,1350,1227
20140611,1336,1214
20140613,1412,1283
20140616,1781,1619
20140620,1766,1605
20140701,1683,1530
20140702,1412,1283
20140717,1762,1601
20140722,1765,1604
20140801,1679,1526
20140804,1412,1283
20140811,1361,1237
20140815,1700,1545
20140820,1738,1580
20140902,1361,1237
20140908,1425,1295
20140916,1799,1635
20140922,1734,1576
20141001,1657,1506
20141002,1426,1296
20141003,1490,1354
20141017,2045,1859
20141021,2137,1942
20141103,1663,1511
20141114,2115,1922
20141117,2338,2125
20141120,2261,2055
20141126,2352,2138
20141201,2246,2041
20141202,2217,2015
20141217,2755,2504
20141219,2653,2411
20150102,2220,2018
20150116,2724,2476
20150120,2836,2578
20150202,2219,2017
20150206,2396,2178
20150213,2983,2711
20150220,1803,1639
20150302,1562,1420
20150317,1810,1645
20150320,1803,1639
20150401,1720,1563
20150402,1562,1420
20150416,1807,1642
20150421,1788,1625
20150501,1503,1366
20150504,1382,1256
20150515,1601,1455
20150519,1620,1472
20150522,1721,1564
20150601,1652,1501
20150602,1381,1255
20150616,1600,1454
20150622,1643,1493
20150701,1573,1430
20150702,1381,1255
20150708,1505,1368
20150715,1551,1410
20150716,1512,1374
20150717,1730,1572
20150721,1834,1667
20150803,1505,1368
20150813,1553,1411
20150817,1730,1572
20150820,1878,1707
20150901,1799,1635
20150902,1513,1375
20150914,1537,1397
20150915,1516,1378
20150916,1747,1588
20150922,1793,1630
20151001,1718,1561
20151002,1514,1376
20151014,1518,1380
20151016,1746,1587
20151020,1903,1730
20151102,1513,1375
20151112,1540,1400
20151113,1517,1379
20151116,1770,1609
20151120,1804,1640
20151201,1729,1571
20151202,1512,1374
20151214,1329,1208
20151215,1296,1178
20151217,1482,1347
20151218,1494,1358
20151221,1569,1426
20160104,1308,1189
20160114,1316,1196
20160115,1710,1554
20160120,1532,1392
20160129,1533,1393
20160201,3865,3513
20160202,1307,1188
20160210,1136,1032
20160222,1622,1474
20160229,1623,1475
20160301,1298,1180
20160302,1136,1032
20160321,1612,1465
20160401,1302,1183
20160404,1136,1032
20160420,1626,1478
20160502,1136,1032
20160520,1604,1458
20160531,1605,1459
20160601,1286,1169
20160602,1136,1032
20160621,1582,1438
20160630,1583,1439
20160701,1287,1170
20160704,1136,1032
20160720,1614,1467
20160722,1205,1095
20160801,977,888
20160802,833,757
20160804,785,713
20160822,1096,996
20160831,996,905
20160901,844,767
20160902,712,647
20160920,1017,924
20160923,844,767
20161003,582,529
20161020,862,783
20161031,863,784
20161101,792,720
20161102,582,529
20161111,324,294
20161121,627,570
20161201,547,497
20161202,324,294
20161205,357,324
20161220,684,621
20161223,733,666
20161230,723,657
20170102,500,454
20170120,764,694
20170131,765,695
20170201,666,605
20170202,500,454
20170203,642,583
20170216,582,529
20170221,711,646
20170224,839,762
20170301,700,636
20170302,582,529
20170309,580,527
20170321,847,770
20170331,851,773
20170403,580,527
20170405,541,491
20170420,805,731
20170428,809,735
20170501,5527,5024
20170502,541,491
20170522,773,702
20170531,776,705
20170601,657,597
20170602,541,491
20170620,777,706
20170622,721,655
20170630,724,658
20170703,501,455
20170720,736,669
20170724,702,638
20170725,667,606
20170731,670,609
20170801,586,532
20170802,370,336
20170822,647,588
20170831,651,591
20170901,696,632
20170904,476,432
20170908,633,575
20170920,890,809
20170929,894,812
20171002,597,542
20171006,745,677
20171020,882,801
20171031,884,803
20171101,792,720
20171102,745,677
20171120,877,797
20171130,879,799
20171201,909,826
20171204,844,767
20171205,817,742
20171219,981,891
20171228,983,893
20171229,1000,909
20180102,817,742
20180105,753,684
20180111,711,646
20180122,714,649
20180123,876,796
20180131,901,819
20180201,836,760
20180202,709,644
20180214,762,692
20180220,765,695
20180221,938,852
20180228,934,849
20180301,874,794
20180302,768,698
20180320,772,701
20180321,946,860
20180330,927,842
20180402,770,700
20180418,806,732
20180420,809,735
20180423,1014,921
20180430,1025,931
20180501,955,868
20180502,810,736
20180511,858,780
20180522,865,786
20180523,1060,963
20180530,1086,987
20180531,1113,1011
20180601,1042,947
20180604,877,797
20180620,910,827
20180621,1081,982
20180626,1138,1034
20180629,1361,1237
20180702,1089,990
20180711,1155,1050
20180713,1320,1200
20180718,1435,1304
20180720,1448,1316
20180723,1814,1649
20180731,1845,1677
20180801,1862,1692
20180802,1439,1308
20180821,1452,1320
20180822,1829,1662
20180828,1660,1509
20180831,1667,1515
20180903,1304,1185
20180914,1650,1500
20180917,1304,1185
20180920,1322,1201
20180921,1667,1515
20180928,1674,1521
20181001,1681,1528
20181002,1292,1174
20181022,1308,1189
20181023,1632,1483
20181031,1638,1489
20181101,1647,1497
20181102,1293,1175
20181115,1482,1347
20181119,1500,1363
20181120,1879,1708
20181123,1936,1760
20181127,2174,1976
20181130,2068,1880
20181203,1636,1487
20181204,1746,1587
20181214,1492,1356
20181219,1515,1377
20181220,1938,1761
20181228,1943,1766
20181231,2002,1820
20190102,1493,1357
20190118,1463,1330
20190122,1487,1351
20190123,1909,1735
20190131,1498,1361
20190201,1467,1333
20190204,1185,1077
20190207,1132,1029
20190220,1137,1033
20190221,1403,1275
20190228,1406,1278
20190301,1393,1266
20190304,1137,1033
20190307,1081,982
20190320,1086,987
20190321,1350,1227
20190329,1250,1136
20190401,1228,1116
20190402,994,903
20190422,999,908
20190423,1236,1123
20190430,1240,1127
20190501,1182,1074
20190502,961,873
20190521,966,878
20190522,1198,1089
20190531,1202,1092
20190603,960,872
20190612,1001,910
20190620,1006,914
20190621,1279,1162
20190628,1283,1166
20190701,1268,1152
20190702,1026,932
20190712,833,757
20190722,838,761
20190723,1049,953
20190731,1052,956
20190801,1107,1006
20190802,844,767
20190820,849,771
20190821,1064,967
20190830,1067,970
20190902,843,766
20190917,992,901
20190919,1027,933
20190920,1033,939
20190923,1296,1178
20190927,998,907
20190930,1005,913
20191001,1038,943
20191002,786,714
20191022,790,718
20191023,953,866
20191031,959,871
20191101,981,891
20191104,739,671
20191113,709,644
20191120,712,647
20191121,891,810
20191129,898,816
20191202,713,648
20191211,680,618
20191219,685,622
20191220,845,768
20191230,861,782
20191231,953,866
20200102,680,618
20200121,685,622
20200122,862,783
20200129,790,718
20200131,807,733
20200203,624,567
20200204,598,543
20200220,602,547
20200221,757,688
20200228,774,703
20200302,598,543
20200310,707,642
20200312,808,734
20200320,974,885
20200323,1218,1107
20200324,1462,1329
20200331,1470,1336
20200401,1516,1378
20200402,1406,1278
20200403,1482,1347
20200406,1565,1422
20200407,1588,1443
20200414,1961,1782
20200421,2106,1914
20200422,2788,2534
20200423,3743,3402
20200424,4122,3747
20200428,5890,5354
20200430,6236,5669
20200501,5664,5149
20200504,2756,2505
20200519,2851,2591
20200520,5903,5366
