date,initial,maintenance
20130102,17781,16164
20130130,39760,36145
20130131,35562,32329
20130201,30798,27998
20130228,37419,34017
20130301,32405,29459
20130328,39760,36145
20130329,35562,32329
20130426,44274,40249
20130429,31306,28460
20130430,25562,23238
20130501,18076,16432
20130529,43555,39595
20130530,39760,36145
20130531,35562,32329
20130628,36150,32863
20130726,47044,42767
20130729,35562,32329
20130730,30798,27998
20130731,25146,22860
20130801,17781,16164
20130828,47044,42767
20130829,43555,39595
20130830,39760,36145
20130902,25146,22860
20130927,40417,36742
20130930,25562,23238
20131001,18076,16432
20131030,39760,36145
20131031,35562,32329
20131101,30798,27998
20131128,31435,28577
20131129,28116,25560
20131227,36590,33263
20131230,27660,25145
20131231,23954,21776
20140129,29036,26396
20140130,26507,24097
20140131,23709,21553
20140228,24946,22678
20140328,26507,24097
20140331,16764,15240
20140401,11854,10776
20140428,24100,21909
20140429,20872,18974
20140430,17042,15492
20140501,12050,10954
20140528,29036,26396
20140529,26507,24097
20140530,23709,21553
20140627,26945,24495
20140630,17042,15492
20140701,12050,10954
20140730,26507,24097
20140731,23709,21553
20140801,20532,18665
20140828,29036,26396
20140829,26507,24097
20140901,16764,15240
20140926,29517,26833
20140929,20872,18974
20140930,17042,15492
20141001,12050,10954
20141029,29036,26396
20141030,26507,24097
20141031,23709,21553
20141128,24100,21909
20150102,20532,18665
20150129,26507,24097
20150130,23709,21553
20150227,24946,22678
20150327,29036,26396
20150330,20532,18665
20150331,16764,15240
20150401,11854,10776
20150429,26945,24495
20150430,24100,21909
20150501,20872,18974
20150528,26507,24097
20150529,23709,21553
20150626,29517,26833
20150629,20872,18974
20150630,17042,15492
20150701,12050,10954
20150729,29036,26396
20150730,26507,24097
20150731,23709,21553
20150828,26507,24097
20150831,16764,15240
20150901,11854,10776
20150928,24100,21909
20150929,20872,18974
20150930,17042,15492
20151001,12050,10954
20151028,29036,26396
20151029,26507,24097
20151030,23709,21553
20151127,26945,24495
20151130,17042,15492
20151201,12050,10954
20151230,29036,26396
20160129,23709,21553
20160226,27406,24914
20160229,17333,15757
20160301,12257,11142
20160330,26507,24097
20160331,23709,21553
20160401,20532,18665
20160428,26945,24495
20160429,24100,21909
20160527,29036,26396
20160530,20532,18665
20160531,16764,15240
20160601,11854,10776
20160629,29517,26833
20160630,26945,24495
20160701,24100,21909
20160728,26507,24097
20160729,23709,21553
20160826,31363,28511
20160829,23709,21553
20160830,20532,18665
20160831,16764,15240
20160901,11854,10776
20160928,29517,26833
20160929,26945,24495
20160930,20083,18257
20161028,22088,20080
20161031,13970,12700
20161101,9878,8980
20161128,20083,18257
20161129,17393,15811
20161130,14201,12910
20161201,10042,9129
20161228,26136,23760
20161229,24197,21997
20161230,22088,20080
20170102,13970,12700
20170127,24197,21997
20170130,17110,15554
20170131,13970,12700
20170201,9878,8980
20170327,6751,6137
20170328,5397,4906
20170329,4052,3683
20170330,2698,2452
20170404,29700,27000
20170602,26950,24500
20180126,5390,4900
20180129,4043,3675
20180130,2695,2450
20180202,26950,24500
20180802,37950,34500
20180905,39081,35528
20181002,35750,32500
20181204,46200,42000
20190402,37400,34000
20190904,35530,32300
20191025,9501,8637
20191028,7596,6905
20191029,5702,5183
20191030,3795,3450
20191104,41800,38000
20200103,38500,35000
20200326,12532,11392
20200327,9400,8545
20200330,6263,5693
20200402,65780,59800
20200504,69300,63000
20200702,61600,56000
20200804,52250,47500
20200929,4070,3700
20201002,40700,37000
20201103,35200,32000
20210329,7202,6547
20210330,4794,4358
20210405,52800,48000
20220203,50023,45475
20220204,47241,42946
20220207,44464,40421
20220208,41686,37896
20220209,38903,35366
20220210,36127,32842
20220211,33349,30317
20220214,30566,27787
