date,initial,maintenance
20111212,8100,6000
20120213,7425,5500
20120529,6750,5000
20120910,6050,5500
20130129,4950,4500
20130430,4510,4100
20131105,4070,3700
20140228,3630,3300
20140314,3465,3150
20140409,3025,2750
20140611,2860,2600
20140613,3190,2900
20140908,3410,3100
20141017,3740,3400
20141117,4180,3800
20141126,4345,3950
20141202,5005,4550
20150206,5280,4800
20150501,4785,4350
20150708,5225,4750
20151214,4510,4100
20160210,3850,3500
20160804,3630,3300
20160831,3300,3000
20161205,3630,3300
20170216,3300,3000
20170405,3080,2800
20170622,2860,2600
20170725,2695,2450
20171002,2530,2300
20180105,2448,2225
20180214,2475,2250
20180228,2448,2225
20180302,2475,2250
20180418,2585,2350
20180423,2640,2400
20180511,2778,2525
20180530,2888,2625
20180620,3053,2775
20180626,3135,2850
20180629,3273,2975
20180713,3850,3500
20180718,4290,3900
20180828,3850,3500
20181115,4400,4000
20181123,4538,4125
20181127,5088,4625
20190118,4895,4450
20190207,4730,4300
20190307,4510,4100
20190329,4180,3800
20190917,4950,4500
20190919,5060,4600
20191023,4785,4350
20191113,4675,4250
20200129,4235,3850
20200204,3905,3550
20200310,4675,4250
20200312,5198,4725
20200320,6160,5600
20200406,7040,6400
20200422,7700,7000
20200424,8250,7500
20200605,7700,7000
20200622,6930,6300
20200707,6050,5500
20200724,5500,5000
20200916,4950,4500
20201007,4400,4000
20201120,3960,3600
20210308,4345,3950
20210322,5170,4700
20210407,5335,4850
20210721,5500,5000
20211119,5060,4600
20211130,5830,5300
20220120,6160,5600
20220207,6600,6000
