date,initial,maintenance
20090112,7425,6750
20090302,5775,5250
20090326,6325,5750
20090821,5775,5250
20090916,4950,4500
20091113,4400,4000
20091223,3850,3500
20100423,4125,3750
20110225,4950,4500
20110304,5500,5000
20110415,4675,4250
20110510,6875,6250
20110531,5500,5000
20110829,6600,6000
20111212,7560,5600
20120213,6885,5100
20120529,6210,4600
20120709,6885,5100
20120910,5610,5100
20130129,4950,4500
20130430,4510,4100
20131105,4070,3700
20131122,3740,3400
20140228,3410,3100
20140404,3190,2900
20140811,2970,2700
20141003,3245,2950
20141017,3740,3400
20141117,4070,3700
20141126,4235,3850
20141202,4895,4450
20150206,5390,4900
20150501,4675,4250
20150708,5060,4600
20151214,4400,4000
20160210,3850,3500
20160407,3740,3400
20160804,3520,3200
20160831,3190,2900
20161205,3520,3200
20170216,3190,2900
20170405,2970,2700
20170622,2750,2500
20170725,2640,2400
20171002,2475,2250
20171205,2310,2100
20180105,2145,1950
20180214,2310,2100
20180418,2420,2200
20180423,2530,2300
20180511,2695,2450
20180530,2805,2550
20180626,3025,2750
20180629,3245,2950
20180713,3575,3250
20180718,3795,3450
20180828,3410,3100
20181115,3905,3550
20181123,4015,3650
20181127,4510,4100
20181130,4015,3650
20181204,4703,4275
20190207,4290,3900
20190307,4070,3700
20190329,3740,3400
20190501,3465,3150
20190612,3795,3450
20190621,4015,3650
20190917,4785,4350
20190919,4950,4500
20191023,4785,4350
20191113,4400,4000
20191211,4125,3750
20200129,3850,3500
20200310,4510,4100
20200312,5115,4650
20200320,6160,5600
20200403,6985,6350
20200407,7370,6700
20200417,8250,7500
20200422,9350,8500
20200424,11000,10000
20200513,13200,12000
20200519,9900,9000
20200622,8580,7800
20200707,7480,6800
20200724,6820,6200
20200916,6050,5500
20201007,5610,5100
20201106,5225,4750
20210106,4978,4525
20210322,5610,5100
20210423,5830,5300
20210721,5995,5450
20210820,5830,5300
20210827,5610,5100
20211130,6435,5850
20220120,6765,6150
20220207,7480,6800
