date,initial,maintenance
20130103,2475,2250
20130304,2316,2105
20130402,2475,2250
20130604,2310,2100
20130702,2475,2250
20130904,2310,2100
20131002,2475,2250
20131104,2393,2175
20131203,2475,2250
20140204,3025,2750
20140305,2733,2484
20140402,3025,2750
20140502,3960,3600
20140603,3828,3480
20140702,3960,3600
20140804,2875,2613
20140903,2871,2610
20141002,2970,2700
20141104,2772,2520
20141202,2970,2700
20150105,3602,3274
20150203,4400,4000
20150303,4898,4452
20150402,5060,4600
20150504,5660,5145
20150602,4840,4400
20150804,4528,4116
20150902,4840,4400
20151103,4679,4253
20151202,5808,5280
20160105,5246,4769
20160202,5808,5280
20160404,3489,3171
20160503,3492,3174
20160602,3080,2800
20160705,2782,2529
20160802,3080,2800
20161004,2881,2619
20161102,3080,2800
20170104,2881,2619
20170202,3080,2800
20170404,2464,2240
20170502,2640,2400
20170705,2385,2168
20170802,2640,2400
20170905,2464,2240
20171003,2556,2323
20171102,2640,2400
20171204,2556,2323
20180103,2129,1935
20180202,1760,1600
20180302,1430,1300
20180403,1383,1257
20180502,1210,1100
20180604,1170,1063
20180703,1172,1065
20180802,1210,1100
20180905,1089,990
20181002,1210,1100
20181204,1172,1065
20190103,1210,1100
20190304,978,889
20190402,1045,950
20190502,935,850
20190604,873,793
20190702,935,850
20190904,873,793
20191002,1045,950
20191104,1010,918
20191203,1045,950
20200204,1009,917
20200303,1011,919
20200402,1540,1400
20200504,1801,1637
