date,initial,maintenance
20111212,7560,5600
20120213,6885,5100
20120529,6210,4600
20120709,6885,5100
20120910,5610,5100
20130102,5249,4771
20130103,5067,4606
20130104,4887,4442
20130107,4343,3948
20130108,4163,3784
20130109,3981,3619
20130110,3801,3455
20130111,3619,3290
20130114,3077,2797
20130115,2896,2632
20130116,2715,2468
20130117,2534,2303
20130118,2353,2139
20130121,1810,1645
20130122,1630,1481
20130123,1448,1316
20130124,1268,1152
20130125,1086,987
20130128,544,494
20130129,319,290
20130130,160,145
20130131,4472,4065
20130201,4311,3919
20130204,3833,3484
20130205,3673,3339
20130206,3514,3194
20130207,3353,3048
20130208,3194,2903
20130211,2715,2468
20130212,2556,2323
20130213,2395,2177
20130214,2236,2032
20130215,2076,1887
20130218,1598,1452
20130219,1437,1306
20130220,1278,1161
20130221,1118,1016
20130222,959,871
20130225,479,435
20130226,319,290
20130227,160,145
20130228,4950,4500
20130301,4773,4339
20130304,4243,3857
20130305,4066,3696
20130306,3890,3536
20130307,3713,3375
20130308,3536,3214
20130311,3006,2732
20130312,2829,2571
20130313,2653,2411
20130314,2475,2250
20130315,2298,2089
20130318,1768,1607
20130319,1591,1446
20130320,1415,1286
20130321,1238,1125
20130322,1061,964
20130325,531,482
20130326,354,321
20130327,178,161
20130328,4950,4500
20130401,4631,4210
20130402,4472,4065
20130403,4311,3919
20130404,4152,3774
20130405,3992,3629
20130408,3514,3194
20130409,3353,3048
20130410,3194,2903
20130411,3034,2758
20130412,2875,2613
20130415,2395,2177
20130416,2236,2032
20130417,2076,1887
20130418,1917,1742
20130419,1757,1597
20130422,1278,1161
20130423,1118,1016
20130424,959,871
20130425,799,726
20130426,640,581
20130429,160,145
20130430,4510,4100
20130501,4365,3968
20130502,4219,3835
20130503,4074,3703
20130506,3637,3306
20130507,3492,3174
20130508,3347,3042
20130509,3201,2910
20130510,3055,2777
20130513,2620,2381
20130514,2473,2248
20130515,2328,2116
20130516,2183,1984
20130517,2038,1852
20130520,1601,1455
20130521,1456,1323
20130522,1309,1190
20130523,1164,1058
20130524,1019,926
20130527,582,529
20130528,437,397
20130529,292,265
20130530,146,132
20130531,4074,3703
20130603,3637,3306
20130604,3492,3174
20130605,3347,3042
20130606,3201,2910
20130607,3055,2777
20130610,2620,2381
20130611,2473,2248
20130612,2328,2116
20130613,2183,1984
20130614,2038,1852
20130617,1601,1455
20130618,1456,1323
20130619,1309,1190
20130620,1164,1058
20130621,1019,926
20130624,582,529
20130625,437,397
20130626,292,265
20130627,146,132
20130628,4510,4100
20130701,4365,3968
20130702,4219,3835
20130703,4074,3703
20130704,3929,3571
20130705,3783,3439
20130708,3347,3042
20130709,3201,2910
20130710,3055,2777
20130711,2910,2645
20130712,2765,2513
20130715,2328,2116
20130716,2183,1984
20130717,2038,1852
20130718,1891,1719
20130719,1746,1587
20130722,1309,1190
20130723,1164,1058
20130724,1019,926
20130725,874,794
20130726,728,661
20130729,292,265
20130730,146,132
20130731,4365,3968
20130801,4219,3835
20130802,4074,3703
20130805,3637,3306
20130806,3492,3174
20130807,3347,3042
20130808,3201,2910
20130809,3055,2777
20130812,2620,2381
20130813,2473,2248
20130814,2328,2116
20130815,2183,1984
20130816,2038,1852
20130819,1601,1455
20130820,1456,1323
20130821,1309,1190
20130822,1164,1058
20130823,1019,926
20130826,821,746
20130827,614,558
20130828,411,373
20130829,204,185
20130902,4428,4025
20130903,4202,3820
20130904,3977,3615
20130905,3751,3410
20130906,3526,3205
20130909,3300,3000
20130910,3075,2795
20130911,2849,2590
20130912,2624,2385
20130913,2398,2180
20130916,2173,1975
20130917,1947,1770
20130918,1722,1565
20130919,1496,1360
20130920,1353,1230
20130923,1128,1025
20130924,902,820
20130925,677,615
20130926,451,410
20130927,226,205
20131001,4229,3844
20131002,4034,3667
20131003,3836,3487
20131004,3643,3311
20131007,3443,3130
20131008,3250,2954
20131009,3052,2774
20131010,2857,2597
20131011,2659,2417
20131014,2466,2241
20131015,2266,2060
20131016,2073,1884
20131017,1874,1703
20131018,1680,1527
20131021,1482,1347
20131022,1371,1246
20131023,1177,1070
20131024,979,890
20131025,785,713
20131028,587,533
20131029,393,357
20131030,194,176
