date,initial,maintenance
20120117,5500,5000
20120529,4950,4500
20120924,5500,5000
20121030,5225,4750
20130212,4400,4000
20130409,5500,5000
20130603,5317,4833
20130604,5500,5000
20130903,5317,4833
20130904,5500,5000
20131122,4400,4000
20131203,5500,5000
20131204,5323,4839
20131205,5145,4677
20131206,4968,4516
20131209,4436,4032
20131210,4400,4000
20140103,6600,6000
20140106,6175,5613
20140107,5961,5419
20140108,5749,5226
20140109,6089,5535
20140110,5856,5323
20140113,5153,4684
20140114,4950,4500
20140204,7260,6600
20140205,7001,6364
20140206,6742,6129
20140207,6483,5893
20140210,5705,5186
20140211,5445,4950
20140212,5186,4714
20140213,4950,4500
20140303,4791,4355
20140304,6792,6174
20140305,6558,5961
20140306,6323,5748
20140307,6089,5535
20140310,5387,4897
20140311,5153,4684
20140312,4950,4500
20140328,5500,5000
20140402,8250,7500
20140403,7975,7250
20140404,9240,8400
20140407,9900,9000
20140502,13750,12500
20140516,12100,11000
20140714,10890,9900
20140801,8250,7500
20140808,6919,6290
20140811,6122,5565
20140812,5856,5323
20140813,5590,5081
20140814,5323,4839
20140815,5170,4700
20140903,7975,7250
20140904,7700,7000
20140905,6138,5580
20140908,5456,4960
20140909,5229,4753
20140910,5170,4700
20141002,6820,6200
20141006,6380,5800
20141007,6160,5600
20141008,5940,5400
20141009,5720,5200
20141010,5500,5000
20141013,5170,4700
20141103,4998,4543
20141104,6366,5787
20141105,6138,5580
20141106,5911,5373
20141107,5684,5167
20141110,5170,4700
20141202,6820,6200
20141205,7700,7000
20141208,6956,6323
20141209,6707,6097
20141210,6459,5871
20141211,6210,5645
20141212,5961,5419
20141215,5500,5000
20150105,7203,6548
20150106,6956,6323
20150107,6707,6097
20150108,6459,5871
20150109,6325,5750
20150203,7700,7000
20150204,7425,6750
20150205,7150,6500
20150206,6875,6250
20150209,6325,5750
20150303,7452,6774
20150304,7203,6548
20150305,6956,6323
20150306,6707,6097
20150309,6325,5750
20150402,7700,7000
20150406,7187,6533
20150407,6930,6300
20150408,6674,6067
20150409,6417,5833
20150410,6325,5750
20150522,4950,4500
20150602,5610,5100
20150603,5423,4930
20150604,5236,4760
20150605,5049,4590
20150608,4950,4500
20150702,5610,5100
20150706,5249,4771
20150707,5067,4606
20150708,4950,4500
20150803,4791,4355
20150804,5249,4771
20150805,5067,4606
20150806,4950,4500
20150902,5610,5100
20150903,5423,4930
20150904,5236,4760
20150907,4950,4500
20151002,5610,5100
20151005,5249,4771
20151006,5067,4606
20151007,4950,4500
20151103,5423,4930
20151104,5236,4760
20151105,5049,4590
20151106,4950,4500
20151202,5610,5100
20151207,5249,4771
20151208,5067,4606
20151209,4950,4500
20160104,4631,4210
20160105,5067,4606
20160106,4950,4500
20160129,4180,3800
20160202,4675,4250
20160203,4514,4103
20160204,4353,3957
20160205,4191,3810
20160208,4180,3800
20160302,4675,4250
20160307,4223,3839
20160308,4180,3800
20160310,3630,3300
20160404,3828,3480
20160405,3696,3360
20160406,3630,3300
20160503,3833,3484
20160504,3705,3368
20160505,3630,3300
20160511,3080,2800
20160602,3300,3000
20160606,3190,2900
20160607,3080,2800
20160704,2881,2619
20160705,3080,2800
20160802,3300,3000
20160803,3194,2903
20160804,3087,2806
20160805,3080,2800
20160902,3300,3000
20160905,3190,2900
20160906,3080,2800
20160916,2640,2400
20161003,2556,2323
20161004,2676,2432
20161005,2640,2400
20161102,2860,2600
20161103,2765,2513
20161104,2670,2427
20161107,2640,2400
20161202,2860,2600
20161205,2676,2432
20161206,2640,2400
20161216,3080,2800
20170103,2981,2710
20170104,3705,3368
20170105,3578,3252
20170106,3449,3135
20170109,3080,2800
20170202,3960,3600
20170203,3819,3471
20170206,3395,3086
20170207,3253,2957
20170208,3112,2829
20170209,3080,2800
20170302,3960,3600
20170306,3705,3368
20170307,3578,3252
20170308,3449,3135
20170309,3321,3019
20170310,3194,2903
20170313,3080,2800
20170403,2978,2707
20170404,3696,3360
20170405,3564,3240
20170406,3432,3120
20170407,3300,3000
20170410,3080,2800
20170502,3960,3600
20170503,3833,3484
20170504,3705,3368
20170505,3578,3252
20170508,3194,2903
20170509,3080,2800
20170601,2860,2600
20170602,3300,3000
20170606,3190,2900
20170607,3080,2800
20170608,2970,2700
20170609,2860,2600
20170703,2768,2516
20170704,2676,2432
20170705,2981,2710
20170706,2875,2613
20170707,2860,2600
20170724,2530,2300
20170802,2860,2600
20170807,2676,2432
20170808,2583,2348
20170809,2530,2300
20170904,2446,2223
20170905,2670,2427
20170906,2970,2700
20171003,3194,2903
20171004,3087,2806
20171005,2981,2710
20171006,2970,2700
20171102,3300,3000
20171106,3080,2800
20171107,2970,2700
20171204,3194,2903
20171205,3087,2806
20171206,2981,2710
20171207,2970,2700
20180103,3194,2903
20180104,3087,2806
20180105,2981,2710
20180108,2970,2700
20180126,2420,2200
20180202,2750,2500
20180205,2456,2232
20180206,2420,2200
20180302,2750,2500
20180305,2573,2339
20180306,2484,2258
20180307,2420,2200
20180316,1870,1700
20180403,2127,1933
20180404,2054,1867
20180405,1980,1800
20180406,2098,1907
20180409,2035,1850
20180502,2420,2200
20180507,2186,1987
20180508,2108,1916
20180509,2035,1850
20180604,2340,2127
20180605,2259,2053
20180606,2178,1980
20180607,2098,1907
20180608,2200,2000
20180703,2342,2129
20180704,2264,2058
20180705,2200,2000
20180802,2420,2200
20180806,2342,2129
20180807,2264,2058
20180808,2200,2000
20180903,2127,1933
20180904,2054,1867
20180905,2200,2000
20180907,2420,2200
20181002,2640,2400
20181003,2556,2323
20181004,2470,2245
20181005,2420,2200
20181102,2640,2400
20181105,2552,2320
20181106,2464,2240
20181107,2420,2200
20181204,2556,2323
20181205,2470,2245
20181206,2420,2200
20190103,2640,2400
20190107,2420,2200
20190204,2640,2400
20190205,2546,2314
20190206,2452,2229
20190207,2420,2200
20190222,1980,1800
20190304,2059,1871
20190305,1987,1806
20190306,1980,1800
20190402,2200,2000
20190403,2127,1933
20190404,2054,1867
20190405,1980,1800
20190502,2200,2000
20190506,2059,1871
20190507,1987,1806
20190508,1980,1800
20190530,2475,2250
20190603,2765,2513
20190604,2875,2613
20190605,3190,2900
20190702,3410,3100
20190703,3300,3000
20190704,3190,2900
20190802,3410,3100
20190805,3300,3000
20190806,3190,2900
20190815,3740,3400
20190903,3616,3287
20190904,3740,3400
20191002,3960,3600
20191007,3740,3400
