date,initial,maintenance
20120105,7700,7000
20120806,4400,4000
20121120,2420,2200
20130430,3080,2800
20131015,2200,2000
20140117,1650,1500
20140815,1870,1700
20150710,2151,1955
20160127,1760,1600
20170901,1925,1750
20171020,1760,1600
20171221,1540,1400
20180216,893,811
20180219,952,865
20180220,832,756
20180221,709,644
20180222,579,526
20180223,442,401
20180226,440,400
20180227,417,379
20180228,420,381
20180301,165,150
20180302,130,118
20180305,1513,1375
20180306,1468,1334
20180307,1424,1294
20180308,1372,1247
20180309,1312,1192
20180312,1307,1188
20180313,1236,1123
20180314,1158,1052
20180315,1076,978
20180316,989,899
20180319,933,848
20180320,835,759
20180321,729,662
20180322,618,561
20180323,505,459
20180326,519,471
20180327,508,461
20180328,493,448
20180329,495,450
20180330,585,531
20180403,119,108
20180404,1524,1385
20180405,1479,1344
20180406,1429,1299
20180409,1449,1317
20180410,1384,1258
20180411,1316,1196
20180412,1245,1131
20180413,1166,1060
20180416,1133,1030
20180417,1041,946
20180418,959,871
20180419,857,779
20180420,748,680
20180423,787,715
20180424,789,717
20180425,788,716
20180426,780,709
20180427,769,699
20180430,779,708
20180501,238,216
20180502,127,115
20180503,1498,1361
20180504,1417,1288
20180507,1451,1319
20180508,1400,1272
20180509,1347,1224
20180510,1286,1169
20180511,1301,1182
20180514,1284,1167
20180515,1204,1094
20180516,1119,1017
20180517,1028,934
20180518,998,907
20180521,927,842
20180522,811,737
20180523,688,625
20180524,561,510
20180525,427,388
20180528,450,409
20180529,431,391
20180530,413,375
20180531,422,383
20180601,279,253
20180604,130,118
20180605,1979,1799
20180606,1927,1751
20180607,1866,1696
20180608,1802,1638
20180611,1824,1658
20180612,1737,1579
20180613,1646,1496
20180614,1545,1404
20180615,1440,1309
20180618,1388,1261
20180619,1259,1144
20180620,1147,1042
20180621,1003,911
20180622,851,773
20180625,862,783
20180626,849,771
20180627,819,744
20180628,784,712
20180629,836,760
20180702,332,301
20180703,158,143
20180704,2323,2111
20180705,2268,2061
20180706,2202,2001
20180709,2246,2041
20180710,2161,1964
20180711,2066,1878
20180712,1965,1786
20180713,2139,1944
20180716,2095,1904
20180717,1949,1771
20180718,2065,1877
20180719,1873,1702
20180720,1675,1522
20180723,1522,1383
20180724,1290,1172
20180725,1053,957
20180726,803,730
20180727,547,497
20180730,490,445
20180731,501,455
20180801,438,398
20180802,206,187
20180803,3163,2875
20180806,3085,2804
20180807,3006,2732
20180808,2910,2645
20180809,2812,2556
20180810,2700,2454
20180813,2708,2461
20180814,2569,2335
20180815,2426,2205
20180816,2270,2063
20180817,2110,1918
20180820,2015,1831
20180821,1829,1662
20180822,1628,1480
20180823,1424,1294
20180824,1206,1096
20180827,1201,1091
20180828,1091,991
20180829,1015,922
20180830,928,843
20180831,933,848
20180903,393,357
20180905,167,151
20180906,3285,2986
20180907,3164,2876
20180910,3184,2894
20180911,3031,2755
20180912,2863,2602
20180913,2683,2439
20180914,1993,1811
20180917,1905,1731
20180918,1724,1567
20180919,1540,1400
20180920,1345,1222
20180921,1143,1039
20180924,964,876
20180925,734,667
20180926,500,454
20180927,255,231
20180928,259,235
20181001,409,371
20181002,205,186
20181003,2536,2305
20181004,2470,2245
20181005,2402,2183
20181008,2435,2213
20181009,2347,2133
20181010,2248,2043
20181011,2145,1950
20181012,2033,1848
20181015,1998,1816
20181016,1866,1696
20181017,1731,1573
20181018,1586,1441
20181019,1438,1307
20181022,1490,1354
20181023,1489,1353
20181024,1479,1344
20181025,1463,1330
20181026,1441,1310
20181029,425,386
20181030,214,194
20181031,217,197
20181101,332,301
20181102,167,151
20181105,2503,2275
20181106,2426,2205
20181107,2342,2129
20181108,2254,2049
20181109,2076,1887
20181112,2082,1892
20181113,1972,1792
20181114,1850,1681
20181115,2016,1832
20181116,1855,1686
20181119,1760,1600
20181120,1577,1433
20181121,1379,1253
20181122,1406,1278
20181123,1205,1095
20181126,1023,930
20181127,922,838
20181128,629,571
20181129,321,291
20181130,327,297
20181203,509,462
20181204,245,222
20181205,3346,3041
20181206,3241,2946
20181207,3124,2840
20181210,3159,2871
20181211,3008,2734
20181212,2846,2587
20181213,2672,2429
20181214,2486,2260
20181217,2394,2176
20181218,2174,1976
20181219,1942,1765
20181220,1699,1544
20181221,1445,1313
20181224,1225,1113
20181225,1248,1134
20181226,953,866
20181227,647,588
20181228,329,299
20181231,347,315
20190102,530,481
20190103,255,231
20190104,3181,2891
20190107,3282,2983
20190108,3175,2886
20190109,3063,2784
20190110,2933,2666
20190111,2793,2539
20190114,2779,2526
20190115,2606,2369
20190116,2428,2207
20190117,2232,2029
20190118,2001,1819
20190121,2133,1939
20190122,1908,1734
20190123,1667,1515
20190124,1415,1286
20190125,1157,1051
20190128,916,832
20190129,624,567
20190130,318,289
20190131,325,295
20190201,500,454
20190204,236,214
20190205,3171,2882
20190206,3077,2797
20190207,2921,2655
20190208,2803,2548
20190211,2827,2570
20190212,2665,2422
20190213,2227,2024
20190214,2051,1864
20190215,1865,1695
20190218,1994,1812
20190219,1785,1622
20190220,1561,1419
20190221,1330,1209
20190222,1085,986
20190225,861,782
20190226,588,534
20190227,300,272
20190228,305,277
20190301,455,413
20190304,251,228
20190305,2841,2582
20190306,2745,2495
20190307,2583,2348
20190308,2481,2255
20190311,2470,2245
20190312,2341,2128
20190313,2208,2007
20190314,2064,1876
20190315,1917,1742
20190318,1824,1658
20190319,1650,1500
20190320,1472,1338
20190321,1283,1166
20190322,1086,987
20190325,917,833
20190326,698,634
20190327,476,432
20190328,241,219
20190329,240,218
20190401,385,350
20190402,201,182
20190403,2544,2312
20190404,2466,2241
20190405,2381,2164
20190408,2409,2190
20190409,2301,2091
20190410,2185,1986
20190411,2066,1878
20190412,1934,1758
20190415,1877,1706
20190416,1723,1566
20190417,1561,1419
20190418,1395,1268
20190419,1423,1293
20190422,1287,1170
20190423,1091,991
20190424,890,809
20190425,679,617
20190426,462,420
20190429,244,221
20190430,248,225
20190501,385,350
20190502,201,182
20190503,2491,2264
20190506,2485,2259
20190507,2411,2191
20190508,2324,2112
20190509,2233,2030
20190510,2132,1938
20190513,2120,1927
20190514,1998,1816
20190515,1873,1702
20190516,1740,1581
20190517,1595,1450
20190520,1505,1368
20190521,1340,1218
20190522,1172,1065
20190523,993,902
20190524,809,735
20190527,852,774
20190528,648,589
20190529,439,399
20190530,222,201
20190531,226,205
20190603,362,329
20190604,189,171
20190605,2796,2541
20190606,2708,2461
20190607,2610,2372
20190610,2636,2396
20190611,2510,2281
20190612,2374,2158
20190613,2228,2025
20190614,2074,1885
20190617,1995,1813
20190618,1811,1646
