date,initial,maintenance
20111212,6325,5750
20120213,5775,5250
20120529,5225,4750
20120709,5775,5250
20121120,5225,4750
20130129,4400,4000
20131105,3960,3600
20140409,3410,3100
20140516,2970,2700
20140805,2805,2550
20140902,2750,2500
20140903,2805,2550
20140908,3080,2800
20141017,3410,3100
20141103,3355,3050
20141104,3410,3100
20141117,3850,3500
20141202,4455,4050
20141219,5995,5450
20141222,5335,4850
20150206,6325,5750
20150209,5335,4850
20160422,5830,5300
20160425,4675,4250
20160526,5500,5000
20160527,4675,4250
20160830,4620,4200
20160831,3795,3450
20170113,4180,3800
20170116,3795,3450
20170310,3300,3000
20170313,3080,2800
20170403,2970,2700
20170404,3080,2800
20170703,2970,2700
20170705,3080,2800
20170728,2860,2600
20170731,2750,2500
20170904,2640,2400
20170905,2750,2500
20171002,2640,2400
20171003,2750,2500
20180102,2640,2400
20180103,2750,2500
20180316,2640,2400
20180319,2530,2300
20180402,2420,2200
20180403,2530,2300
20180601,3080,2800
20180604,2970,2700
20180626,3300,3000
20180627,3190,2900
20180702,2970,2700
20180703,3190,2900
20180713,3630,3300
20180716,3410,3100
20180718,4290,3900
20180719,4070,3700
20181109,3850,3500
20181112,3740,3400
20181115,4400,4000
20181116,4290,3900
20181127,4840,4400
20181128,4730,4300
20181203,4620,4200
20181204,4730,4300
20181207,5500,5000
20181210,5390,4900
20190102,5280,4800
20190103,5390,4900
20190213,4620,4200
20190214,4510,4100
20190329,4290,3900
20190401,4180,3800
20190603,4070,3700
20190604,4180,3800
20190808,4565,4150
20190917,5335,4850
20190920,5885,5350
20191023,5170,4700
20191202,5060,4600
20191203,5170,4700
20191206,4840,4400
20191213,4400,4000
20200102,4290,3900
20200103,4400,4000
20200130,3960,3600
20200203,3850,3500
20200204,3960,3600
20200221,4180,3800
20200224,3960,3600
20200302,3630,3300
20200303,3960,3600
20200310,4620,4200
20200312,5170,4700
20200319,6270,5700
20200408,7040,6400
20200423,7810,7100
20200526,7260,6600
