date,initial,maintenance
20130102,60500,55000
20130108,59517,54106
20130109,58516,53196
20130110,57499,52271
20130111,56462,51329
20130114,53234,48394
20130115,52113,47375
20130116,50967,46333
20130117,49795,45268
20130118,48595,44177
20130121,44802,40729
20130122,43465,39513
20130123,42084,38258
20130124,40658,36961
20130125,39179,35617
20130128,34362,31238
20130129,32599,29635
20130130,30734,27940
20130131,28750,26136
20130201,26617,24197
20130204,60500,55000
20130208,59410,54009
20130211,56012,50920
20130212,54833,49848
20130213,53628,48752
20130214,52395,47631
20130215,51132,46483
20130218,47142,42856
20130219,45734,41576
20130220,44282,40256
20130221,42781,38891
20130222,41224,37476
20130225,36156,32869
20130226,34301,31182
20130227,32339,29399
20130228,30250,27500
20130301,28006,25460
20130304,60500,55000
20130306,59517,54106
20130307,58516,53196
20130308,57499,52271
20130311,54331,49391
20130312,53234,48394
20130313,52113,47375
20130314,50967,46333
20130315,49795,45268
20130318,46101,41910
20130319,55000,50000
20130320,39514,35921
20130321,38258,34780
20130322,36962,33601
20130325,32763,29784
20130326,31238,28398
20130327,29636,26941
20130328,27940,25400
20130329,26136,23760
20130401,55000,50000
20130409,54076,49160
20130410,53136,48305
20130411,52178,47434
20130412,51202,46547
20130415,48158,43780
20130416,47099,42817
20130417,46017,41833
20130418,44908,40825
20130419,43771,39791
20130422,40167,36515
20130423,38891,35355
20130424,37573,34157
20130425,36206,32914
20130426,34786,31623
20130429,30125,27386
20130430,28402,25820
20130501,26568,24152
20130502,55000,50000
20130508,54106,49187
20130509,53196,48360
20130510,52271,47519
20130513,49392,44901
20130514,48394,43994
20130515,47375,43068
20130516,46334,42121
20130517,45269,41153
20130520,41910,38100
20130521,40730,37027
20130522,39514,35921
20130523,38258,34780
20130524,36962,33601
20130527,32763,29784
20130528,31238,28398
20130529,29636,26941
20130530,27940,25400
20130531,26136,23760
20130603,55000,50000
20130606,54076,49160
20130607,53136,48305
20130610,50209,45644
20130611,49194,44721
20130612,48158,43780
20130613,47099,42817
20130614,46017,41833
20130617,42603,38730
20130618,41403,37639
20130619,40167,36515
20130620,38891,35355
20130621,37573,34157
20130624,33305,30277
20130625,31755,28868
20130626,30125,27386
20130627,28402,25820
20130628,26568,24152
20130701,55000,50000
20130708,54106,49187
20130709,53196,48360
20130710,52271,47519
20130711,51330,46663
20130712,50371,45791
20130715,47375,43068
20130716,46334,42121
20130717,45269,41153
20130718,44178,40161
20130719,43059,39144
20130722,39514,35921
20130723,38258,34780
20130724,36962,33601
20130725,35617,32379
20130726,34220,31109
20130729,29636,26941
20130730,27940,25400
20130731,26136,23760
20130801,24197,21997
20130802,55000,50000
20130807,54106,49187
20130808,53196,48360
20130809,52271,47519
20130812,49392,44901
20130813,48394,43994
20130814,47375,43068
20130815,46334,42121
20130816,45269,41153
20130819,41910,38100
20130820,40730,37027
20130821,39514,35921
20130822,38258,34780
20130823,36962,33601
20130826,32763,29784
20130827,31238,28398
20130828,29636,26941
20130829,27940,25400
20130830,26136,23760
20130902,55000,50000
20130909,53136,48305
20130910,52178,47434
20130911,51202,46547
20130912,50209,45644
20130913,49194,44721
20130916,46017,41833
20130917,44908,40825
20130918,43771,39791
20130919,42603,38730
20130920,41403,37639
20130923,37573,34157
20130924,36206,32914
20130925,34786,31623
20130926,33305,30277
20130927,31755,28868
20130930,26568,24152
20131001,24598,22361
20131002,55000,50000
20131008,54106,49187
20131009,53196,48360
20131010,52271,47519
20131011,51330,46663
20131014,48394,43994
20131015,47375,43068
20131016,46334,42121
20131017,45269,41153
20131018,44178,40161
20131021,40730,37027
20131022,39514,35921
20131023,38258,34780
20131024,36962,33601
20131025,35617,32379
20131028,31238,28398
20131029,29636,26941
20131030,27940,25400
20131031,26136,23760
20131101,24197,21997
20131104,55000,50000
20131107,54076,49160
20131108,53136,48305
20131111,50209,45644
20131112,49194,44721
20131113,48158,43780
20131114,47099,42817
20131115,46017,41833
20131118,42603,38730
20131119,41403,37639
20131120,40167,36515
20131121,38891,35355
20131122,37573,34157
20131125,33305,30277
20131126,31755,28868
20131127,30125,27386
20131128,28402,25820
20131129,26568,24152
20131202,55000,50000
20131209,54106,49187
20131210,53196,48360
20131211,52271,47519
20131212,51330,46663
20131213,50371,45791
20131216,47375,43068
20131217,46334,42121
20131218,45269,41153
20131219,44178,40161
20131220,43059,39144
20131223,39514,35921
20131224,38258,34780
20131225,36962,33601
20131226,35617,32379
20131227,34220,31109
20131230,29636,26941
20131231,27940,25400
20140102,55000,50000
20140108,54106,49187
20140109,53196,48360
20140110,52271,47519
20140113,49392,44901
20140114,48394,43994
20140115,47375,43068
20140116,46334,42121
20140117,45269,41153
20140120,41910,38100
20140121,40730,37027
20140122,39514,35921
20140123,38258,34780
20140124,36962,33601
20140127,32763,29784
20140128,31238,28398
20140129,29636,26941
20140130,27940,25400
20140131,26136,23760
20140203,55000,50000
20140210,51971,47246
20140211,50921,46291
20140212,49848,45316
20140213,48752,44320
20140214,47632,43301
20140217,44098,40089
20140218,42856,38960
20140219,41576,37796
20140220,40256,36596
20140221,38891,35355
20140224,34473,31339
20140225,32870,29881
20140226,31182,28347
20140227,29399,26726
20140228,27500,25000
20140303,55000,50000
20140310,52271,47519
20140311,51330,46663
20140312,50371,45791
20140313,49392,44901
20140314,48394,43994
20140317,45269,41153
20140318,44178,40161
20140319,43059,39144
20140320,41910,38100
20140321,40730,37027
20140324,36962,33601
20140325,35617,32379
20140326,34220,31109
20140327,32763,29784
20140328,31238,28398
20140331,26136,23760
20140401,24197,21997
20140402,55000,50000
20140409,54076,49160
20140410,53136,48305
20140411,52178,47434
20140414,49194,44721
20140415,48158,43780
20140416,47099,42817
20140417,46017,41833
20140418,44908,40825
20140421,33000,30000
20140422,24100,21909
20140423,23335,21213
20140424,22544,20494
20140425,21723,19748
20140428,19054,17321
20140429,18076,16432
20140430,17042,15492
20140501,15941,14491
20140502,33000,30000
20140507,32464,29512
20140508,31918,29016
20140509,31363,28511
20140512,29636,26941
20140513,29036,26396
20140514,28426,25841
20140515,27801,25273
20140516,27162,24692
20140519,25146,22860
20140520,24438,22216
20140521,23709,21553
20140522,22955,20868
20140523,22178,20161
20140526,19659,17871
20140527,18743,17039
20140528,17781,16164
20140529,16764,15240
20140530,15682,14256
20140602,33000,30000
20140609,31882,28983
20140610,31306,28460
20140611,30721,27928
20140612,30125,27386
20140613,29517,26833
20140616,27610,25100
20140617,26945,24495
20140618,26263,23875
20140619,25562,23238
20140620,24842,22583
20140623,22544,20494
20140624,21723,19748
20140625,20872,18974
20140626,19983,18166
20140627,19054,17321
20140630,15941,14491
20140701,14758,13416
20140702,33000,30000
20140708,32464,29512
20140709,31918,29016
20140710,31363,28511
20140711,30798,27998
20140714,29036,26396
20140715,28426,25841
20140716,27801,25273
20140717,27162,24692
20140718,26507,24097
20140721,24438,22216
20140722,23709,21553
20140723,22955,20868
20140724,22178,20161
20140725,21370,19427
20140728,18743,17039
20140729,17781,16164
20140730,16764,15240
20140731,15682,14256
20140801,14518,13198
20140804,33000,30000
20140806,32464,29512
20140807,31918,29016
20140808,31363,28511
20140811,29636,26941
20140812,29036,26396
20140813,28426,25841
20140814,27801,25273
20140815,27162,24692
20140818,25146,22860
20140819,24438,22216
20140820,23709,21553
20140821,22955,20868
20140822,22178,20161
20140825,19659,17871
20140826,18743,17039
20140827,17781,16164
20140828,16764,15240
20140829,15682,14256
20140901,33000,30000
20140909,32446,29496
20140910,31882,28983
20140911,31306,28460
20140912,30721,27928
20140915,28895,26268
20140916,28259,25690
20140917,27610,25100
20140918,26945,24495
20140919,26263,23875
20140922,24100,21909
20140923,23335,21213
20140924,22544,20494
20140925,21723,19748
20140926,20872,18974
20140929,18076,16432
20140930,17042,15492
20141001,15941,14491
20141002,33000,30000
20141008,32464,29512
20141009,31918,29016
20141010,31363,28511
20141013,29636,26941
20141014,29036,26396
20141015,28426,25841
20141016,27801,25273
20141017,27162,24692
20141020,25146,22860
20141021,24438,22216
20141022,23709,21553
20141023,22955,20868
20141024,22178,20161
20141027,19659,17871
20141028,18743,17039
20141029,17781,16164
20141030,16764,15240
20141031,15682,14256
20141103,33000,30000
20141106,32446,29496
20141107,31882,28983
20141110,30125,27386
20141111,29517,26833
20141112,28895,26268
20141113,28259,25690
20141114,27610,25100
20141117,25562,23238
20141118,24842,22583
20141119,24100,21909
20141120,23335,21213
20141121,22544,20494
20141124,19983,18166
20141125,19054,17321
20141126,18076,16432
20141127,17042,15492
20141128,15941,14491
20141201,33000,30000
20141209,32464,29512
20141210,31918,29016
20141211,31363,28511
20141212,30798,27998
20141215,29036,26396
20141216,28426,25841
20141217,27801,25273
20141218,27162,24692
20141219,26507,24097
20141222,24438,22216
20141223,23709,21553
20141224,22955,20868
20141225,22178,20161
20141226,21370,19427
20141229,18743,17039
20141230,17781,16164
20150102,33000,30000
20150107,32464,29512
20150108,31918,29016
20150109,31363,28511
20150112,29636,26941
20150113,29036,26396
20150114,28426,25841
20150115,27801,25273
20150116,27162,24692
20150119,25146,22860
20150120,24438,22216
20150121,23709,21553
20150122,22955,20868
20150123,22178,20161
20150126,19659,17871
20150127,18743,17039
20150128,17781,16164
20150129,16764,15240
20150130,15682,14256
20150202,33000,30000
20150209,31182,28347
20150210,30553,27775
20150211,29909,27190
20150212,29252,26592
20150213,28580,25981
20150216,26460,24054
20150217,25714,23376
20150218,24946,22678
20150219,24154,21958
20150220,23335,21213
20150223,20684,18803
20150224,19721,17928
20150225,18709,17008
20150226,17640,16036
20150227,16500,15000
20150302,33000,30000
20150309,32464,29512
20150310,31918,29016
20150311,31363,28511
20150312,30798,27998
20150313,30222,27474
20150316,28426,25841
20150317,27801,25273
20150318,27162,24692
20150319,26507,24097
20150320,25835,23486
20150323,23709,21553
20150324,22955,20868
20150325,22178,20161
20150326,21370,19427
20150327,20532,18665
20150330,17781,16164
20150331,16764,15240
20150401,15682,14256
20150402,33000,30000
20150409,32446,29496
20150410,31882,28983
20150413,30125,27386
20150414,29517,26833
20150415,28895,26268
20150416,28259,25690
20150417,27610,25100
20150420,25562,23238
20150421,24842,22583
20150422,24100,21909
20150423,23335,21213
20150424,22544,20494
20150427,19983,18166
20150428,19054,17321
20150429,18076,16432
20150430,17042,15492
20150501,15941,14491
20150504,33000,30000
20150511,31363,28511
20150512,30798,27998
20150513,30222,27474
20150514,29636,26941
20150515,29036,26396
20150518,27162,24692
20150519,26507,24097
20150520,25835,23486
20150521,25146,22860
20150522,24438,22216
20150525,22178,20161
20150526,21370,19427
20150527,20532,18665
20150528,19659,17871
20150529,18743,17039
20150601,33000,30000
20150608,32446,29496
20150609,31882,28983
20150610,31306,28460
20150611,30721,27928
20150612,30125,27386
20150615,28259,25690
20150616,27610,25100
20150617,26945,24495
20150618,26263,23875
20150619,25562,23238
20150622,23335,21213
20150623,22544,20494
20150624,21723,19748
20150625,20872,18974
20150626,19983,18166
20150629,17042,15492
20150630,15941,14491
20150701,14758,13416
20150702,33000,30000
20150708,32464,29512
20150709,31918,29016
20150710,31363,28511
20150713,29636,26941
20150714,29036,26396
20150715,28426,25841
20150716,27801,25273
20150717,27162,24692
20150720,25146,22860
20150721,24438,22216
20150722,23709,21553
20150723,22955,20868
20150724,22178,20161
20150727,19659,17871
20150728,18743,17039
20150729,17781,16164
20150730,16764,15240
20150731,15682,14256
20150803,33000,30000
20150810,31363,28511
20150811,30798,27998
20150812,30222,27474
20150813,29636,26941
20150814,29036,26396
20150817,27162,24692
20150818,26507,24097
20150819,25835,23486
20150820,25146,22860
20150821,24438,22216
20150824,22178,20161
20150825,21370,19427
20150826,20532,18665
20150827,19659,17871
20150828,18743,17039
20150831,15682,14256
20150901,14518,13198
20150902,33000,30000
20150908,32446,29496
20150909,31882,28983
20150910,31306,28460
20150911,30721,27928
20150914,28895,26268
20150915,28259,25690
20150916,27610,25100
20150917,26945,24495
20150918,26263,23875
20150921,24100,21909
20150922,23335,21213
20150923,22544,20494
20150924,21723,19748
20150925,20872,18974
20150928,18076,16432
20150929,17042,15492
20150930,15941,14491
20151001,14758,13416
20151002,33000,30000
20151007,32464,29512
20151008,31918,29016
20151009,31363,28511
20151012,29636,26941
20151013,29036,26396
20151014,28426,25841
20151015,27801,25273
20151016,27162,24692
20151019,25146,22860
20151020,24438,22216
20151021,23709,21553
20151022,22955,20868
20151023,22178,20161
20151026,19659,17871
20151027,18743,17039
20151028,17781,16164
20151029,16764,15240
20151030,15682,14256
20151102,33000,30000
20151109,31882,28983
20151110,31306,28460
20151111,30721,27928
20151112,30125,27386
20151113,29517,26833
20151116,27610,25100
20151117,26945,24495
20151118,26263,23875
20151119,25562,23238
20151120,24842,22583
20151123,22544,20494
20151124,21723,19748
20151125,20872,18974
20151126,19983,18166
20151127,19054,17321
20151130,15941,14491
20151201,14758,13416
20151202,33000,30000
20151209,32464,29512
20151210,31918,29016
20151211,31363,28511
20151214,29636,26941
20151215,29036,26396
20151216,28426,25841
20151217,27801,25273
20151218,27162,24692
20151221,25146,22860
20151222,24438,22216
20151223,23709,21553
20151224,22955,20868
20151225,22178,20161
20151228,19659,17871
20151229,18743,17039
20151230,17781,16164
20160104,33000,30000
20160106,32464,29512
20160107,31918,29016
20160108,31363,28511
20160111,29636,26941
20160112,29036,26396
20160113,28426,25841
20160114,27801,25273
20160115,27162,24692
20160118,25146,22860
20160119,24438,22216
20160120,23709,21553
20160121,22955,20868
20160122,22178,20161
20160125,19659,17871
20160126,18743,17039
20160127,17781,16164
20160128,16764,15240
20160129,15682,14256
20160201,33000,30000
20160208,32426,29478
20160209,31842,28947
20160210,31247,28406
20160211,30640,27854
20160212,30022,27292
20160215,28082,25529
20160216,27406,24914
20160217,26712,24283
20160218,25999,23635
20160219,25266,22969
20160222,22929,20844
20160223,22095,20086
20160224,21228,19298
20160225,20324,18476
20160226,19379,17617
20160229,16213,14739
20160301,15011,13646
20160302,33000,30000
20160308,32464,29512
20160309,31918,29016
20160310,31363,28511
20160311,30798,27998
20160314,29036,26396
20160315,28426,25841
20160316,27801,25273
20160317,27162,24692
20160318,26507,24097
20160321,24438,22216
20160322,23709,21553
20160323,22955,20868
20160324,22178,20161
20160325,21370,19427
20160328,18743,17039
20160329,17781,16164
20160330,16764,15240
20160331,15682,14256
20160401,14518,13198
20160404,33000,30000
20160411,31882,28983
20160412,31306,28460
20160413,30721,27928
20160414,30125,27386
20160415,29517,26833
20160418,27610,25100
20160419,26945,24495
20160420,26263,23875
20160421,25562,23238
20160422,44000,40000
20160425,30058,27325
20160426,28965,26331
20160427,27828,25298
20160428,26644,24221
20160429,25404,23094
20160502,44000,40000
20160509,42557,38688
20160510,41817,38015
20160511,41063,37330
20160512,40296,36632
20160513,39514,35921
20160516,37067,33697
20160517,36215,32922
20160518,35342,32129
20160519,34447,31315
20160520,33528,30480
20160523,30607,27824
20160524,29570,26881
20160525,28494,25903
20160526,27376,24887
20160527,26210,23827
20160530,22352,20320
20160531,20909,19008
20160601,19358,17598
20160602,44000,40000
20160609,43261,39328
20160610,42509,38644
20160613,40167,36515
20160614,39355,35777
20160615,38527,35024
20160616,37680,34254
20160617,36813,33466
20160620,34083,30984
20160621,33123,30111
20160622,32134,29212
20160623,31113,28284
20160624,30058,27325
20160627,26644,24221
20160628,25404,23094
20160629,24100,21909
20160630,22722,20656
20160701,21255,19322
20160704,44000,40000
20160706,43285,39350
20160707,42557,38688
20160708,41817,38015
20160711,39514,35921
20160712,38715,35195
20160713,37900,34454
20160714,37067,33697
20160715,36215,32922
20160718,33528,30480
20160719,32584,29621
20160720,31611,28737
20160721,30607,27824
20160722,29570,26881
20160725,26210,23827
20160726,24990,22718
20160727,23709,21553
20160728,22352,20320
20160729,20909,19008
20160801,44000,40000
20160808,43285,39350
20160809,42557,38688
20160810,41817,38015
20160811,41063,37330
20160812,40296,36632
20160815,37900,34454
20160816,37067,33697
20160817,36215,32922
20160818,35342,32129
20160819,34447,31315
20160822,31611,28737
20160823,30607,27824
20160824,29570,26881
20160825,28494,25903
20160826,27376,24887
20160829,23709,21553
20160830,22352,20320
20160831,20909,19008
20160901,19358,17598
20160902,44000,40000
20160908,43261,39328
20160909,42509,38644
20160912,40167,36515
20160913,39355,35777
20160914,38527,35024
20160915,37680,34254
20160916,36813,33466
20160919,34083,30984
20160920,33123,30111
20160921,32134,29212
20160922,31113,28284
20160923,30058,27325
20160926,26644,24221
20160927,25404,23094
20160928,24100,21909
20160929,22722,20656
20160930,36300,33000
20161010,34500,31363
20161011,33877,30797
20161012,33245,30222
20161013,32599,29635
20161014,31940,29036
20161017,29878,27161
20161018,29157,26506
20161019,28419,25835
20161020,27661,25146
20161021,26882,24438
20161024,24395,22177
20161025,23507,21370
20161026,22586,20532
20161027,21624,19658
20161028,20618,18743
20161031,17250,15681
20161101,15970,14518
20161102,36300,33000
20161108,35690,32445
20161109,35070,31881
20161110,34438,31307
20161111,33794,30721
20161114,31785,28895
20161115,31086,28260
20161116,30371,27610
20161117,29639,26944
20161118,28889,26262
20161121,26510,24100
20161122,25669,23335
20161123,24798,22543
20161124,23896,21723
20161125,22959,20871
20161128,19883,18075
20161129,18746,17041
20161130,17536,15941
20161201,16234,14758
20161202,36300,33000
20161212,34500,31363
20161213,33877,30797
20161214,33245,30222
20161215,32599,29635
20161216,31940,29036
20161219,29878,27161
20161220,29157,26506
20161221,28419,25835
20161222,27661,25146
