date,initial,maintenance
20120213,2200,2000
20130107,1987,1806
20130204,2200,2000
20130304,1987,1806
20130401,1980,1800
20130604,1848,1680
20130702,1980,1800
20130904,1848,1680
20131002,1980,1800
20131104,1914,1740
20131203,1980,1800
20140304,1853,1684
20140402,1650,1500
20140603,1595,1450
20140702,1650,1500
20140804,1384,1258
20140903,1595,1450
20141002,1650,1500
20141104,1540,1400
20141202,2530,2300
20150105,2676,2432
20150203,2860,2600
20150303,3194,2903
20150402,3300,3000
20150504,3911,3555
20150602,4180,3800
20150702,3355,3050
20150804,3139,2853
20150902,3355,3050
20151002,2750,2500
20151103,2659,2417
20151202,2475,2250
20160105,2236,2032
20160202,2475,2250
20160404,2393,2175
20160503,2395,2177
20160603,4128,3752
20160706,3809,3462
20160803,4047,3679
20160905,3528,3207
20161005,3061,2782
20161205,3203,2911
20170105,3338,3034
20170203,3306,3005
20170303,3272,2974
20170405,2656,2414
20170503,2723,2475
20170706,2429,2208
20170803,2414,2194
20170906,2518,2289
20171004,2218,2016
20171103,2199,1999
20171205,2184,1985
20180104,1881,1710
20180205,1811,1646
20180305,1847,1679
20180404,1858,1689
20180503,1943,1766
20180605,2297,2088
20180704,2853,2593
20180803,3537,3215
20180906,3241,2946
20181003,3132,2847
20181105,3190,2900
20181205,4272,3883
20190104,4305,3913
20190205,4152,3774
20190305,3621,3291
20190403,3385,3077
20190503,3262,2965
20190605,3317,3015
20190703,3627,3297
20190905,3571,3246
20191003,4360,3963
20191105,4144,3767
20191204,4125,3750
20200106,3700,3363
20200205,3313,3011
20200304,2969,2699
20200403,5188,4716
20200505,6276,5705
