date,initial,maintenance
20120319,49500,45000
20120504,66000,60000
20120806,55000,50000
20130102,38500,35000
20130305,46750,42500
20131105,49500,45000
20140328,55000,50000
20140331,44000,40000
20140602,33000,30000
20140603,44000,40000
20140725,33000,30000
20140902,22000,20000
20140903,33000,30000
20141103,22000,20000
20141104,33000,30000
20141212,36300,33000
20150102,24200,22000
20150105,36300,33000
20150202,24200,22000
20150203,36300,33000
20150302,24200,22000
20150303,36300,33000
20150612,44000,40000
20150615,29040,26400
20150803,20900,19000
20150804,29040,26400
20150901,44000,40000
20150902,29040,26400
20151102,20900,19000
20151103,29040,26400
20160104,20900,19000
20160105,29040,26400
20160502,20900,19000
20160504,29040,26400
20160526,38500,35000
20160527,29040,26400
20160704,20900,19000
20160705,29040,26400
20160819,30800,28000
20160822,25300,23000
20161003,17600,16000
20161004,25300,23000
20161007,23100,21000
20170102,15400,14000
20170104,23100,21000
20170403,15400,14000
20170404,23100,21000
20170502,15400,14000
20170503,23100,21000
20170703,15400,14000
20170705,23100,21000
20170904,15400,14000
20170905,23100,21000
20171002,15400,14000
20171003,23100,21000
20171117,25300,23000
20171120,23100,21000
20180102,15400,14000
20180103,23100,21000
20180112,23650,21500
20180115,22000,20000
20180202,20900,19000
20180402,19800,18000
20180403,14300,13000
20180404,16500,15000
20180601,17600,16000
20180604,16500,15000
20180702,14300,13000
20180703,16500,15000
20180903,14300,13000
20180904,16500,15000
20180914,15400,14000
20180917,14300,13000
20181031,17270,15700
20181101,16775,15250
20181109,17600,16000
20181203,15400,14000
20181204,17600,16000
20190102,15400,14000
20190103,17600,16000
20190603,16500,15000
20190604,17600,16000
20190902,16500,15000
20190903,17600,16000
20191108,22000,20000
20191202,16500,15000
20191203,22000,20000
20191206,24200,22000
20200102,16500,15000
20200103,24200,22000
20200203,16500,15000
20200204,24200,22000
20200221,20350,18500
20200302,16500,15000
20200303,20350,18500
20200310,25300,23000
20200318,29150,26500
20200417,34650,31500
