date,initial,maintenance
20130308,4400,4000
20130604,4107,3733
20130702,4400,4000
20130904,4107,3733
20131002,6600,6000
20131104,6380,5800
20131203,6600,6000
20140103,7700,7000
20140304,7203,6548
20140402,9900,9000
20140603,12760,11600
20140702,13200,12000
20140804,12775,11613
20140903,12760,11600
20141002,9900,9000
20141104,9240,8400
20141202,9900,9000
20150105,9261,8419
20150203,9900,9000
20150303,11710,10645
20150402,12100,11000
20150504,9261,8419
20150602,7920,7200
20150702,9020,8200
20150804,8439,7671
20150902,9020,8200
20151002,7700,7000
20151103,7444,6767
20151202,9240,8400
20160105,8346,7587
20160202,11000,10000
20160404,14887,13533
20160503,18098,16452
20160602,18700,17000
20160705,16891,15355
20160802,20900,19000
20161004,19552,17774
20161005,18878,17161
20161006,18203,16548
20161007,13200,12000
20170206,7150,6500
20170317,6600,6000
20170526,5500,5000
20170728,4400,4000
20170908,3575,3250
20171020,2750,2500
20180202,2200,2000
20180216,3064,2785
20180302,1568,1425
20180403,3508,3189
20180502,3150,2863
20180604,4311,3919
20180703,4801,4364
20180802,5664,5149
20180905,9625,8750
20181002,5363,4875
20181102,5317,4833
20181204,7640,6945
20190103,6391,5810
20190204,6321,5746
20190304,7743,7039
20190402,5018,4561
20190502,4501,4091
20190604,7253,6593
20190702,5280,4800
20190802,7080,6436
20190904,12028,10934
20191002,10907,9915
20191104,15524,14112
20191203,12544,11403
20200103,8960,8145
20200204,11102,10092
20200303,9200,8363
20200402,10513,9557
20200504,15402,14001
