date,initial,maintenance
20120629,22000,20000
20130102,11000,10000
20130117,12775,11613
20130118,12065,10968
20130121,11000,10000
20130204,22000,20000
20130304,20581,18710
20130402,22000,20000
20130617,11000,10000
20130702,22000,20000
20130917,11000,10000
20131002,22000,20000
20131104,21267,19333
20131203,22000,20000
20140317,11356,10323
20140318,11000,10000
20140402,22000,20000
20140603,21267,19333
20140702,22000,20000
20140804,21291,19355
20140903,21267,19333
20141002,22000,20000
20141117,11000,10000
20141202,22000,20000
20150105,20581,18710
20150203,22000,20000
20150303,21291,19355
20150402,22000,20000
20150504,20581,18710
20150602,22000,20000
20150817,11356,10323
20150818,11000,10000
20150902,22000,20000
20151103,21267,19333
20151202,22000,20000
20160118,11000,10000
20160202,22000,20000
20220214,3211,2919
