date,initial,maintenance
20120529,7425,5500
20130102,27500,25000
20130212,31625,28750
20130213,30250,27500
20130214,28875,26250
20130215,27500,25000
20130226,38500,35000
20130306,37259,33871
20130307,36017,32742
20130308,34775,31613
20130311,31049,28226
20130312,29807,27097
20130313,28565,25968
20130314,27500,25000
20130401,38500,35000
20130409,37217,33833
20130410,35934,32667
20130411,34650,31500
20130412,33367,30333
20130415,29517,26833
20130416,28234,25667
20130417,27500,25000
20130430,38500,35000
20130508,37259,33871
20130509,36017,32742
20130510,34775,31613
20130513,31049,28226
20130514,29807,27097
20130515,28565,25968
20130516,27500,25000
20130531,38500,35000
20130610,35934,32667
20130611,34650,31500
20130612,33367,30333
20130613,32084,29167
20130614,30800,28000
20130617,27500,25000
20130701,38500,35000
20130708,37259,33871
20130709,36017,32742
20130710,34775,31613
20130711,33533,30484
20130712,32291,29355
20130715,28565,25968
20130716,27500,25000
20130802,38500,35000
20130812,34775,31613
20130813,33533,30484
20130814,32291,29355
20130815,31049,28226
20130816,29807,27097
20130819,27500,25000
20130830,38500,35000
20130909,35934,32667
20130910,34650,31500
20130911,33367,30333
20130912,32084,29167
20130913,30800,28000
20130916,27500,25000
20130930,38500,35000
20131008,37259,33871
20131029,27500,25000
20131107,26584,24167
20131108,25667,23333
20131111,22917,20833
20131112,22000,20000
20131113,21084,19167
20131114,20167,18333
20131115,19250,17500
20131118,16500,15000
20131202,27500,25000
20131220,16856,15323
20131223,16500,15000
20131230,27500,25000
20140107,26614,24194
20140128,19250,17500
20140210,17188,15625
20140211,16500,15000
20140212,15813,14375
20140213,15125,13750
20140214,14438,13125
20140217,12375,11250
20140218,11688,10625
20140219,11000,10000
20140228,19250,17500
20140310,17387,15806
20140325,11000,10000
20140331,19250,17500
20140408,18609,16917
20140429,19250,17500
20140507,18629,16935
20140602,19250,17500
20140620,11550,10500
20140623,11000,10000
20140630,19250,17500
20140708,18629,16935
20141105,6600,6000
20141106,6380,5800
20141107,6160,5600
20141110,5500,5000
20141111,5280,4800
20141112,5060,4600
20141113,4840,4400
20141114,4730,4300
20141201,6600,6000
20141209,6387,5806
20141210,6175,5613
20141211,5961,5419
20141212,6323,5748
20141215,5621,5110
20141216,5500,5000
20141230,7260,6600
20150107,7026,6387
20150108,6792,6174
20150109,6558,5961
20150112,5856,5323
20150113,5621,5110
20150114,5500,5000
20150127,7260,6600
20150209,6483,5893
20150210,6223,5657
20150211,5964,5421
20150212,5705,5186
20150213,5500,5000
20150302,9075,8250
20150320,5562,5056
20150323,5500,5000
20150330,9075,8250
20150408,8773,7975
20150428,9075,8250
20150506,8783,7984
20150601,9075,8250
20150708,8783,7984
20150728,9075,8250
20150805,8783,7984
20150831,9075,8250
20150908,8773,7975
20150929,9075,8250
20151007,8783,7984
20151030,9075,8250
20151109,8470,7700
20151201,9075,8250
20160106,8783,7984
20160129,9075,8250
20160208,8763,7966
20160229,9075,8250
20160308,8783,7984
20160329,6875,6250
20160407,6647,6042
20160408,6417,5833
20160411,5729,5208
20160412,5500,5000
20160413,5272,4792
20160414,5042,4583
20160415,4813,4375
20160418,4400,4000
20160422,3850,3500
20160502,6050,5500
20160523,3850,3500
20160531,6050,5500
20160609,5849,5317
20160610,5647,5133
20160613,5042,4583
20160614,4840,4400
20160615,4639,4217
20160616,4437,4033
20160617,4235,3850
20160620,3850,3500
20160628,6050,5500
20160706,5856,5323
20160707,5660,5145
20160708,5465,4968
20160711,4879,4435
20160712,4684,4258
20160713,4490,4081
20160714,4294,3903
20160715,4099,3726
20160718,3850,3500
20160801,6050,5500
20160823,3850,3500
20160830,5280,4800
20160908,5104,4640
20160909,4928,4480
20160912,4400,4000
20160913,4224,3840
20160914,4048,3680
20160915,3872,3520
20160916,3850,3500
20160930,5280,4800
20161007,4950,4500
20161010,4472,4065
20161011,4311,3919
20161012,4152,3774
20161013,3992,3629
20161014,3833,3484
20161017,3520,3200
20161031,4950,4500
20161108,4785,4350
20161109,4620,4200
20161110,4455,4050
