date,initial,maintenance
20120806,9900,9000
20130107,8942,8129
20130204,9900,9000
20130304,8942,8129
20130401,9900,9000
20130604,9240,8400
20130702,9900,9000
20130802,12100,11000
20130904,11294,10267
20131002,12100,11000
20131104,7975,7250
20131203,6600,6000
20140204,7920,7200
20140304,7409,6735
20140402,12100,11000
20140603,11697,10633
20140702,12100,11000
20140804,9581,8710
20140903,9570,8700
20141002,9900,9000
20141104,9240,8400
20141202,9900,9000
20150105,9776,8887
20150203,10450,9500
20150303,9049,8226
20150402,9350,8500
20150504,7203,6548
20150602,7700,7000
20150702,5500,5000
20150804,4968,4516
20150901,5500,5000
20151103,5317,4833
20151202,5500,5000
20160105,4968,4516
20160202,5500,5000
20160404,5317,4833
20160503,4791,4355
20160602,4950,4500
20160705,4472,4065
20160802,4950,4500
20161004,4631,4210
20161102,4950,4500
20170104,4631,4210
20170202,4950,4500
20170404,4620,4200
20170502,4950,4500
20170705,4472,4065
20170802,4950,4500
20170905,4620,4200
20171003,4791,4355
20171102,4950,4500
20171204,4791,4355
20180202,4950,4500
20180302,4400,4000
20180403,3403,3093
20180502,3135,2850
20180604,3031,2755
20180703,3034,2758
20180802,3575,3250
20180905,2723,2475
20181002,2750,2500
20181204,2236,2032
20190103,2310,2100
20190304,2162,1965
20190402,2310,2100
20190604,4466,4060
20190702,6160,5600
20190802,9900,9000
20190904,9240,8400
20191002,17710,16100
20191104,30305,27550
20191203,31350,28500
20200103,20900,19000
20200204,19649,17862
20200303,22356,20323
20200402,28600,26000
20200504,26756,24323
