date,initial,maintenance
20120117,770,700
20120529,550,500
20120806,440,400
20130102,18,16
20130103,550,500
20130107,498,452
20130108,479,435
20130109,461,419
20130110,444,403
20130111,426,387
20130114,373,339
20130115,426,387
20130116,405,368
20130117,383,348
20130118,362,329
20130121,299,271
20130122,278,252
20130123,256,232
20130124,235,213
20130125,214,194
20130128,149,135
20130129,128,116
20130130,107,97
20130131,85,77
20130201,64,58
20130204,660,600
20130205,637,579
20130206,613,557
20130207,590,536
20130208,566,514
20130211,495,450
20130212,472,429
20130213,448,407
20130214,425,386
20130215,401,364
20130218,330,300
20130219,307,279
20130220,283,257
20130221,260,236
20130222,236,214
20130225,165,150
20130226,142,129
20130227,118,107
20130228,95,86
20130301,71,64
20130304,618,561
20130305,597,542
20130306,576,523
20130307,554,503
20130308,533,484
20130311,469,426
20130312,597,542
20130313,568,516
20130314,539,490
20130315,512,465
20130318,426,387
20130319,398,361
20130320,369,335
20130321,341,310
20130322,313,284
20130325,227,206
20130326,200,181
20130327,171,155
20130328,142,129
20130329,114,103
20130401,29,26
20130402,880,800
20130618,1155,1050
20131122,990,900
20140117,880,800
20140328,550,500
20140530,825,750
20140725,550,500
20140912,367,333
20140915,312,283
20140916,294,267
20140917,275,250
20140918,257,233
20140919,239,217
20140922,184,167
20140923,165,150
20140924,147,133
20140925,129,117
20140926,110,100
20140929,55,50
20140930,37,33
20141001,19,17
20141002,550,500
20141003,660,600
20141006,618,561
20141007,597,542
20141008,576,523
20141009,554,503
20141010,533,484
20141013,469,426
20141014,447,406
20141015,426,387
20141016,405,368
20141017,383,348
20141020,319,290
20141021,299,271
20141022,278,252
20141023,256,232
20141024,235,213
20141027,171,155
20141028,149,135
20141029,128,116
20141030,107,97
20141031,85,77
20141103,21,19
20141104,616,560
20141105,594,540
20141106,572,520
20141107,642,583
20141110,565,513
20141111,539,490
20141112,514,467
20141113,488,443
20141114,462,420
20141117,385,350
20141118,360,327
20141119,334,303
20141120,308,280
20141121,283,257
20141124,206,187
20141125,180,163
20141126,154,140
20141127,129,117
20141128,103,93
20141201,26,23
20141202,770,700
20141208,696,632
20141209,671,610
20141210,646,587
20141211,622,565
20141212,681,619
20141215,597,542
20141216,568,516
20141217,539,490
20141218,512,465
20141219,483,439
20141222,398,361
