date,initial,maintenance
20090112,8250,7500
20090226,3300,3000
20090414,6875,6250
20090430,6325,5750
20090528,7425,6750
20090612,6600,6000
20090617,7150,6500
20090619,7425,6750
20090625,7150,6500
20090821,6325,5750
20090908,5500,5000
20091023,4950,4500
20091215,4400,4000
20100405,4125,3750
20110304,5225,4750
20110510,6875,6250
20110729,7975,7250
20110912,7150,6500
20111026,6380,5800
20111212,7155,5300
20120416,6480,4800
20120910,5280,4800
20130212,4730,4300
20130319,4290,3900
20131122,4015,3650
20140421,3465,3150
20140613,3795,3450
20140716,3630,3300
20140912,3795,3450
20141023,3823,3475
20141117,4208,3825
20141126,4373,3975
20141202,5033,4575
20150223,5500,5000
20150304,6325,5750
20150410,5720,5200
20150508,5390,4900
20150619,5060,4600
20150708,5940,5400
20160114,5060,4600
20160321,4620,4200
20160825,4290,3900
20161006,4125,3750
20161214,4565,4150
20170309,3685,3350
20170504,3300,3000
20170711,3080,2800
20170901,3575,3250
20171012,3410,3100
20180116,3080,2800
20180418,3245,2950
20180516,3355,3050
20180524,3520,3200
20180626,3575,3250
20180713,4290,3900
20180718,4620,4200
20180828,4180,3800
20181115,4620,4200
20181123,4730,4300
20181127,4950,4500
20190207,4510,4100
20190307,4180,3800
20190417,3850,3500
20190612,4153,3775
20190621,4318,3925
20190917,5088,4625
20190919,5225,4750
20191113,4895,4450
20191211,4510,4100
20200310,5060,4600
20200422,5885,5350
20200424,6820,6200
20200428,8030,7300
