date,initial,maintenance
20160205,2200,2000
20160208,1491,1355
20160209,1419,1290
20160210,1349,1226
20160211,1278,1161
20160212,1207,1097
20160215,994,903
20160216,923,839
20160217,852,774
20160218,781,710
20160219,710,645
20160222,498,452
20160223,426,387
20160224,356,323
20160225,284,258
20160226,214,194
20160229,2200,2000
20160301,2125,1931
20160302,2049,1862
20160303,1973,1793
20160304,1897,1724
20160307,1669,1517
20160308,1593,1448
20160309,1517,1379
20160310,1441,1310
20160311,1366,1241
20160314,1138,1034
20160315,1063,966
20160316,987,897
20160317,911,828
20160318,835,759
20160321,608,552
20160322,532,483
20160323,456,414
20160324,380,345
20160325,304,276
20160328,76,69
20160329,2059,1871
20160330,1987,1806
20160331,1917,1742
20160401,1845,1677
20160404,1633,1484
20160405,1561,1419
20160406,1491,1355
20160407,1419,1290
20160408,1349,1226
20160411,1136,1032
20160412,1065,968
20160413,994,903
20160414,923,839
20160415,852,774
20160418,640,581
20160419,568,516
20160420,498,452
20160421,426,387
20160422,356,323
20160425,142,129
20160426,72,65
20160427,2200,2000
20160428,2127,1933
20160429,2054,1867
20160502,1834,1667
20160503,1760,1600
20160504,1687,1533
20160505,1614,1467
20160506,1540,1400
20160509,1320,1200
20160510,1247,1133
20160511,1174,1067
20160512,1100,1000
20160513,1027,933
20160516,807,733
20160517,734,667
20160518,660,600
20160519,587,533
20160520,514,467
20160523,294,267
20160524,220,200
20160525,147,133
20160526,74,67
20160527,2200,2000
20160530,2059,1871
20160531,1987,1806
20160601,1917,1742
20160602,1845,1677
20160603,1775,1613
20160606,1561,1419
20160607,1491,1355
20160608,1419,1290
20160609,1349,1226
20160610,1278,1161
20160613,1065,968
20160614,994,903
20160615,923,839
20160616,852,774
20160617,781,710
20160620,568,516
20160621,498,452
20160622,426,387
20160623,356,323
20160624,284,258
20160627,72,65
20160628,2127,1933
20160629,2054,1867
20160630,1980,1800
20160701,1907,1733
20160704,1687,1533
20160705,1614,1467
20160706,1540,1400
20160707,1467,1333
20160708,1394,1267
