date,initial,maintenance
20180824,26400,24000
20180914,24200,22000
20181001,23160,21054
20181002,24200,22000
20181101,23039,20944
20181102,24200,22000
20181109,20900,19000
20181115,24475,22250
20181127,27775,25250
20181203,26387,23988
20181204,27775,25250
20190102,26442,24038
20190103,27775,25250
20190201,26304,23912
20190204,27775,25250
20190222,24200,22000
20190301,20944,19040
20190304,22000,20000
20190401,20944,19040
20190402,22000,20000
20190426,20075,18250
20190501,19172,17429
20190502,20075,18250
20190531,23100,21000
20190603,21945,19950
20190604,23100,21000
20190701,22061,20055
20190702,23100,21000
20190712,26400,24000
20190801,25212,22920
20190802,26400,24000
20190808,29150,26500
20190815,31350,28500
20190903,29783,27075
20190904,31350,28500
20190917,36300,33000
20190927,41250,37500
20191001,39477,35888
20191002,41679,37890
20191003,41250,37500
20191004,46200,42000
20191011,50600,46000
20191101,48070,43700
20191104,50600,46000
20191202,48172,43792
20191203,50600,46000
20191206,33000,30000
20200102,31416,28560
20200103,34843,31675
20200106,33000,30000
20200203,31251,28410
20200204,34458,31325
20200205,33000,30000
20200221,27500,25000
20200302,26263,23875
20200303,29997,27270
20200304,28512,25920
20200305,27500,25000
20200310,35200,32000
20200318,39050,35500
20200401,37176,33796
20200402,39050,35500
20200501,37098,33725
20200504,39050,35500
20200601,37294,33903
20200602,39050,35500
20200612,31900,29000
20200701,30465,27695
20200702,31997,29088
20200706,31900,29000
20200724,27500,25000
20200803,26180,23800
20200804,27874,25340
20200805,27500,25000
20200901,26180,23800
20200902,27874,25340
20200903,27500,25000
20200911,23100,21000
20201001,22061,20055
20201002,23998,21816
20201005,23100,21000
20201030,19250,17500
20201102,18288,16625
20201103,19250,17500
20201113,20900,19000
20201201,19960,18145
20201202,20900,19000
20210104,19793,17993
20210105,20900,19000
20210201,19793,17993
20210202,20900,19000
20210301,20002,18183
20210302,20900,19000
20210322,26400,24000
20210326,29700,27000
20210401,28364,25785
20210402,26998,24543
20210405,29700,27000
20210503,28215,25650
20210504,29700,27000
20210601,28364,25785
20210602,29700,27000
20210701,28275,25704
20210702,29700,27000
20210723,33000,30000
20210802,31515,28650
20210803,33000,30000
20210901,31416,28560
20210902,33000,30000
20211001,31416,28560
20211004,33000,30000
20211101,31416,28560
20211102,33000,30000
20211126,27500,25000
20211130,31900,29000
20211201,30465,27695
20211202,31900,29000
20220103,30305,27550
20220104,31900,29000
20220201,30210,27463
20220202,31900,29000
