date,initial,maintenance
20120416,5225,4750
20120709,4400,4000
20120806,3850,3500
20130416,4400,4000
20140228,4125,3750
20140822,3575,3250
20141205,4400,4000
20150821,3960,3600
20151009,4620,4200
20160701,3850,3500
20161118,4400,4000
20170615,4950,4500
20170619,6050,5500
20170623,7150,6500
20170630,8580,7800
20170707,10340,9400
20170714,12320,11200
20170728,14520,13200
20170804,17820,16200
20171006,15620,14200
20171103,13420,12200
20171208,11000,10000
20171228,8250,7500
20180302,9350,8500
20180420,8250,7500
20180622,7150,6500
20190201,8250,7500
20190329,10313,9375
20190402,11275,10250
20190417,11825,10750
20190523,12925,11750
20190806,14025,12750
20190913,14575,13250
20191018,13475,12250
20200109,14850,13500
20200117,16280,14800
20200124,18700,17000
20200131,20900,19000
20200219,24200,22000
20200302,28050,25500
20200313,30800,28000
20200317,35200,32000
20200320,38500,35000
20200324,41800,38000
20200326,47300,43000
20200401,48400,44000
