date,initial,maintenance
20090112,11003,10002
20090626,4950,4500
20100430,3850,3500
20100607,5500,5000
20100902,4125,3750
20101116,4950,4500
20110531,3850,3500
20111004,4950,4500
20120213,3850,3500
20120806,3300,3000
20120910,2970,2700
20130212,2585,2350
20130416,3080,2800
20130621,3465,3150
20140228,3025,2750
20140404,2750,2500
20140822,2310,2100
20141010,1980,1800
20141205,2200,2000
20150130,2420,2200
20150417,2090,1900
20160226,2310,2100
20160513,2640,2400
20170323,2090,1900
20170728,1760,1600
20170911,1925,1750
20171201,1760,1600
20180216,1650,1500
20180302,1870,1700
20180420,1650,1500
20180706,1870,1700
20180817,2090,1900
20181031,1870,1700
20190315,1650,1500
20190523,1870,1700
20190806,2090,1900
20190903,2475,2250
20190913,2750,2500
20191122,2420,2200
20200302,2750,2500
20200313,3300,3000
20200317,3960,3600
20200320,4400,4000
20200324,4950,4500
20200619,4400,4000
20201113,3850,3500
20201204,3630,3300
20210129,3960,3600
20210202,4400,4000
20210211,4840,4400
20210507,4400,4000
20210618,5060,4600
20210818,4620,4200
20210924,3960,3600
20211217,3575,3250
