date,initial,maintenance
20181207,330,300
20190523,297,270
20190603,288,261
20190604,308,280
20190605,297,270
20190702,330,300
20190703,319,290
20190704,310,281
20190705,299,271
20190708,297,270
20190719,330,300
20190802,352,320
20190805,341,310
20190806,330,300
20190903,319,290
20190904,330,300
20190918,418,380
20191002,440,400
20191007,418,380
20191011,457,415
20191104,458,416
20191105,457,415
20191203,473,430
20191204,458,416
20191205,457,415
20191206,363,330
20200103,385,350
20200106,363,330
20200204,372,338
20200205,363,330
20200303,373,339
20200304,363,330
20200310,473,430
20200318,550,500
20200402,583,530
20200406,550,500
20200602,583,530
20200603,564,512
20200604,550,500
20200612,495,450
20200702,528,480
20200706,495,450
20200724,440,400
20200803,426,387
20200804,440,400
20200814,363,330
20200901,385,350
20200903,372,338
20200904,363,330
20200911,319,290
20210104,299,271
20210105,319,290
20210322,363,330
20210326,407,370
20210503,394,358
20210504,407,370
20211126,341,310
20211130,396,360
20220103,383,348
20220104,396,360
