date,initial,maintenance
20090112,7700,7000
20090226,3300,3000
20090504,7150,6500
20090617,6875,6250
20090619,7150,6500
20090625,6875,6250
20090908,5500,5000
20091215,4400,4000
20100212,4950,4500
20100521,5225,4750
20100813,4400,4000
20110304,5500,5000
20110325,6325,5750
20110510,7700,7000
20110512,9350,8500
20110912,8525,7750
20111010,7425,6750
20111118,6600,6000
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv12-221.html
20120529,6413,4750
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv12-381.html
20120910,6050,5500
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv13-479.html
20131015,4950,4500
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv13-540.html
20131122,4675,4250
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv14-107.html
20140314,4400,4000
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv14-161.html
20140421,3850,3500
# Chadv14-390v2
20141003,4070,3700
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv14-441.html
20141117,4510,4100
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv14-464.html
20141202,5170,4700
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv15-038.html
20150206,5720,5200
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv15-064.html
20150304,6600,6000
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv15-126.html
20150508,6270,5700
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv15-171.html
20150619,5610,5100
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv15-189.html
20150708,5830,5300
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv16-026.html
20160114,4950,4500
# https://www.cmegroup.com/notices/clearing/2016/08/Chadv16-337.html
20160825,4620,4200
# https://www.cmegroup.com/notices/clearing/2016/12/Chadv16-523.html
20161214,5115,4650
# https://www.cmegroup.com/notices/clearing/2017/03/Chadv17-112.html
20170322,4675,4250
# https://www.cmegroup.com/notices/clearing/2017/05/Chadv17-170.html
20170504,4290,3900
# https://www.cmegroup.com/notices/clearing/2017/05/Chadv17-197.html
20170601,3905,3550
# https://www.cmegroup.com/notices/clearing/2017/06/Chadv17-206.html
20170607,3520,3200
# https://www.cmegroup.com/notices/clearing/2017/07/Chadv17-274.html
20170711,3300,3000
# https://www.cmegroup.com/notices/clearing/2017/08/Chadv17-314.html
20170811,3080,2800
# https://www.cmegroup.com/notices/clearing/2017/08/Chadv17-332.html
20170830,3520,3200
# https://www.cmegroup.com/notices/clearing/2017/08/Chadv17-335.html
20170901,4180,3800
# https://www.cmegroup.com/notices/clearing/2017/09/Chadv17-341.html
20170906,4675,4250
# https://www.cmegroup.com/notices/clearing/2017/10/Chadv17-396.html
20171012,4125,3750
# https://www.cmegroup.com/notices/clearing/2018/01/Chadv18-005.html
20180105,3080,2800
# https://www.cmegroup.com/notices/clearing/2018/05/Chadv18-190.html
20180516,3410,3100
# https://www.cmegroup.com/notices/clearing/2018/05/Chadv18-208.html
20180524,3795,3450
# https://www.cmegroup.com/notices/clearing/2018/07/Chadv18-285.html
20180713,4400,4000
# https://www.cmegroup.com/notices/clearing/2018/07/Chadv18-294.html
20180718,4840,4400
# https://www.cmegroup.com/notices/clearing/2018/09/Chadv18-359.html
20180912,4400,4000
# https://www.cmegroup.com/notices/clearing/2018/09/Chadv18-394.html
20180928,3960,3600
# https://www.cmegroup.com/notices/clearing/2018/10/Chadv18-411.html
20181012,4180,3800
# https://www.cmegroup.com/notices/clearing/2018/11/Chadv18-453.html
20181115,4620,4200
# https://www.cmegroup.com/notices/clearing/2018/11/Chadv18-465.html
20181123,4730,4300
# https://www.cmegroup.com/notices/clearing/2018/11/Chadv18-468.html
20181127,5060,4600
# https://www.cmegroup.com/notices/clearing/2019/02/Chadv19-049.html
20190207,4620,4200
# https://www.cmegroup.com/notices/clearing/2019/07/Chadv19-212.html
20190708,4950,4500
# https://www.cmegroup.com/notices/clearing/2019/09/Chadv19-298.html
20190911,4455,4050
# https://www.cmegroup.com/notices/clearing/2019/09/Chadv19-305.html
20190917,5225,4750
# https://www.cmegroup.com/notices/clearing/2019/11/Chadv19-377.html
20191113,4840,4400
# https://www.cmegroup.com/notices/clearing/2020/01/Chadv20-033.html
20200129,4510,4100
