date,initial,maintenance
20181207,330,300
20190603,319,290
20190604,330,300
20190903,319,290
20190904,330,300
20190918,396,360
20190927,440,400
20191002,451,410
20191007,440,400
20191203,451,410
20191204,440,400
20191206,352,320
20200103,363,330
20200106,352,320
20200310,457,415
20200803,443,402
20200804,457,415
20200814,396,360
20200911,352,320
20201030,297,270
20210104,279,253
20210105,297,270
20210322,352,320
20210503,341,310
20210504,352,320
20210723,385,350
20211126,330,300
20211130,385,350
20220103,373,339
20220104,385,350
