date,initial,maintenance
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv12-380.html
20120907,6270,5700
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv12-557.html
20121226,4950,4500
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv13-014.html
20130115,4125,3750
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv14-007.html
20140109,3685,3350
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv14-161.html
20140421,5280,4800
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv14-469.html
20141205,6600,6000
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv15-007.html
20150109,7920,7200
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv15-023.html
20150123,9020,8200
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv15-030.html
20150130,10120,9200
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv15-171.html
20150619,9020,8200
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv15-221.html
20150731,8580,7800
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv15-439.html
20151218,7480,6800
# https://www.cmegroup.com/notices/clearing/2016/05/Chadv16-194.html
20160506,6270,5700
# https://www.cmegroup.com/notices/clearing/2016/05/Chadv16-215.html
20160526,5500,5000
# https://www.cmegroup.com/notices/clearing/2016/09/Chadv16-367.html
20160909,4950,4500
# https://www.cmegroup.com/notices/clearing/2016/11/Chadv16-462.html
20161103,5500,5000
# https://www.cmegroup.com/notices/clearing/2017/01/Chadv17-028.html
20170113,4125,3750
# https://www.cmegroup.com/notices/clearing/2017/02/Chadv17-054.html
20170206,3575,3250
# Margins from 2017 onward have been skipped because they are given by position size.
