date,initial,maintenance
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv12-019.html
20120117,4860,3600
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv12-135.html
20120326,3780,2800
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv12-380.html
20120907,2475,2250
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv13-014.html
20130115,2200,2000
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv14-211.html
20140530,1870,1700
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv14-348.html
20140905,1540,1400
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv14-424.html
20141031,1320,1200
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv14-480.html
20141212,1568,1425
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv15-007.html
20150109,1870,1700
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv15-016.html
20150116,2090,1900
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv15-023.html
20150123,2420,2200
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv15-084.html
20150320,1980,1800
# https://www.cmegroup.com/notices/clearing/2016/04/Chadv16-165.html
20160415,1815,1650
# https://www.cmegroup.com/notices/clearing/2016/05/Chadv16-215.html
20160526,1595,1450
# https://www.cmegroup.com/notices/clearing/2016/06/Chadv16-254.html
20160701,1705,1550
# https://www.cmegroup.com/notices/clearing/2016/11/Chadv16-462.html
20161103,1870,1700
# https://www.cmegroup.com/notices/clearing/2017/08/Chadv17-334.html
20170901,1540,1400
# https://www.cmegroup.com/notices/clearing/2017/11/Chadv17-467.html
20171201,1760,1600
# https://www.cmegroup.com/notices/clearing/2018/01/Chadv18-020.html
20180112,2035,1850
# https://www.cmegroup.com/notices/clearing/2018/02/Chadv18-080.html
20180223,2255,2050
# https://www.cmegroup.com/notices/clearing/2018/09/Chadv18-366.html
20180914,2585,2350
# https://www.cmegroup.com/notices/clearing/2018/11/Chadv18-473.html
20181130,2090,1900
# https://www.cmegroup.com/notices/clearing/2019/02/Chadv19-068.html
20190222,1760,1600
# https://www.cmegroup.com/notices/clearing/2019/03/Chadv19-100.html
20190322,1540,1400
# https://www.cmegroup.com/notices/clearing/2019/07/Chadv19-230.html
20190719,1815,1650
