date,initial,maintenance
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv11-441.html
20111212,3300,3000
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv12-460.html
20121030,2310,2100
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv14-053.html
20140131,2970,2700
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv14-073.html
20140214,3520,3200
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv14-079.html
20140224,4400,4000
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv14-095.html
20140307,5500,5000
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv14-161.html
20140421,4400,4000
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv14-279.html
20140714,3850,3500
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv14-424.html
20141031,2970,2700
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv14-464.html
20141202,3630,3300
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv15-076.html
20150313,3410,3100
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv15-108.html
20150417,2750,2500
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv15-145.html
20150529,1925,1750
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv15-153.html
20150605,2090,1900
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv16-062.html
20160205,1760,1600
# https://www.cmegroup.com/notices/clearing/2016/04/Chadv16-177.html
20160422,1540,1400
# https://www.cmegroup.com/notices/clearing/2016/09/Chadv16-389.html
20160930,1430,1300
# https://www.cmegroup.com/notices/clearing/2016/11/Chadv16-462.html
20161103,1320,1200
# https://www.cmegroup.com/notices/clearing/2016/12/Chadv16-516.html
20161209,1540,1400
# https://www.cmegroup.com/notices/clearing/2017/02/chadv17-062.html
20170210,2200,2000
# https://www.cmegroup.com/notices/clearing/2017/08/Chadv17-315.html
20170811,2420,2200
# https://www.cmegroup.com/notices/clearing/2017/11/Chadv17-412.html
20171103,3410,3100
# https://www.cmegroup.com/notices/clearing/2018/03/Chadv18-111.html
20180316,2750,2500
# https://www.cmegroup.com/notices/clearing/2018/05/Chadv18-177.html
20180504,2200,2000
# https://www.cmegroup.com/notices/clearing/2018/07/Chadv18-292.html
20180718,2420,2200
# https://www.cmegroup.com/notices/clearing/2018/10/Chadv18-415.html
20181016,2750,2500
# https://www.cmegroup.com/notices/clearing/2018/10/Chadv18-429.html
20181026,3080,2800
# https://www.cmegroup.com/notices/clearing/2018/12/Chadv18-504.html
20181228,3410,3100
# https://www.cmegroup.com/notices/clearing/2019/03/Chadv19-082.html
20190308,2640,2400
# https://www.cmegroup.com/notices/clearing/2019/04/Chadv19-131.html
20190417,2200,2000
# https://www.cmegroup.com/notices/clearing/2019/08/Chadv19-252.html
20190806,2420,2200
# https://www.cmegroup.com/notices/clearing/2019/09/Chadv19-306.html
20190918,3080,2800
# https://www.cmegroup.com/notices/clearing/2019/10/Chadv19-350.html
20191023,2530,2300
# https://www.cmegroup.com/notices/clearing/2020/01/Chadv20-023.html
20200117,1980,1800
