date,initial,maintenance
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv11-441.html
20111212,3300,3000
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv12-221.html
20120529,2750,2500
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv12-280.html
20120709,3025,2750
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv12-328.html
20120806,3575,3250
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv12-460.html
20121030,3025,2750
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv14-036.html
20140124,4950,4500
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv14-053.html
20140131,14850,13500
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv14-192.html
20140516,9900,9000
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv14-279.html
20140714,8910,8100
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv14-367.html
20140919,7700,7000
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv14-469.html
20141205,11000,10000
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv14-480.html
20141212,16500,15000
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv15-038.html
20150206,9900,9000
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv15-068.html
20150306,5500,5000
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv15-108.html
20150417,3850,3500
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv15-145.html
20150529,2310,2100
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv15-341.html
20151009,2668,2425
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv16-062.html
20160205,1815,1650
# https://www.cmegroup.com/notices/clearing/2016/04/Chadv16-177.html
20160422,1650,1500
# https://www.cmegroup.com/notices/clearing/2016/11/Chadv16-462.html
20161103,1485,1350
# https://www.cmegroup.com/notices/clearing/2016/12/Chadv16-516.html
20161209,1705,1550
# https://www.cmegroup.com/notices/clearing/2017/02/chadv17-062.html
20170210,2530,2300
# https://www.cmegroup.com/notices/clearing/2017/08/Chadv17-315.html
20170811,2750,2500
# https://www.cmegroup.com/notices/clearing/2017/11/Chadv17-412.html
20171103,3850,3500
# https://www.cmegroup.com/notices/clearing/2018/03/Chadv18-111.html
20180316,3080,2800
# https://www.cmegroup.com/notices/clearing/2018/05/Chadv18-177.html
20180504,2200,2000
# https://www.cmegroup.com/notices/clearing/2018/10/Chadv18-398.html
20181005,2420,2200
# https://www.cmegroup.com/notices/clearing/2018/10/Chadv18-410.html
20181012,2805,2550
# https://www.cmegroup.com/notices/clearing/2018/11/Chadv18-456.html
20181116,2970,2700
# https://www.cmegroup.com/notices/clearing/2018/11/Chadv18-469.html
20181127,3190,2900
# https://www.cmegroup.com/notices/clearing/2018/12/Chadv18-504.html
20181228,3520,3200
# https://www.cmegroup.com/notices/clearing/2019/03/Chadv19-082.html
20190308,2860,2600
# https://www.cmegroup.com/notices/clearing/2019/04/Chadv19-131.html
20190417,2530,2300
# https://www.cmegroup.com/notices/clearing/2019/06/Chadv19-173.html
20190605,2200,2000
# https://www.cmegroup.com/notices/clearing/2019/08/Chadv19-252.html
20190806,2420,2200
# https://www.cmegroup.com/notices/clearing/2019/08/Chadv19-286.html
20190903,2750,2500
# https://www.cmegroup.com/notices/clearing/2019/09/Chadv19-306.html
20190918,3190,2900
# https://www.cmegroup.com/notices/clearing/2019/10/Chadv19-350.html
20191023,2750,2500
# https://www.cmegroup.com/notices/clearing/2019/11/Chadv19-382.html
20191115,2420,2200
# https://www.cmegroup.com/notices/clearing/2020/01/Chadv20-023.html
20200117,2090,1900
