date,initial,maintenance
# https://www.cmegroup.com/notices/clearing/2016/09/Chadv16-389.html
20160930,23100,21000
# https://www.cmegroup.com/notices/clearing/2017/08/Chadv17-306.html
20170804,19800,18000
# https://www.cmegroup.com/notices/clearing/2018/07/Chadv18-292.html
20180718,23650,21500
# https://www.cmegroup.com/notices/clearing/2018/12/Chadv18-501.html
20181221,33000,30000
# https://www.cmegroup.com/notices/clearing/2019/07/Chadv19-223.html
20190712,36300,33000
# https://www.cmegroup.com/notices/clearing/2019/08/19-246/Chadv19-249.html
20190802,39600,36000
