date,initial,maintenance
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv11-441.html
20111212,49500,45000
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv12-082.html
20120302,55000,50000
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv12-190.html
20120504,66000,60000
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv12-221.html
20120529,82500,75000
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv13-051.html
20130205,60500,55000
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv14-161.html
20140421,49500,45000
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv14-464.html
20141202,53900,49000
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv14-469.html
20141205,59400,54000
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv15-108.html
20150417,49500,45000
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv15-195.html
20150710,44000,40000
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv16-062.html
20160205,33000,30000
# https://www.cmegroup.com/notices/clearing/2016/12/Chadv16-530.html
20161216,30250,27500
# https://www.cmegroup.com/notices/clearing/2017/05/Chadv17-167.html
20170512,27500,25000
# https://www.cmegroup.com/notices/clearing/2017/05/Chadv17-190.html
20170526,25300,23000
# https://www.cmegroup.com/notices/clearing/2017/08/Chadv17-315.html
20170811,23100,21000
# https://www.cmegroup.com/notices/clearing/2017/09/Chadv17-342.html
20170906,26400,24000
# https://www.cmegroup.com/notices/clearing/2017/10/Chadv17-389.html
20171006,29700,27000
# https://www.cmegroup.com/notices/clearing/2017/11/Chadv17-412.html
20171103,33000,30000
# https://www.cmegroup.com/notices/clearing/2018/01/Chadv18-029.html
20180119,30800,28000
# https://www.cmegroup.com/notices/clearing/2018/03/Chadv18-131.html
20180328,26400,24000
# https://www.cmegroup.com/notices/clearing/2018/05/Chadv18-196.html
20180518,28600,26000
# https://www.cmegroup.com/notices/clearing/2018/07/Chadv18-284.html
20180713,34100,31000
# https://www.cmegroup.com/notices/clearing/2018/10/Chadv18-415.html
20181016,38500,35000
# https://www.cmegroup.com/notices/clearing/2018/11/Chadv18-469.html
20181127,40700,37000
# https://www.cmegroup.com/notices/clearing/2019/03/Chadv19-082.html
20190308,36300,33000
# https://www.cmegroup.com/notices/clearing/2019/08/Chadv19-252.html
20190806,39600,36000
# https://www.cmegroup.com/notices/clearing/2019/09/Chadv19-306.html
20190918,46200,42000
# https://www.cmegroup.com/notices/clearing/2019/11/Chadv19-382.html
20191115,41800,38000
# https://www.cmegroup.com/notices/clearing/2020/01/Chadv20-002.html
20200103,34100,31000
