date,initial,maintenance
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv12-182.html
20120427,330,300
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv13-594.html
20140103,495,450
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv14-007.html
20140109,715,650
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv14-062.html
20140207,1210,1100
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv14-073.html
20140214,1540,1400
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv14-085.html
20140228,1925,1750
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv14-192.html
20140516,1650,1500
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv14-325.html
20140822,1320,1200
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv14-400.html
20141010,1100,1000
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv14-469.html
20141205,1430,1300
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv15-108.html
20150417,1265,1150
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv15-221.html
20150731,990,900
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv15-247.html
20150821,880,800
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv15-341.html
20151009,715,650
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv15-368.html
20151030,605,550
# https://www.cmegroup.com/notices/clearing/2016/05/Chadv16-194.html
20160506,495,450
# https://www.cmegroup.com/notices/clearing/2016/06/Chadv16-254.html
20160701,330,300
# https://www.cmegroup.com/notices/clearing/2016/07/Chadv16-272.html
20160715,396,360
# https://www.cmegroup.com/notices/clearing/2017/01/Chadv17-028.html
20170113,352,320
# https://www.cmegroup.com/notices/clearing/2017/03/Chadv17-089.html
20170303,385,350
# https://www.cmegroup.com/notices/clearing/2017/05/Chadv17-183.html
20170519,363,330
# https://www.cmegroup.com/notices/clearing/2017/11/Chadv17-467.html
20171201,330,300
# https://www.cmegroup.com/notices/clearing/2018/02/Chadv18-074.html
20180221,495,450
# https://www.cmegroup.com/notices/clearing/2018/02/Chadv18-080.html
20180223,660,600
# https://www.cmegroup.com/notices/clearing/2018/03/Chadv18-090.html
20180302,770,700
# https://www.cmegroup.com/notices/clearing/2018/03/Chadv18-103.html
20180309,1210,1100
# https://www.cmegroup.com/notices/clearing/2018/04/Chadv18-151.html
20180413,1375,1250
# https://www.cmegroup.com/notices/clearing/2018/04/Chadv18-164.html
20180424,1595,1450
# https://www.cmegroup.com/notices/clearing/2018/07/Chadv18-304.html
20180727,1375,1250
# https://www.cmegroup.com/notices/clearing/2018/09/Chadv18-376.html
20180921,1210,1100
# https://www.cmegroup.com/notices/clearing/2018/10/Chadv18-431.html
20181031,1045,950
# https://www.cmegroup.com/notices/clearing/2019/01/Chadv19-045.html
20190201,770,700
# https://www.cmegroup.com/notices/clearing/2019/03/Chadv19-091.html
20190315,704,640
# https://www.cmegroup.com/notices/clearing/2019/05/Chadv19-164.html
20190522,798,725
# https://www.cmegroup.com/notices/clearing/2019/09/Chadv19-299.html
20190913,688,625
# https://www.cmegroup.com/notices/clearing/2019/10/Chadv19-348.html
20191018,633,575
