date,initial,maintenance
# https://www.cmegroup.com/notices/clearing/2016/06/Chadv16-226.html
20160610,1430,1300
# https://www.cmegroup.com/notices/clearing/2017/02/Chadv17-057.html
20170207,1760,1600
# https://www.cmegroup.com/notices/clearing/2017/02/Chadv17-063.html
20170210,2475,2250
# https://www.cmegroup.com/notices/clearing/2017/05/Chadv17-189.html
20170526,2200,2000
# https://www.cmegroup.com/notices/clearing/2017/07/Chadv17-278.html
20170713,1870,1700
# https://www.cmegroup.com/notices/clearing/2017/08/Chadv17-314.html
20170811,2200,2000
# https://www.cmegroup.com/notices/clearing/2017/10/Chadv17-388.html
20171006,2640,2400
# https://www.cmegroup.com/notices/clearing/2018/03/Chadv18-120.html
20180321,2420,2200
# https://www.cmegroup.com/notices/clearing/2018/05/Chadv18-172.html
20180502,2090,1900
# https://www.cmegroup.com/notices/clearing/2018/07/Chadv18-294.html
20180718,2365,2150
# https://www.cmegroup.com/notices/clearing/2018/10/Chadv18-416.html
20181016,2750,2500
# https://www.cmegroup.com/notices/clearing/2018/11/Chadv18-468.html
20181127,2860,2600
# https://www.cmegroup.com/notices/clearing/2018/12/Chadv18-503.html
20181228,3382,3075
# https://www.cmegroup.com/notices/clearing/2019/03/Chadv19-081.html
20190307,2750,2500
# https://www.cmegroup.com/notices/clearing/2019/04/Chadv19-135.html
20190425,2420,2200
# https://www.cmegroup.com/notices/clearing/2019/08/Chadv19-253.html
20190806,2750,2500
# https://www.cmegroup.com/notices/clearing/2019/09/Chadv19-307.html
20190918,3520,3200
# https://www.cmegroup.com/notices/clearing/2019/10/Chadv19-351.html
20191023,2970,2700
# https://www.cmegroup.com/notices/clearing/2019/Chadv20-001.html
20200103,2530,2300
# https://www.cmegroup.com/notices/clearing/2020/01/Chadv20-021.html
20200116,1980,1800
