date,initial,maintenance
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv12-437.html
20121016,58300,53000
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv13-398.html
20130903,52800,48000
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv13-540.html
20131122,49500,45000
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv14-107.html
20140314,45100,41000
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv14-161.html
20140421,38500,35000
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv14-464.html
20141202,41800,38000
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv15-007.html
20150109,44000,40000
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv15-053.html
20150219,47300,43000
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv15-064.html
20150304,50600,46000
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv15-171.html
20150619,42350,38500
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv15-189.html
20150708,47850,43500
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv16-110.html
20160311,52800,48000
# https://www.cmegroup.com/notices/clearing/2016/03/Chadv16-136.html
20160329,41800,38000
# https://www.cmegroup.com/notices/clearing/2016/05/Chadv16-211.html
20160520,38500,35000
# https://www.cmegroup.com/notices/clearing/2016/09/Chadv16-389.html
20160930,35200,32000
# https://www.cmegroup.com/notices/clearing/2017/03/Chadv17-099.html
20170310,29700,27000
# https://www.cmegroup.com/notices/clearing/2017/05/Chadv17-173.html
20170505,26950,24500
# https://www.cmegroup.com/notices/clearing/2018/07/Chadv18-284.html
20180713,31075,28250
# https://www.cmegroup.com/notices/clearing/2018/07/Chadv18-292.html
20180718,37950,34500
# https://www.cmegroup.com/notices/clearing/2018/08/Chadv18-311.html
20180803,41250,37500
# https://www.cmegroup.com/notices/clearing/2018/09/Chadv18-366.html
20180914,35750,32500
# https://www.cmegroup.com/notices/clearing/2018/11/Chadv18-452.html
20181115,39600,36000
# https://www.cmegroup.com/notices/clearing/2018/11/Chadv18-469.html
20181127,46200,42000
# https://www.cmegroup.com/notices/clearing/2019/02/Chadv19-057.html
20190213,37400,34000
# https://www.cmegroup.com/notices/clearing/2019/09/Chadv19-304.html
20190917,44000,40000
# https://www.cmegroup.com/notices/clearing/2019/10/Chadv19-328.html
20191004,48620,44200
# https://www.cmegroup.com/notices/clearing/2019/10/Chadv19-350.html
20191023,41800,38000
# https://www.cmegroup.com/notices/clearing/2019/12/Chadv19-406.html
20191206,38500,35000
# Chadv20-057
20200221,34100,31000
