date,initial,maintenance
# https://www.cmegroup.com/notices/clearing/2017/12/Chadv17-490.html
20171215,523,475
# https://www.cmegroup.com/notices/clearing/2018/06/Chadv18-223.html
20180605,385,350
# https://www.cmegroup.com/notices/clearing/2019/01/Chadv19-018.html
20190111,341,310
# https://www.cmegroup.com/notices/clearing/2019/01/Chadv19-045.html
20190201,308,280
# https://www.cmegroup.com/notices/clearing/2019/03/Chadv19-082.html
20190308,275,250
# https://www.cmegroup.com/notices/clearing/2019/05/Chadv19-145.html
20190503,242,220
# https://www.cmegroup.com/notices/clearing/2019/07/Chadv19-239.html
20190726,330,300
# https://www.cmegroup.com/notices/clearing/2019/08/Chadv19-284.html
20190823,385,350
