date,initial,maintenance
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv14-204.html
20140527,1320,1200
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv14-367.html
20140919,2200,2000
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv14-425.html
20141103,2750,2500
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv15-007.html
20150109,1925,1750
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv15-114.html
20150424,2585,2350
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv15-256.html
20150828,2860,2600
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv16-043.html
20160122,2200,2000
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv16-081.html
20160219,2530,2300
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv16-107.html
20160310,2640,2400
# https://www.cmegroup.com/notices/clearing/2016/06/Chadv16-234.html
20160617,2860,2600
# https://www.cmegroup.com/notices/clearing/2016/10/Chadv16-4051.html
20161007,2420,2200
# https://www.cmegroup.com/notices/clearing/2017/01/Chadv17-033.html
20170120,1980,1800
# https://www.cmegroup.com/notices/clearing/2017/02/Chadv17-082.html
20170301,1760,1600
# https://www.cmegroup.com/notices/clearing/2017/04/Chadv17-128.html
20170407,1430,1300
# https://www.cmegroup.com/notices/clearing/2017/05/Chadv17-183.html
20170519,1705,1550
# https://www.cmegroup.com/notices/clearing/2017/06/Chadv17-230.html
20170619,2035,1850
# https://www.cmegroup.com/notices/clearing/2017/09/Chadv17-355.html
20170915,1650,1500
# https://www.cmegroup.com/notices/clearing/2017/10/Chadv17-404.html
20171020,1375,1250
# https://www.cmegroup.com/notices/clearing/2018/01/Chadv18-020.html
20180112,1210,1100
# Chadv18-186v1
20180511,1045,950
# https://www.cmegroup.com/notices/clearing/2018/06/Chadv18-261.html
20180629,1430,1300
# https://www.cmegroup.com/notices/clearing/2018/08/Chadv18-311.html
20180803,880,800
# https://www.cmegroup.com/notices/clearing/2018/09/Chadv18-366.html
20180914,770,700
# https://www.cmegroup.com/notices/clearing/2018/12/Chadv18-501.html
20181221,605,550
# https://www.cmegroup.com/notices/clearing/2019/01/Chadv19-027.html
20190118,1045,950
# https://www.cmegroup.com/notices/clearing/2019/02/Chadv19-078.html
20190301,495,450
# https://www.cmegroup.com/notices/clearing/2019/04/Chadv19-119.html
20190405,605,550
# https://www.cmegroup.com/notices/clearing/2019/05/Chadv19-149.html
20190510,660,600
# https://www.cmegroup.com/notices/clearing/2019/08/Chadv19-261.html
20190808,853,775
# https://www.cmegroup.com/notices/clearing/2020/01/Chadv20-016.html
20200110,737,670
# https://www.cmegroup.com/notices/clearing/2020/01/Chadv20-023.html
20200117,968,880
