date,initial,maintenance
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv12-019.html
20120117,4725,3500
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv12-221.html
20120529,4050,3000
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv12-328.html
20120806,4455,3300
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv13-168.html
20130409,5130,3800
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv13-594.html
20140103,5940,4400
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv14-114.html
20140321,6480,4800
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv14-138.html
20140404,8370,6200
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv14-204.html
20140527,6820,6200
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv14-279.html
20140714,5500,5000
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv14-348.html
20140905,4950,4500
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv14-469.html
20141205,6600,6000
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv15-104.html
20150410,5940,5400
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv15-139.html
20150522,4400,4000
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv15-195.html
20150710,3850,3500
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv16-053.html
20160129,3190,2900
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv16-107.html
20160310,2712,2465
# https://www.cmegroup.com/notices/clearing/2016/12/Chadv16-530.html
20161216,2288,2080
# https://www.cmegroup.com/notices/clearing/2017/05/Chadv17-194.html
20170601,1980,1800
# https://www.cmegroup.com/notices/clearing/2017/09/Chadv17-342.html
20170906,2310,2100
# https://www.cmegroup.com/notices/clearing/2018/01/Chadv18-040.html
20180126,1760,1600
# https://www.cmegroup.com/notices/clearing/2018/03/Chadv18-111.html
20180316,1430,1300
# https://www.cmegroup.com/notices/clearing/2018/04/Chadv18-149.html
20180406,1650,1500
# https://www.cmegroup.com/notices/clearing/2018/06/Chadv18-235.html
20180608,1760,1600
# https://www.cmegroup.com/notices/clearing/2018/09/Chadv18-349.html
20180907,1925,1750
# https://www.cmegroup.com/notices/clearing/2019/02/Chadv19-068.html
20190222,1540,1400
# https://www.cmegroup.com/notices/clearing/2019/05/Chadv19-165.html
20190530,1980,1800
# https://www.cmegroup.com/notices/clearing/2019/05/Chadv19-171.html
20190603,2365,2150
# https://www.cmegroup.com/notices/clearing/2019/06/Chadv19-173.html
20190605,2640,2400
# https://www.cmegroup.com/notices/clearing/2019/08/Chadv19-269.html
20190815,3025,2750
# https://www.cmegroup.com/notices/clearing/2020/01/Chadv20-023.html
20200117,2365,2150
