date,initial,maintenance
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv12-135.html
20120326,6250,5000
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv12-270.html
20120629,5625,4500
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv12-380.html
20120907,5000,4000
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv12-404.html
20120924,4400,4000
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv13-304.html
20130702,4950,4500
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv13-457.html
20131003,5445,4950
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv14-049.html
20140129,6875,6250
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv14-107.html
20140314,7700,7000
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv14-279.html
20140714,6930,6300
# https://www.cmegroup.com/notices/clearing/2016/04/Chadv16-185.html
20160429,6710,6100
# https://www.cmegroup.com/notices/clearing/2016/05/Chadv16-194.html
20160506,6270,5700
# https://www.cmegroup.com/notices/clearing/2016/06/Chadv16-247.html
20160627,6820,6200
# https://www.cmegroup.com/notices/clearing/2016/11/Chadv16-462.html
20161103,7370,6700
# https://www.cmegroup.com/notices/clearing/2017/02/chadv17-062.html
20170210,7920,7200
# https://www.cmegroup.com/notices/clearing/2017/04/Chadv17-159.html
20170428,7700,7000
# https://www.cmegroup.com/notices/clearing/2017/05/Chadv17-167.html
20170512,7370,6700
# https://www.cmegroup.com/notices/clearing/2017/05/Chadv17-194.html
20170601,7040,6400
# https://www.cmegroup.com/notices/clearing/2017/06/Chadv17-251.html
20170630,6600,6000
# https://www.cmegroup.com/notices/clearing/2018/01/Chadv18-040.html
20180126,7150,6500
# https://www.cmegroup.com/notices/clearing/2018/02/Chadv18-055.html
20180207,8250,7500
# https://www.cmegroup.com/notices/clearing/2018/09/Chadv18-374.html
20180920,9020,8200
# https://www.cmegroup.com/notices/clearing/2019/04/Chadv19-131.html
20190417,9350,8500
# https://www.cmegroup.com/notices/clearing/2019/07/Chadv19-230.html
20190719,8470,7700
# https://www.cmegroup.com/notices/clearing/2019/10/Chadv19-362.html
20191101,7920,7200
# https://www.cmegroup.com/notices/clearing/2020/01/Chadv20-012.html
20200109,8690,7900
