date,initial,maintenance
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv12-019.html
20120117,770,700
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv12-221.html
20120529,550,500
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv12-328.html
20120806,440,400
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv12-568.html
20130102,550,500
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv13-014.html
20130115,660,600
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv13-110.html
20130312,880,800
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv13-279.html
20130618,1155,1050
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv13-540.html
20131122,990,900
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv14-129.html
20140328,550,500
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv14-211.html
20140530,825,750
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv14-290.html
20140725,550,500
# Chadv14-390v2
20141003,660,600
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv14-431.html
20141107,770,700
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv14-480.html
20141212,880,800
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv15-007.html
20150109,1430,1300
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv15-038.html
20150206,1870,1700
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv15-104.html
20150410,1650,1500
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv15-126.html
20150508,1485,1350
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv15-165.html
20150612,1265,1150
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv15-221.html
20150731,1100,1000
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv15-388.html
20151113,1100,1000
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv16-053.html
20160129,1430,1300
