date,initial,maintenance
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv12-381.html
20120910,2200,2000
# https://www.cmegroup.com/notices/clearing/2017/05/Chadv17-167.html
20170512,1210,1100
# https://www.cmegroup.com/notices/clearing/2017/05/Chadv17-194.html
20170601,990,900
# https://www.cmegroup.com/notices/clearing/2017/06/Chadv17-241.html
20170623,825,750
# https://www.cmegroup.com/notices/clearing/2017/09/Chadv17-349.html
20170911,935,850
# https://www.cmegroup.com/notices/clearing/2017/12/Chadv17-512.html
20171228,770,700
# https://www.cmegroup.com/notices/clearing/2018/01/Chadv18-020.html
20180112,825,750
# https://www.cmegroup.com/notices/clearing/2018/02/Chadv18-080.html
20180223,880,800
# https://www.cmegroup.com/notices/clearing/2018/07/Chadv18-284.html
20180713,990,900
# https://www.cmegroup.com/notices/clearing/2018/11/Chadv18-469.html
20181127,1100,1000
# https://www.cmegroup.com/notices/clearing/2018/12/Chadv18-478.html
20181207,1210,1100
# https://www.cmegroup.com/notices/clearing/2019/05/Chadv19-164.html
20190523,990,900
# https://www.cmegroup.com/notices/clearing/2019/09/Chadv19-306.html
20190918,1210,1100
# https://www.cmegroup.com/notices/clearing/2019/10/Chadv19-362.html
20191101,990,900
# https://www.cmegroup.com/notices/clearing/2020/01/Chadv20-012.html
20200109,1155,1050
