date,initial,maintenance
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv11-437.html
20111205,2700,2000
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv12-019.html
20120117,2430,1800
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv12-380.html
20120907,1650,1500
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv12-452.html
20121023,1513,1375
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv13-014.html
20130115,1238,1125
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv13-069.html
20130208,1430,1300
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv13-279.html
20130618,1925,1750
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv13-540.html
20131122,1733,1575
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv14-211.html
20140530,1650,1500
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv14-286.html
20140718,1513,1375
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv14-348.html
20140905,1238,1125
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv15-019.html
20150120,1430,1300
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv15-023.html
20150123,1650,1500
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv15-126.html
20150508,1430,1300
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv15-250.html
20150825,1650,1500
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv15-368.html
20151030,1485,1350
# https://www.cmegroup.com/notices/clearing/2016/06/Chadv16-234.html
20160617,1623,1475
# https://www.cmegroup.com/notices/clearing/2016/06/Chadv16-247.html
20160627,2008,1825
# https://www.cmegroup.com/notices/clearing/2016/06/Chadv16-254.html
20160701,2255,2050
# https://www.cmegroup.com/notices/clearing/2016/10/Chadv16-4051.html
20161007,2475,2250
# https://www.cmegroup.com/notices/clearing/2017/01/Chadv17-028.html
20170113,2200,2000
# https://www.cmegroup.com/notices/clearing/2017/03/Chadv17-108.html
20170317,1815,1650
# https://www.cmegroup.com/notices/clearing/2017/05/Chadv17-167.html
20170512,1650,1500
# https://www.cmegroup.com/notices/clearing/2017/07/Chadv17-292.html
20170728,1375,1250
# https://www.cmegroup.com/notices/clearing/2017/11/Chadv17-467.html
20171201,1238,1125
# https://www.cmegroup.com/notices/clearing/2018/01/Chadv18-020.html
20180112,1100,1000
# https://www.cmegroup.com/notices/clearing/2018/11/Chadv18-473.html
20181130,990,900
# https://www.cmegroup.com/notices/clearing/2019/08/Chadv19-269.html
20190815,1183,1075
