date,initial,maintenance
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv13-405.html
20130910,1925,1750
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv15-062.html
20150227,3850,3500
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv15-388.html
20151113,2530,2300
# https://www.cmegroup.com/notices/clearing/2016/04/Chadv16-177.html
20160422,2200,2000
# https://www.cmegroup.com/notices/clearing/2016/12/Chadv16-530.html
20161216,1155,1050
# https://www.cmegroup.com/notices/clearing/2017/04/Chadv17-149.html
20170421,1045,950
# https://www.cmegroup.com/notices/clearing/2017/08/Chadv17-329.html
20170829,1320,1200
# https://www.cmegroup.com/notices/clearing/2017/08/Chadv17-334.html
20170901,1760,1600
# https://www.cmegroup.com/notices/clearing/2018/02/Chadv18-074.html
20180221,1100,1000
# https://www.cmegroup.com/notices/clearing/2018/04/Chadv18-159.html
20180420,550,500
# https://www.cmegroup.com/notices/clearing/2019/07/Chadv19-223.html
20190712,880,800
# https://www.cmegroup.com/notices/clearing/2018/08/Chadv18-344.html
20180830,990,900
# https://www.cmegroup.com/notices/clearing/2019/09/Chadv19-314.html
20190920,880,800
# https://www.cmegroup.com/notices/clearing/2019/11/Chadv19-373.html
20191108,792,720
